,CommunityID,HI_1,HI_2,HI_3,HI_4,HI_5,HI_6,HI_13,HI_14,region,zone,woreda,kebele,ea,a8
0,01010200116,1,1,2,1,16,1,11/02/17,00:55:28,01,01,02,001,16,1
1,01010301101,1,1,3,11,1,2,20/02/17,04:37:38,01,01,03,011,01,1
2,01010400404,1,1,4,4,4,2,10/02/17,13:09:26,01,01,04,004,04,1
3,01010400804,1,1,4,8,4,2,18/02/17,07:30:27,01,01,04,008,04,1
4,01020600113,1,2,6,1,13,1,20/01/17,15:13:16,01,02,06,001,13,1
5,01020801604,1,2,8,16,4,2,15/02/17,08:48:59,01,02,08,016,04,12
6,01020901705,1,2,9,17,5,2,13/02/17,08:27:14,01,02,09,017,05,11
7,01021200418,1,2,12,4,18,1,20/02/17,02:03:40,01,02,12,004,18,1
8,01030300103,1,3,3,1,3,1,23/02/17,12:41:43,01,03,03,001,03,1
9,01030600403,1,3,6,4,3,2,11/02/17,09:00:34,01,03,06,004,03,10
10,01030800402,1,3,8,4,2,1,09/03/17,07:23:31,01,03,08,004,02,1
11,01041100201,1,4,11,2,1,1,22/02/17,00:32:25,01,04,11,002,01,1
12,01050100110,1,5,1,1,10,1,16/02/17,05:20:49,01,05,01,001,10,1
13,01050101108,1,5,1,11,8,2,13/02/17,00:20:59,01,05,01,011,08,1
14,01060100317,1,6,1,3,17,1,15/02/17,15:32:14,01,06,01,003,17,1
15,02070101804,2,7,1,18,4,2,25/01/17,13:24:02,02,07,01,018,04,1
16,02070101901,2,7,1,19,1,2,26/01/17,12:18:58,02,07,01,019,01,2
17,02070200101,2,7,2,1,1,1,16/02/17,04:34:14,02,07,02,001,01,1
18,02070300104,2,7,3,1,4,1,20/02/17,05:16:51,02,07,03,001,04,1
19,02070501103,2,7,5,11,3,2,29/01/17,11:01:48,02,07,05,011,03,3
20,02070501302,2,7,5,13,2,2,30/01/17,20:38:36,02,07,05,013,02,4
21,02080300102,2,8,3,1,2,2,08/02/17,09:30:55,02,08,03,001,02,9
22,02080300404,2,8,3,4,4,2,07/02/17,09:40:58,02,08,03,004,04,8
23,02090100104,2,9,1,1,4,1,01/03/17,04:52:53,02,09,01,001,04,1
24,02090200123,2,9,2,1,23,1,01/03/17,03:54:49,02,09,02,001,23,1
25,02100100401,2,10,1,4,1,2,03/02/17,09:02:36,02,10,01,004,01,6
26,02100100501,2,10,1,5,1,2,04/02/17,08:28:03,02,10,01,005,01,7
27,02100200904,2,10,2,9,4,2,01/02/17,03:45:31,02,10,02,009,04,5
28,03110300605,3,11,3,6,5,2,20/02/17,05:45:01,03,11,03,006,05,15
29,03110301501,3,11,3,15,1,2,20/02/17,03:01:54,03,11,03,015,01,14
30,03110800110,3,11,8,1,10,1,20/02/17,15:16:00,03,11,08,001,10,6
31,03110800701,3,11,8,7,1,2,24/02/17,07:45:15,03,11,08,007,01,16
32,03111700101,3,11,17,1,1,1,02/02/17,01:55:34,03,11,17,001,01,1
33,03111800604,3,11,18,6,4,1,03/02/17,23:46:21,03,11,18,006,04,1
34,03111802013,3,11,18,20,13,1,06/02/17,02:46:38,03,11,18,020,13,1
35,03111802013,3,11,18,20,13,1,20/02/17,08:58:00,03,11,18,020,13,5
36,03112101007,3,11,21,10,7,2,28/02/17,05:43:06,03,11,21,010,07,17
37,03120102608,3,12,1,26,8,2,04/03/17,05:13:39,03,12,01,026,08,18
38,03120200303,3,12,2,3,3,1,08/02/17,00:50:14,03,12,02,003,03,1
39,03120300709,3,12,3,7,9,2,05/03/17,05:22:13,03,12,03,007,09,19
40,03120302401,3,12,3,24,1,2,13/03/17,05:37:04,03,12,03,024,01,20
41,03121000302,3,12,10,3,2,1,08/02/17,05:28:14,03,12,10,003,02,1
42,03121000302,3,12,10,3,2,1,13/02/17,10:10:10,03,12,10,003,02,2
43,03130200801,3,13,2,8,1,2,24/02/17,09:41:20,03,13,02,008,01,15
44,03130202504,3,13,2,25,4,2,26/02/17,09:12:44,03,13,02,025,04,16
45,03130401201,3,13,4,12,1,2,01/03/17,09:31:01,03,13,04,012,01,17
46,03130803001,3,13,8,30,1,2,09/03/17,09:17:25,03,13,08,030,01,20
47,03131000101,3,13,10,1,1,1,09/02/17,20:49:10,03,13,10,001,01,1
48,03140400104,3,14,4,1,4,1,11/02/17,14:38:42,03,14,04,001,04,1
49,03140901602,3,14,9,16,2,2,11/03/17,09:36:16,03,14,09,016,02,21
50,03141000205,3,14,10,2,5,2,05/03/17,08:59:51,03,14,10,002,05,18
51,03141001902,3,14,10,19,2,2,07/03/17,09:14:38,03,14,10,019,02,19
52,03141202605,3,14,12,26,5,2,07/03/17,13:35:48,03,14,12,026,05,2
53,03141700416,3,14,17,4,16,1,14/02/17,14:30:07,03,14,17,004,16,3
54,03150300101,3,15,3,1,1,2,24/03/17,12:23:31,03,15,03,001,01,2
55,03150300905,3,15,3,9,5,2,23/03/17,12:06:16,03,15,03,009,05,5
56,03150800103,3,15,8,1,3,1,11/03/17,02:25:00,03,15,08,001,03,1
57,03151900506,3,15,19,5,6,2,19/03/17,10:03:27,03,15,19,005,06,6
58,03152000705,3,15,20,7,5,1,10/03/17,20:17:30,03,15,20,007,05,1
59,03160201902,3,16,2,19,2,2,30/01/17,16:31:44,03,16,02,019,02,3
60,03160204005,3,16,2,40,5,2,27/01/17,22:30:24,03,16,02,040,05,2
61,03160500103,3,16,5,1,3,1,09/03/17,05:34:27,03,16,05,001,03,1
62,03160600803,3,16,6,8,3,2,23/01/10,20:35:16,03,16,06,008,03,1
63,03161500214,3,16,15,2,14,1,09/03/17,02:22:59,03,16,15,002,14,1
64,03170400206,3,17,4,2,6,2,04/02/17,03:01:21,03,17,04,002,06,7
65,03170401804,3,17,4,18,4,2,03/02/17,04:22:58,03,17,04,018,04,5
66,03170403702,3,17,4,37,2,2,03/02/17,06:22:25,03,17,04,037,02,6
67,03170601005,3,17,6,10,5,2,31/01/17,11:30:08,03,17,06,010,05,4
68,03180100102,3,18,1,1,2,1,13/02/17,21:03:51,03,18,01,001,02,1
69,03180201302,3,18,2,13,2,2,19/02/17,09:04:47,03,18,02,013,02,13
70,03180302503,3,18,3,25,3,2,21/02/17,08:49:07,03,18,03,025,03,14
