,CommunityID,HI_1,HI_2,HI_3,HI_4,HI_5,HI_6,a8,B1,B3,B4,B5_a,B5_b,B6,B7
0,15710101201,15,71,1,12,1,2,3,2,1,28,11,,28,10
1,15710101201,15,71,1,12,1,2,3,3,1,37,17,3.0,37,0
2,15710101201,15,71,1,12,1,2,3,4,2,35,17,3.0,35,0
3,15710101201,15,71,1,12,1,2,3,3,1,40,17,1.0,40,6
4,15710100810,15,71,1,8,10,1,11,1,1,32,1,,32,16
5,15710100605,15,71,1,6,5,1,10,1,2,39,4,,39,12
6,15710100415,15,71,1,4,15,1,9,1,1,30,1,,2,16
7,15710100415,15,71,1,4,15,1,9,1,1,70,4,,30,4
8,14760500811,14,76,5,8,11,1,12,1,1,34,1,,20,14
9,14760500811,14,76,5,8,11,1,12,2,1,28,1,,4,16
10,14760500811,14,76,5,8,11,1,12,3,2,42,1,,42,14
11,14760500811,14,76,5,8,11,1,12,4,2,39,1,,39,14
12,14760500802,14,76,5,8,2,1,11,1,1,34,1,,20,14
13,14760500802,14,76,5,8,2,1,11,2,1,28,1,,4,16
14,14760500802,14,76,5,8,2,1,11,3,2,42,1,,42,14
15,14760500802,14,76,5,8,2,1,11,4,2,39,1,,39,14
16,14760500532,14,76,5,5,32,1,10,1,1,31,1,,31,16
17,14760500532,14,76,5,5,32,1,10,2,1,38,1,,6,16
18,14760500532,14,76,5,5,32,1,10,3,1,42,2,,42,14
19,14760500532,14,76,5,5,32,1,10,4,2,35,3,,35,10
20,14760500527,14,76,5,5,27,1,7,1,1,31,1,,31,16
21,14760500527,14,76,5,5,27,1,7,2,1,38,1,,6,16
22,14760500527,14,76,5,5,27,1,7,3,1,42,2,,42,14
23,14760500527,14,76,5,5,27,1,7,4,2,35,3,,35,10
24,14760500517,14,76,5,5,17,1,8,1,1,31,1,,31,16
25,14760500517,14,76,5,5,17,1,8,2,1,38,1,,6,16
26,14760500507,14,76,5,5,7,1,9,1,1,31,1,,31,16
27,14760500507,14,76,5,5,7,1,9,2,1,38,1,,6,16
28,14760500507,14,76,5,5,7,1,9,3,1,42,2,,42,14
29,14760500507,14,76,5,5,7,1,9,4,2,35,3,,35,10
30,14750401001,14,75,4,10,1,1,7,1,1,55,2,,40,8
31,14750400612,14,75,4,6,12,1,5,1,1,45,2,3.0,15,11
32,14750400317,14,75,4,3,17,1,4,4,1,35,2,3.0,7,12
33,14720100702,14,72,1,7,2,1,1,1,1,35,2,3.0,2,16
34,14720100702,14,72,1,7,2,1,1,2,1,28,3,,3,12
35,14720100326,14,72,1,3,26,1,3,1,1,54,3,4.0,3,12
36,14720100211,14,72,1,2,11,1,4,2,1,43,3,9.0,13,12
37,14720100211,14,72,1,2,11,1,4,1,2,52,4,3.0,33,6
38,14720100113,14,72,1,1,13,1,2,2,1,52,2,3.0,3,11
39,14720100113,14,72,1,1,13,1,2,1,1,43,3,9.0,4,12
40,13700101901,13,70,1,19,1,1,4,1,1,27,1,,1,14
41,13700101901,13,70,1,19,1,1,4,4,1,45,15,,1,10
42,13700101407,13,70,1,14,7,1,9,12,1,32,1,,20,10
43,13700100901,13,70,1,9,1,1,2,4,1,40,1,,40,10
44,13700100901,13,70,1,9,1,1,2,5,1,56,1,,56,6
45,13700100901,13,70,1,9,1,1,2,2,1,65,4,,56,3
46,13700100901,13,70,1,9,1,1,2,3,1,70,4,,56,4
47,13700100901,13,70,1,9,1,1,2,1,1,55,11,,50,10
48,12690101901,12,69,1,19,1,2,1,2,2,32,1,,32,10
49,12690101901,12,69,1,19,1,2,1,1,1,36,2,,36,14
50,12690101901,12,69,1,19,1,2,1,3,1,23,3,,23,10
51,12690101901,12,69,1,19,1,2,1,5,2,28,4,,28,6
52,12690101901,12,69,1,19,1,2,1,4,1,36,6,,36,14
53,12670500701,12,67,5,7,1,2,1,1,1,57,2,,57,0
54,12670500701,12,67,5,7,1,2,1,3,1,26,3,,26,6
55,12670500701,12,67,5,7,1,2,1,2,1,46,4,,3,15
56,12670500701,12,67,5,7,1,2,1,4,1,24,5,,3,16
57,07661900421,7,66,19,4,21,1,1,1,2,30,8,,30,14
58,07661900106,7,66,19,1,6,1,1,1,1,48,5,,6,15
59,07650105703,7,65,1,57,3,2,20,1,1,52,1,,52,3
60,07650105703,7,65,1,57,3,2,20,2,1,72,4,,72,0
61,07650105703,7,65,1,57,3,2,20,5,1,31,7,,3,16
62,07650105703,7,65,1,57,3,2,20,3,2,35,8,,3,12
63,07650105703,7,65,1,57,3,2,20,4,1,37,10,,37,2
64,07650101206,7,65,1,12,6,2,21,2,1,32,1,,32,2
65,07650101206,7,65,1,12,6,2,21,4,1,45,4,,45,0
66,07650101206,7,65,1,12,6,2,21,1,2,25,8,,1,11
67,07650101206,7,65,1,12,6,2,21,3,1,50,10,,50,3
68,07650101206,7,65,1,12,6,2,21,5,1,55,555,,55,3
69,07640300502,7,64,3,5,2,2,23,1,1,35,1,,35,5
70,07640300502,7,64,3,5,2,2,23,3,1,54,4,,54,19
71,07640300502,7,64,3,5,2,2,23,5,1,26,7,,1,13
72,07640300502,7,64,3,5,2,2,23,2,2,20,8,,1,13
73,07640300502,7,64,3,5,2,2,23,4,1,40,16,,40,0
74,07640101801,7,64,1,18,1,2,22,1,1,50,1,,50,3
75,07640101801,7,64,1,18,1,2,22,4,1,60,4,,60,2
76,07640101801,7,64,1,18,1,2,22,3,2,27,8,,2,14
77,07640101801,7,64,1,18,1,2,22,2,1,67,10,,67,19
78,07640101801,7,64,1,18,1,2,22,5,1,65,16,,65,4
79,07630102501,7,63,1,25,1,2,15,1,1,31,1,,31,7
