,CommunityID,HI_1,HI_2,HI_3,HI_4,HI_5,HI_6,a8,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,D1_a,D1_b,D2,D3,D4
0,01010200116,1,1,2,1,16,1,1,11000.0,0,5,40,0,8,15,0,100,20,4,-111.0,50,1,1,0.0,1,1
1,01010301101,1,1,3,11,1,2,1,8900.0,0,0,20,0,0,0,0,0,0,1,-111.0,5,2,2,12.0,3,3
2,01010400404,1,1,4,4,4,2,1,6200.0,0,0,20,0,0,0,0,0,0,1,-111.0,8,2,2,26.0,4,8
3,01010400804,1,1,4,8,4,2,1,741.0,0,0,10,0,0,0,0,20,7,1,-111.0,5,1,1,7.0,1,3
4,01020600113,1,2,6,1,13,1,1,18213.0,5,25,45,1,1,14,10,20,25,4,-111.0,40,1,1,0.0,1,1
5,01020801604,1,2,8,16,4,2,12,200.0,0,0,0,0,0,0,0,20,0,1,300.0,45,1,1,32.0,4,4
6,01020901705,1,2,9,17,5,2,11,200.0,0,0,0,0,0,0,0,0,0,1,300.0,35,1,1,40.0,1,7
7,01021200418,1,2,12,4,18,1,1,2150.0,1,5,45,0,0,0,0,40,30,4,-111.0,60,1,1,0.0,1,1
8,01030300103,1,3,3,1,3,1,1,16000.0,0,0,20,0,0,0,0,100,50,4,-111.0,20,1,1,0.0,1,1
9,01030600403,1,3,6,4,3,2,10,250.0,1,0,1,0,0,2,0,0,0,1,1500.0,10,1,1,25.0,1,3
10,01030800402,1,3,8,4,2,1,1,30000.0,1,80,150,1,1,0,0,50,50,4,-111.0,25,1,1,0.0,1,1
11,01041100201,1,4,11,2,1,1,1,,1,6,100,1,3,6,20,300,20,4,-111.0,30,1,1,0.0,1,1
12,01050100110,1,5,1,1,10,1,1,6200.0,0,3,20,0,16,0,0,20,5,4,-111.0,32,1,1,41.0,1,1
13,01050101108,1,5,1,11,8,2,1,1450.0,0,2,11,0,0,0,0,30,4,1,-111.0,10,2,2,10.0,3,3
14,01060100317,1,6,1,3,17,1,1,18120.0,2,0,500,0,0,0,41,300,300,4,-111.0,21,1,1,0.0,1,1
15,02070101804,2,7,1,18,4,2,1,135.0,0,0,0,0,0,0,0,10,2,2,-111.0,60,1,1,50.0,1,7
16,02070101901,2,7,1,19,1,2,2,150.0,0,0,0,0,0,0,0,8,2,2,-111.0,80,2,2,65.0,2,7
17,02070200101,2,7,2,1,1,1,1,4100.0,0,16,74,0,160,10,8,100,20,4,-111.0,50,1,1,0.0,1,10
18,02070300104,2,7,3,1,4,1,1,17000.0,2,1,50,1,0,6,0,600,200,4,-111.0,30,1,1,0.0,1,1
19,02070501103,2,7,5,11,3,2,3,120.0,0,0,0,0,0,0,0,10,0,2,-111.0,75,1,1,30.0,2,1
20,02070501302,2,7,5,13,2,2,4,150.0,0,0,0,0,0,0,0,0,0,2,-111.0,60,2,2,15.0,1,7
21,02080300102,2,8,3,1,2,2,9,220.0,0,0,0,0,0,0,0,47,0,2,-111.0,50,1,1,48.0,3,10
22,02080300404,2,8,3,4,4,2,8,200.0,0,0,2,0,0,0,0,0,0,1,-111.0,20,1,1,15.0,1,4
23,02090100104,2,9,1,1,4,1,1,2002.0,0,0,0,0,0,2,0,14,5,4,-111.0,31,2,2,40.0,2,10
24,02090200123,2,9,2,1,23,1,1,16887.0,3,5,20,0,0,12,0,200,23,4,-111.0,23,1,1,0.0,1,1
25,02100100401,2,10,1,4,1,2,6,150.0,0,0,0,0,0,0,0,0,8,2,-111.0,80,2,2,10.0,1,2
26,02100100501,2,10,1,5,1,2,7,200.0,0,0,0,0,0,0,0,50,0,2,-111.0,40,1,1,17.0,1,2
27,02100200904,2,10,2,9,4,2,5,140.0,0,0,0,0,0,1,0,0,11,2,-111.0,80,2,2,10.0,1,2
28,03110300605,3,11,3,6,5,2,15,1075.0,0,0,0,0,0,0,0,0,19,1,-111.0,1,2,2,40.0,3,3
29,03110301501,3,11,3,15,1,2,14,1922.0,0,0,0,0,0,0,0,0,25,1,-111.0,1,2,2,12.0,3,3
30,03110800110,3,11,8,1,10,1,6,19888.0,1,1,200,60,0,0,3,250,67,4,-111.0,100,1,1,0.03,2,4
31,03110800701,3,11,8,7,1,2,16,658.0,0,0,0,0,0,0,0,0,12,1,-111.0,1,2,2,30.0,3,3
32,03111700101,3,11,17,1,1,1,1,1768.0,0,0,326,0,0,0,0,100,20,1,12000.0,100,1,1,1.5,1,1
33,03111800604,3,11,18,6,4,1,1,1590.0,2,2,600,4,1,10,6,800,25,4,-777.0,99,1,1,4.0,1,1
