,CommunityID,HI_1,HI_2,HI_3,HI_4,HI_5,HI_6,a8,F2,F3
0,01010200116,1,1,2,1,16,1,1,1,2
1,01010200116,1,1,2,1,16,1,1,2,2
2,01010200116,1,1,2,1,16,1,1,3,2
3,01010200116,1,1,2,1,16,1,1,4,2
4,01010200116,1,1,2,1,16,1,1,5,2
5,01010200116,1,1,2,1,16,1,1,6,2
6,01010200116,1,1,2,1,16,1,1,7,2
7,01010200116,1,1,2,1,16,1,1,8,2
8,01010200116,1,1,2,1,16,1,1,9,2
9,01010301101,1,1,3,11,1,2,1,1,2
10,01010301101,1,1,3,11,1,2,1,2,2
11,01010301101,1,1,3,11,1,2,1,3,2
12,01010301101,1,1,3,11,1,2,1,4,2
13,01010301101,1,1,3,11,1,2,1,5,2
14,01010301101,1,1,3,11,1,2,1,6,2
15,01010301101,1,1,3,11,1,2,1,7,2
16,01010301101,1,1,3,11,1,2,1,8,2
17,01010301101,1,1,3,11,1,2,1,9,2
18,01010400404,1,1,4,4,4,2,1,1,2
19,01010400404,1,1,4,4,4,2,1,2,2
20,01010400404,1,1,4,4,4,2,1,3,2
21,01010400404,1,1,4,4,4,2,1,4,2
22,01010400404,1,1,4,4,4,2,1,5,2
23,01010400404,1,1,4,4,4,2,1,6,2
24,01010400404,1,1,4,4,4,2,1,7,2
25,01010400404,1,1,4,4,4,2,1,8,2
26,01010400404,1,1,4,4,4,2,1,9,2
27,01010400804,1,1,4,8,4,2,1,1,2
28,01010400804,1,1,4,8,4,2,1,2,2
29,01010400804,1,1,4,8,4,2,1,3,2
30,01010400804,1,1,4,8,4,2,1,4,2
31,01010400804,1,1,4,8,4,2,1,5,2
32,01010400804,1,1,4,8,4,2,1,6,2
33,01010400804,1,1,4,8,4,2,1,7,2
34,01010400804,1,1,4,8,4,2,1,8,2
35,01010400804,1,1,4,8,4,2,1,9,2
36,01020600113,1,2,6,1,13,1,1,1,2
37,01020600113,1,2,6,1,13,1,1,2,2
38,01020600113,1,2,6,1,13,1,1,3,2
39,01020600113,1,2,6,1,13,1,1,4,2
40,01020600113,1,2,6,1,13,1,1,5,2
41,01020600113,1,2,6,1,13,1,1,6,2
42,01020600113,1,2,6,1,13,1,1,7,2
43,01020600113,1,2,6,1,13,1,1,8,2
44,01020600113,1,2,6,1,13,1,1,9,2
45,01020801604,1,2,8,16,4,2,12,1,2
46,01020801604,1,2,8,16,4,2,12,2,2
47,01020801604,1,2,8,16,4,2,12,3,2
48,01020801604,1,2,8,16,4,2,12,4,2
49,01020801604,1,2,8,16,4,2,12,5,2
50,01020801604,1,2,8,16,4,2,12,6,2
51,01020801604,1,2,8,16,4,2,12,7,2
52,01020801604,1,2,8,16,4,2,12,8,2
53,01020801604,1,2,8,16,4,2,12,9,2
54,01020901705,1,2,9,17,5,2,11,1,1
55,01020901705,1,2,9,17,5,2,11,2,2
56,01020901705,1,2,9,17,5,2,11,3,2
57,01020901705,1,2,9,17,5,2,11,4,2
58,01020901705,1,2,9,17,5,2,11,5,2
59,01020901705,1,2,9,17,5,2,11,6,2
60,01020901705,1,2,9,17,5,2,11,7,2
61,01020901705,1,2,9,17,5,2,11,8,2
62,01020901705,1,2,9,17,5,2,11,9,2
63,01021200418,1,2,12,4,18,1,1,1,2
64,01021200418,1,2,12,4,18,1,1,2,2
65,01021200418,1,2,12,4,18,1,1,3,2
66,01021200418,1,2,12,4,18,1,1,4,2
67,01021200418,1,2,12,4,18,1,1,5,2
68,01021200418,1,2,12,4,18,1,1,6,2
69,01021200418,1,2,12,4,18,1,1,7,2
70,01021200418,1,2,12,4,18,1,1,8,2
71,01021200418,1,2,12,4,18,1,1,9,2
72,01030300103,1,3,3,1,3,1,1,1,2
73,01030300103,1,3,3,1,3,1,1,2,2
74,01030300103,1,3,3,1,3,1,1,3,2
75,01030300103,1,3,3,1,3,1,1,4,2
