,CommunityID,HI_1,HI_2,HI_3,HI_4,HI_5,HI_6,a8,G1,G2,G2_1,G3,G3_other,G4,G5,G6,G7
0,01010200116,1,1,2,1,16,1,1,1,LPG/cooking gas,2,,,,,,
1,01010200116,1,1,2,1,16,1,1,2,Electricity,1,15.0,,,1.0,,
2,01010200116,1,1,2,1,16,1,1,3,Wood/Twigs,1,3.0,,20.0,2.0,40.0,60.0
3,01010200116,1,1,2,1,16,1,1,4,Charcoal	,1,8.0,,5.0,2.0,4.0,6.0
4,01010200116,1,1,2,1,16,1,1,5,Kerosene,2,,,,,,
5,01010200116,1,1,2,1,16,1,1,6,Diesel,1,7.0,,15.0,1.0,,
6,01010200116,1,1,2,1,16,1,1,7,Coal/Lignite,2,,,,,,
7,01010200116,1,1,2,1,16,1,1,8,Ethanol/Biogas,2,,,,,,
8,01010200116,1,1,2,1,16,1,1,9,Animal waste/dung,2,,,,,,
9,01010200116,1,1,2,1,16,1,1,10,Briquette/pellet,2,,,,,,
10,01010301101,1,1,3,11,1,2,1,1,LPG/cooking gas,2,,,,,,
11,01010301101,1,1,3,11,1,2,1,2,Electricity,1,15.0,,0.46,1.0,,
12,01010301101,1,1,3,11,1,2,1,3,Wood/Twigs,2,,,,,,
13,01010301101,1,1,3,11,1,2,1,4,Charcoal	,2,,,,,,
14,01010301101,1,1,3,11,1,2,1,5,Kerosene,2,,,,,,
15,01010301101,1,1,3,11,1,2,1,6,Diesel,2,,,,,,
16,01010301101,1,1,3,11,1,2,1,7,Coal/Lignite,2,,,,,,
17,01010301101,1,1,3,11,1,2,1,8,Ethanol/Biogas,2,,,,,,
18,01010301101,1,1,3,11,1,2,1,9,Animal waste/dung,2,,,,,,
19,01010301101,1,1,3,11,1,2,1,10,Briquette/pellet,2,,,,,,
20,01010400404,1,1,4,4,4,2,1,1,LPG/cooking gas,2,,,,,,
21,01010400404,1,1,4,4,4,2,1,2,Electricity,2,,,,,,
22,01010400404,1,1,4,4,4,2,1,3,Wood/Twigs,2,,,,,,
23,01010400404,1,1,4,4,4,2,1,4,Charcoal	,2,,,,,,
24,01010400404,1,1,4,4,4,2,1,5,Kerosene,2,,,,,,
25,01010400404,1,1,4,4,4,2,1,6,Diesel,2,,,,,,
26,01010400404,1,1,4,4,4,2,1,7,Coal/Lignite,2,,,,,,
27,01010400404,1,1,4,4,4,2,1,8,Ethanol/Biogas,2,,,,,,
28,01010400404,1,1,4,4,4,2,1,9,Animal waste/dung,2,,,,,,
29,01010400404,1,1,4,4,4,2,1,10,Briquette/pellet,2,,,,,,
30,01010400804,1,1,4,8,4,2,1,1,LPG/cooking gas,2,,,,,,
31,01010400804,1,1,4,8,4,2,1,2,Electricity,2,,,,,,
32,01010400804,1,1,4,8,4,2,1,3,Wood/Twigs,2,,,,,,
33,01010400804,1,1,4,8,4,2,1,4,Charcoal	,2,,,,,,
34,01010400804,1,1,4,8,4,2,1,5,Kerosene,2,,,,,,
35,01010400804,1,1,4,8,4,2,1,6,Diesel,2,,,,,,
36,01010400804,1,1,4,8,4,2,1,7,Coal/Lignite,2,,,,,,
37,01010400804,1,1,4,8,4,2,1,8,Ethanol/Biogas,2,,,,,,
38,01010400804,1,1,4,8,4,2,1,9,Animal waste/dung,2,,,,,,
39,01010400804,1,1,4,8,4,2,1,10,Briquette/pellet,2,,,,,,
40,01020600113,1,2,6,1,13,1,1,1,LPG/cooking gas,2,,,,,,
41,01020600113,1,2,6,1,13,1,1,2,Electricity,1,15.0,,4.9,1.0,,
42,01020600113,1,2,6,1,13,1,1,3,Wood/Twigs,1,2.0,,99.0,1.0,,
43,01020600113,1,2,6,1,13,1,1,4,Charcoal	,1,8.0,,8.0,2.0,4.0,10.0
44,01020600113,1,2,6,1,13,1,1,5,Kerosene,2,,,,,,
45,01020600113,1,2,6,1,13,1,1,6,Diesel,2,,,,,,
46,01020600113,1,2,6,1,13,1,1,7,Coal/Lignite,2,,,,,,
47,01020600113,1,2,6,1,13,1,1,8,Ethanol/Biogas,2,,,,,,
48,01020600113,1,2,6,1,13,1,1,9,Animal waste/dung,2,,,,,,
49,01020600113,1,2,6,1,13,1,1,10,Briquette/pellet,2,,,,,,
50,01020801604,1,2,8,16,4,2,12,1,LPG/cooking gas,2,,,,,,
51,01020801604,1,2,8,16,4,2,12,2,Electricity,2,,,,,,
52,01020801604,1,2,8,16,4,2,12,3,Wood/Twigs,1,12.0,,,1.0,,
53,01020801604,1,2,8,16,4,2,12,4,Charcoal	,1,4.0,,99.0,1.0,,
54,01020801604,1,2,8,16,4,2,12,5,Kerosene,2,,,,,,
55,01020801604,1,2,8,16,4,2,12,6,Diesel,2,,,,,,
56,01020801604,1,2,8,16,4,2,12,7,Coal/Lignite,2,,,,,,
57,01020801604,1,2,8,16,4,2,12,8,Ethanol/Biogas,2,,,,,,
58,01020801604,1,2,8,16,4,2,12,9,Animal waste/dung,2,,,,,,
59,01020801604,1,2,8,16,4,2,12,10,Briquette/pellet,2,,,,,,
60,01020901705,1,2,9,17,5,2,11,1,LPG/cooking gas,2,,,,,,
61,01020901705,1,2,9,17,5,2,11,2,Electricity,2,,,,,,
62,01020901705,1,2,9,17,5,2,11,3,Wood/Twigs,2,,,,,,
63,01020901705,1,2,9,17,5,2,11,4,Charcoal	,2,,,,,,
64,01020901705,1,2,9,17,5,2,11,5,Kerosene,1,7.0,,20.0,1.0,,
65,01020901705,1,2,9,17,5,2,11,6,Diesel,2,,,,,,
66,01020901705,1,2,9,17,5,2,11,7,Coal/Lignite,2,,,,,,
67,01020901705,1,2,9,17,5,2,11,8,Ethanol/Biogas,2,,,,,,
68,01020901705,1,2,9,17,5,2,11,9,Animal waste/dung,2,,,,,,
69,01020901705,1,2,9,17,5,2,11,10,Briquette/pellet,2,,,,,,
70,01021200418,1,2,12,4,18,1,1,1,LPG/cooking gas,2,,,,,,
71,01021200418,1,2,12,4,18,1,1,2,Electricity,1,15.0,,,1.0,,
72,01021200418,1,2,12,4,18,1,1,3,Wood/Twigs,1,3.0,,80.0,2.0,60.0,90.0
73,01021200418,1,2,12,4,18,1,1,4,Charcoal	,1,8.0,,10.0,1.0,,
74,01021200418,1,2,12,4,18,1,1,5,Kerosene,2,,,,,,
75,01021200418,1,2,12,4,18,1,1,6,Diesel,2,,,,,,
76,01021200418,1,2,12,4,18,1,1,7,Coal/Lignite,2,,,,,,
77,01021200418,1,2,12,4,18,1,1,8,Ethanol/Biogas,2,,,,,,
78,01021200418,1,2,12,4,18,1,1,9,Animal waste/dung,2,,,,,,
79,01021200418,1,2,12,4,18,1,1,10,Briquette/pellet,2,,,,,,
80,01030300103,1,3,3,1,3,1,1,1,LPG/cooking gas,2,,,,,,
81,01030300103,1,3,3,1,3,1,1,2,Electricity,1,15.0,,4.9,1.0,,
82,01030300103,1,3,3,1,3,1,1,3,Wood/Twigs,1,3.0,,50.0,2.0,40.0,60.0
83,01030300103,1,3,3,1,3,1,1,4,Charcoal	,1,8.0,,6.0,1.0,,
84,01030300103,1,3,3,1,3,1,1,5,Kerosene,2,,,,,,
85,01030300103,1,3,3,1,3,1,1,6,Diesel,1,7.0,,16.0,1.0,,
86,01030300103,1,3,3,1,3,1,1,7,Coal/Lignite,2,,,,,,
87,01030300103,1,3,3,1,3,1,1,8,Ethanol/Biogas,2,,,,,,
88,01030300103,1,3,3,1,3,1,1,9,Animal waste/dung,2,,,,,,
89,01030300103,1,3,3,1,3,1,1,10,Briquette/pellet,2,,,,,,
90,01030600403,1,3,6,4,3,2,10,1,LPG/cooking gas,2,,,,,,
91,01030600403,1,3,6,4,3,2,10,2,Electricity,2,,,,,,
92,01030600403,1,3,6,4,3,2,10,3,Wood/Twigs,2,,,,,,
93,01030600403,1,3,6,4,3,2,10,4,Charcoal	,1,4.0,,25.0,2.0,25.0,35.0
94,01030600403,1,3,6,4,3,2,10,5,Kerosene,2,,,,,,
95,01030600403,1,3,6,4,3,2,10,6,Diesel,2,,,,,,
96,01030600403,1,3,6,4,3,2,10,7,Coal/Lignite,2,,,,,,
97,01030600403,1,3,6,4,3,2,10,8,Ethanol/Biogas,2,,,,,,
98,01030600403,1,3,6,4,3,2,10,9,Animal waste/dung,2,,,,,,
99,01030600403,1,3,6,4,3,2,10,10,Briquette/pellet,2,,,,,,
100,01030800402,1,3,8,4,2,1,1,1,LPG/cooking gas,2,,,,,,
101,01030800402,1,3,8,4,2,1,1,2,Electricity,1,15.0,,4.0,1.0,,
102,01030800402,1,3,8,4,2,1,1,3,Wood/Twigs,1,2.0,,99.0,1.0,,
103,01030800402,1,3,8,4,2,1,1,4,Charcoal	,1,8.0,,10.0,2.0,10.0,12.0
104,01030800402,1,3,8,4,2,1,1,5,Kerosene,2,,,,,,
105,01030800402,1,3,8,4,2,1,1,6,Diesel,1,7.0,,16.0,1.0,,
106,01030800402,1,3,8,4,2,1,1,7,Coal/Lignite,2,,,,,,
107,01030800402,1,3,8,4,2,1,1,8,Ethanol/Biogas,2,,,,,,
108,01030800402,1,3,8,4,2,1,1,9,Animal waste/dung,2,,,,,,
109,01030800402,1,3,8,4,2,1,1,10,Briquette/pellet,2,,,,,,
110,01041100201,1,4,11,2,1,1,1,1,LPG/cooking gas,2,,,,,,
111,01041100201,1,4,11,2,1,1,1,2,Electricity,1,15.0,,0.46,1.0,,
112,01041100201,1,4,11,2,1,1,1,3,Wood/Twigs,1,2.0,,99.0,2.0,90.0,99.0
113,01041100201,1,4,11,2,1,1,1,4,Charcoal	,1,8.0,,10.0,2.0,8.0,12.0
114,01041100201,1,4,11,2,1,1,1,5,Kerosene,2,,,,,,
115,01041100201,1,4,11,2,1,1,1,6,Diesel,1,7.0,,16.0,2.0,15.0,17.0
116,01041100201,1,4,11,2,1,1,1,7,Coal/Lignite,2,,,,,,
117,01041100201,1,4,11,2,1,1,1,8,Ethanol/Biogas,2,,,,,,
118,01041100201,1,4,11,2,1,1,1,9,Animal waste/dung,2,,,,,,
119,01041100201,1,4,11,2,1,1,1,10,Briquette/pellet,2,,,,,,
120,01050100110,1,5,1,1,10,1,1,1,LPG/cooking gas,2,,,,,,
121,01050100110,1,5,1,1,10,1,1,2,Electricity,1,15.0,,1.0,1.0,,
122,01050100110,1,5,1,1,10,1,1,3,Wood/Twigs,1,12.0,,62.0,1.0,,
123,01050100110,1,5,1,1,10,1,1,4,Charcoal	,1,8.0,,5.0,1.0,,
124,01050100110,1,5,1,1,10,1,1,5,Kerosene,2,,,,,,
125,01050100110,1,5,1,1,10,1,1,6,Diesel,1,7.0,,15.0,1.0,,
126,01050100110,1,5,1,1,10,1,1,7,Coal/Lignite,2,,,,,,
127,01050100110,1,5,1,1,10,1,1,8,Ethanol/Biogas,2,,,,,,
128,01050100110,1,5,1,1,10,1,1,9,Animal waste/dung,1,10.0,,,1.0,,
129,01050100110,1,5,1,1,10,1,1,10,Briquette/pellet,2,,,,,,
130,01050101108,1,5,1,11,8,2,1,1,LPG/cooking gas,2,,,,,,
131,01050101108,1,5,1,11,8,2,1,2,Electricity,1,15.0,,,1.0,,
132,01050101108,1,5,1,11,8,2,1,3,Wood/Twigs,1,12.0,,30.0,2.0,25.0,40.0
133,01050101108,1,5,1,11,8,2,1,4,Charcoal	,2,,,,,,
134,01050101108,1,5,1,11,8,2,1,5,Kerosene,2,,,,,,
135,01050101108,1,5,1,11,8,2,1,6,Diesel,2,,,,,,
136,01050101108,1,5,1,11,8,2,1,7,Coal/Lignite,2,,,,,,
137,01050101108,1,5,1,11,8,2,1,8,Ethanol/Biogas,2,,,,,,
138,01050101108,1,5,1,11,8,2,1,9,Animal waste/dung,2,,,,,,
139,01050101108,1,5,1,11,8,2,1,10,Briquette/pellet,2,,,,,,
140,01060100317,1,6,1,3,17,1,1,1,LPG/cooking gas,2,,,,,,
141,01060100317,1,6,1,3,17,1,1,2,Electricity,1,15.0,,0.4,1.0,,
142,01060100317,1,6,1,3,17,1,1,3,Wood/Twigs,1,3.0,,80.0,2.0,80.0,99.0
