,CommunityID,HI_1,HI_2,HI_3,HI_4,HI_5,HI_6,a8,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H14_w,H14_t,H15_w,H15_t,H16_w,H16_t,H17_w,H17_t,H18,H21_mm,H21_yy,H19,H20_first,H20_second,H21,H22,H23,H24,H25,H26
0,01010200116,1,1,2,1,16,1,1,1,,,,,25.0,-888.0,1.0,11000.0,300.0,1.0,2.0,2.0,20.0,23.0,3.0,4.0,2.0,1.0,2.0,,,,3.0,2.0,2.0,2.0,2.0,2.0,2,
1,01010301101,1,1,3,11,1,2,1,1,,,,,3.0,-888.0,4.0,560.0,0.0,1.0,2.0,2.0,-888.0,-888.0,-888.0,-888.0,2.0,2.0,1.0,1.0,2009.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1,15.0
2,01010400404,1,1,4,4,4,2,1,3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15.0
3,01010400804,1,1,4,8,4,2,1,3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5.0
4,01020600113,1,2,6,1,13,1,1,1,,,,,30.0,-888.0,1.0,18000.0,150.0,1.0,1.0,1.0,20.0,23.0,3.0,4.0,2.0,1.0,2.0,,,,3.0,2.0,2.0,2.0,2.0,3.0,1,5.0
5,01020801604,1,2,8,16,4,2,12,1,,,,,6.0,1800.0,2.0,100.0,100.0,1.0,1.0,1.0,4.0,6.0,2.0,4.0,2.0,2.0,2.0,,,,8.0,,2.0,1.0,2.0,1.0,2,
6,01020901705,1,2,9,17,5,2,11,3,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,70.0
7,01021200418,1,2,12,4,18,1,1,1,,,,,30.0,-888.0,1.0,2150.0,500.0,1.0,2.0,2.0,22.0,23.0,3.0,4.0,2.0,1.0,2.0,,,,3.0,1.0,3.0,2.0,2.0,2.0,2,
8,01030300103,1,3,3,1,3,1,1,1,,,,,39.0,-888.0,2.0,15000.0,150.0,1.0,2.0,2.0,-888.0,-888.0,-888.0,-888.0,2.0,2.0,2.0,,,,3.0,2.0,3.0,2.0,2.0,3.0,1,15.0
9,01030600403,1,3,6,4,3,2,10,1,,,,,1.0,1500.0,4.0,25.0,4.0,2.0,,,,24.0,,4.0,,1.0,2.0,,,,1.0,,3.0,2.0,2.0,5.0,1,95.0
10,01030800402,1,3,8,4,2,1,1,1,,,,,30.0,-888.0,1.0,30000.0,100.0,1.0,1.0,1.0,22.0,24.0,3.0,4.0,2.0,1.0,2.0,,,,3.0,8.0,3.0,2.0,2.0,2.0,1,10.0
11,01041100201,1,4,11,2,1,1,1,1,,,,,30.0,-888.0,2.0,30000.0,500.0,1.0,2.0,2.0,22.0,24.0,3.0,4.0,2.0,1.0,1.0,3.0,2009.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,1,10.0
12,01050100110,1,5,1,1,10,1,1,1,,,,,18.0,0.0,1.0,5000.0,150.0,1.0,2.0,2.0,13.0,23.0,1.0,4.0,2.0,1.0,1.0,3.0,2009.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,1,10.0
13,01050101108,1,5,1,11,8,2,1,3,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5.0
14,01060100317,1,6,1,3,17,1,1,1,,,,,35.0,-888.0,1.0,18120.0,500.0,1.0,2.0,2.0,22.0,23.0,4.0,4.0,1.0,1.0,2.0,,,,3.0,2.0,2.0,2.0,2.0,3.0,2,
15,02070101804,2,7,1,18,4,2,1,3,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
16,02070101901,2,7,1,19,1,2,2,3,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
17,02070200101,2,7,2,1,1,1,1,1,,,,,15.0,-888.0,1.0,4000.0,410.0,1.0,2.0,2.0,15.0,23.0,2.0,4.0,2.0,1.0,1.0,5.0,2009.0,1.0,3.0,1.0,3.0,2.0,2.0,3.0,1,40.0
18,02070300104,2,7,3,1,4,1,1,1,,,,,20.0,-888.0,1.0,17000.0,150.0,1.0,2.0,2.0,21.0,23.0,2.0,3.0,2.0,2.0,2.0,,,,3.0,2.0,3.0,2.0,2.0,3.0,1,5.0
