,CommunityID,HI_1,HI_2,HI_3,HI_4,HI_5,HI_6,J9,a8
0,01010200116,1,1,2,1,16,1,2,1
1,01010200116,1,1,2,1,16,1,3,1
2,01010200116,1,1,2,1,16,1,4,1
3,01010200116,1,1,2,1,16,1,5,1
4,01020600113,1,2,6,1,13,1,1,1
5,01020600113,1,2,6,1,13,1,2,1
6,01020600113,1,2,6,1,13,1,3,1
7,01020600113,1,2,6,1,13,1,4,1
8,01020600113,1,2,6,1,13,1,5,1
9,01021200418,1,2,12,4,18,1,1,1
10,01021200418,1,2,12,4,18,1,2,1
11,01021200418,1,2,12,4,18,1,3,1
12,01021200418,1,2,12,4,18,1,4,1
13,01021200418,1,2,12,4,18,1,5,1
14,01030300103,1,3,3,1,3,1,2,1
15,01030300103,1,3,3,1,3,1,3,1
16,01030300103,1,3,3,1,3,1,4,1
17,01030300103,1,3,3,1,3,1,5,1
18,01030800402,1,3,8,4,2,1,1,1
19,01030800402,1,3,8,4,2,1,2,1
20,01030800402,1,3,8,4,2,1,3,1
21,01030800402,1,3,8,4,2,1,4,1
22,01030800402,1,3,8,4,2,1,5,1
23,01041100201,1,4,11,2,1,1,2,1
24,01041100201,1,4,11,2,1,1,3,1
25,01041100201,1,4,11,2,1,1,5,1
26,01050100110,1,5,1,1,10,1,1,1
27,01050100110,1,5,1,1,10,1,2,1
28,01050100110,1,5,1,1,10,1,3,1
29,01050100110,1,5,1,1,10,1,4,1
30,01050100110,1,5,1,1,10,1,5,1
31,01060100317,1,6,1,3,17,1,2,1
32,01060100317,1,6,1,3,17,1,3,1
33,01060100317,1,6,1,3,17,1,4,1
34,02070200101,2,7,2,1,1,1,2,1
35,02070300104,2,7,3,1,4,1,2,1
36,02070300104,2,7,3,1,4,1,3,1
37,02070300104,2,7,3,1,4,1,4,1
38,02070300104,2,7,3,1,4,1,5,1
39,02090200123,2,9,2,1,23,1,1,1
40,02090200123,2,9,2,1,23,1,2,1
41,02090200123,2,9,2,1,23,1,3,1
42,02090200123,2,9,2,1,23,1,5,1
43,03111802013,3,11,18,20,13,1,2,1
44,03111802013,3,11,18,20,13,1,3,1
45,03111802013,3,11,18,20,13,1,5,1
46,03131000101,3,13,10,1,1,1,2,1
47,03131000101,3,13,10,1,1,1,3,1
48,03140400104,3,14,4,1,4,1,2,1
49,03140400104,3,14,4,1,4,1,3,1
50,03140400104,3,14,4,1,4,1,4,1
51,03141000205,3,14,10,2,5,2,5,18
52,03150800103,3,15,8,1,3,1,2,1
53,03150800103,3,15,8,1,3,1,3,1
54,03160500103,3,16,5,1,3,1,2,1
55,03160500103,3,16,5,1,3,1,3,1
56,03160500103,3,16,5,1,3,1,5,1
57,03161500214,3,16,15,2,14,1,2,1
58,03180100102,3,18,1,1,2,1,2,1
59,03180100102,3,18,1,1,2,1,3,1
60,03200200209,3,20,2,2,9,1,2,4
61,03200200209,3,20,2,2,9,1,4,4
62,03200200209,3,20,2,2,9,1,5,4
63,03210101214,3,21,1,12,14,1,2,1
64,03210101214,3,21,1,12,14,1,3,1
65,04271800107,4,27,18,1,7,1,3,2
66,04280900226,4,28,9,2,26,1,3,4
67,04280900226,4,28,9,2,26,1,4,4
68,04290500106,4,29,5,1,6,1,1,6
69,04290500106,4,29,5,1,6,1,3,6
70,04292500402,4,29,25,4,2,1,2,4
71,04311103311,4,31,11,33,11,2,5,10
72,04321200208,4,32,12,2,8,1,2,2
73,04321200208,4,32,12,2,8,1,3,2
74,04340300103,4,34,3,1,3,1,3,1
75,04340900114,4,34,9,1,14,1,3,2
76,04340900114,4,34,9,1,14,1,4,2
77,04360100202,4,36,1,2,2,1,2,2
78,04360100202,4,36,1,2,2,1,3,2
79,04360100202,4,36,1,2,2,1,4,2
80,04360100202,4,36,1,2,2,1,2,8
81,04360100513,4,36,1,5,13,1,4,5
82,04360101005,4,36,1,10,5,1,2,5
83,04360101005,4,36,1,10,5,1,3,5
84,04360101005,4,36,1,10,5,1,2,10
85,04360101005,4,36,1,10,5,1,3,10
86,04360101402,4,36,1,14,2,1,3,4
87,04381000108,4,38,10,1,8,1,3,1
88,04381100101,4,38,11,1,1,1,3,1
89,04381100116,4,38,11,1,16,1,2,11
90,04381100116,4,38,11,1,16,1,3,11
91,04381100116,4,38,11,1,16,1,4,11
92,04381100116,4,38,11,1,16,1,2,111
93,04381100516,4,38,11,5,16,1,2,16
94,04381100516,4,38,11,5,16,1,3,16
95,04381100516,4,38,11,5,16,1,4,16
96,04381100606,4,38,11,6,6,1,3,6
