,CommunityID,HI_1,HI_2,HI_3,HI_4,HI_5,HI_6,A8,Facility,K4,K5,K6,K7,K10,K11,K12,K13,K15,K16_am,K17_pm,K18,K19,K20,K21,K22,K23,K24,K25,K26_hour,K26_minute,K27,K28,K29,K30,K31,K32_c,K32_u,K33,K34,K35,K36,K37,K38,K39,K40,K41,K42,K43,K44,K45,K46,K47,K48,K49,K50,K51,K52,K53,K54,K55,K56,K57
0,07500601802,7,50,6,18,2,2,1,4,2,1,555.0,1.0,555,0,0.0,,,,,2,555.0,,0.0,2,888.0,,,,,,2,555.0,555.0,,,,2.0,,,,,,,,,,,,2,2,3,2,,555.0,2,2,,,,,
1,04311200105,4,31,12,1,5,1,10,4,1,2,6.0,20.0,10,0,100.0,,,,,1,,1.0,18.0,2,2.0,1.0,60.0,3.0,0.0,2.0,2,3.0,3.0,50.0,1.0,1.0,2.0,,,,,,,,,,,,2,2,3,1,4.0,1.0,1,1,5.0,1.0,2.0,2.0,1.0
2,06470300204,6,47,3,2,4,1,1,4,1,2,6.0,45.0,10,0,30.0,,,,,2,2.0,,9.0,2,3.0,1.0,5.0,4.0,0.0,3.0,2,1.0,4.0,-888.0,-888.0,1.0,1.0,,,,,,,,,,,,1,2,3,2,,2.0,2,2,,,,,
3,06460500108,6,46,5,1,8,1,5,2,1,3,3.0,5.0,7,20,25.0,,,         2,,1,,3.0,13.0,2,2.0,2.0,,,,,2,2.0,3.0,-888.0,-888.0,1.0,2.0,,,,,,,,,,,,1,2,3,1,3.0,2.0,2,2,,,,,
4,07501400105,7,50,14,1,5,1,1,3,1,3,7.0,12.0,14,17,6.0,,,,,1,,1.0,20.0,2,1.0,1.0,60.0,2.0,25.0,1.0,2,1.0,1.0,-888.0,-888.0,1.0,2.0,,,,,,,,,,,,2,2,3,2,,3.0,2,2,,,,,
5,01030600403,1,3,6,4,3,2,10,2,2,5,3.0,2.0,9,3,2.0,,,,,1,,1.0,24.0,2,1.0,1.0,2.0,2.0,0.0,1.0,2,,,-888.0,-888.0,555.0,2.0,,,,,,,,,,,,2,2,3,1,4.0,7.0,2,2,,,,,
6,07511100128,7,51,11,1,28,1,1,2,2,5,3.0,5.0,7,25,45.0,,,,,1,,1.0,15.0,1,,1.0,22.0,1.0,15.0,3.0,2,1.0,1.0,-888.0,-888.0,555.0,2.0,,,,,,,,,,,,2,2,2,1,3.0,3.0,2,2,,,,,
7,07510100104,7,51,1,1,4,1,1,3,1,4,7.0,4.0,14,27,16.0,,,,,1,,1.0,18.0,2,2.0,1.0,50.0,3.0,60.0,2.0,2,1.0,1.0,700.0,1.0,1.0,1.0,,,,,,,,,,,,2,2,2,1,6.0,3.0,2,2,,,,,
8,07510100104,7,51,1,1,4,1,1,1,1,6,3.0,2.0,8,100,70.0,,,,,1,,1.0,12.0,1,,1.0,60.0,5.0,60.0,3.0,2,1.0,1.0,-888.0,-888.0,1.0,2.0,,,,,,,,,,,,2,2,2,1,3.0,3.0,1,1,1.0,1.0,4.0,1.0,1.0
9,07511100224,7,51,11,2,24,1,1,4,1,5,7.0,15.0,14,26,6.0,,,,,1,,1.0,20.0,2,1.0,1.0,90.0,5.0,60.0,1.0,2,1.0,1.0,750.0,1.0,1.0,1.0,,,,,,,,,,,,2,2,2,2,,3.0,2,2,,,,,
10,04360101005,4,36,1,10,5,1,5,4,1,1,555.0,1.0,555,0,,,,,,2,555.0,,888.0,2,888.0,,,,,,2,555.0,8.0,-888.0,-888.0,555.0,2.0,,,,,,,,,,,,2,2,3,2,,555.0,2,2,,,,,
11,07511100224,7,51,11,2,24,1,1,2,1,6,4.0,3.0,7,60,70.0,,,,,1,,1.0,16.0,2,3.0,1.0,90.0,2.0,40.0,3.0,2,1.0,1.0,-888.0,-888.0,555.0,2.0,,,,,,,,,,,,2,2,2,1,3.0,3.0,2,2,,,,,
12,02070101804,2,7,1,18,4,2,1,3,1,1,6.0,8.0,9,1,30.0,,,         1,         1,2,7.0,,0.0,2,888.0,,,,,,2,4.0,8.0,-888.0,-888.0,,2.0,,,,,,,,,,,,2,2,3,2,,555.0,2,2,,,,,
13,02100100401,2,10,1,4,1,2,6,3,1,5,6.0,4.0,10,1,10.0,,,         1,         1,2,1.0,,888.0,2,888.0,,,,,,2,,,-888.0,-888.0,555.0,2.0,,,,,,,,,,,,2,2,3,2,,555.0,2,2,,,,,
14,04290100110,4,29,1,1,10,1,2,2,1,6,5.0,3.0,7,3,15.0,,,         2,         1,2,555.0,,22.0,2,888.0,2.0,,,,,2,2.0,3.0,,,,2.0,,,,,,,,,,,,2,2,3,2,,555.0,2,2,,,,,
15,02080300404,2,8,3,4,4,2,8,3,1,1,6.0,8.0,10,1,15.0,,,         1,         1,1,,1.0,6.0,2,3.0,1.0,20.0,12.0,0.0,3.0,2,555.0,3.0,-888.0,-888.0,1.0,1.0,,,,,,,,,,,,1,2,3,2,,3.0,2,2,,,,,
16,04290100110,4,29,1,1,10,1,3,1,1,3,6.0,6.0,10,7,100.0,,,         1,         1,2,6.0,,0.0,2,3.0,,,,,,2,,,,,,,,,,,,,,,,,,2,2,3,2,,6.0,2,2,,,,,
17,02100100501,2,10,1,5,1,2,7,3,1,5,6.0,5.0,10,1,20.0,,,         1,         1,2,555.0,,0.0,2,1.0,,,,,,2,555.0,555.0,-888.0,-888.0,555.0,2.0,,,,,,,,,,,,2,2,3,2,,555.0,2,2,,,,,
18,04320600302,4,32,6,3,2,2,2,2,2,6,10.0,5.0,12,25,35.0,,,         2,         1,2,1.0,,6.0,2,888.0,,,,,,2,555.0,555.0,5.0,0.53,1.0,2.0,,,,,,,,,,,,2,2,1,2,,1.0,2,2,,,,,
19,04381100516,4,38,11,5,16,1,16,3,1,2,6.0,4.0,10,2,50.0,,,         6,         1,1,,1.0,24.0,2,3.0,1.0,7.0,1.0,40.0,2.0,2,1.0,1.0,200.0,0.27,1.0,2.0,,,,,,,,,,,,2,2,3,2,,3.0,2,2,,,,,
20,02070101901,2,7,1,19,1,2,2,3,1,1,6.0,10.0,10,1,15.0,,,         2,         1,2,1.0,,888.0,2,888.0,,,,,,2,,,-888.0,-888.0,,2.0,,,,,,,,,,,,2,2,3,2,,,2,2,,,,,
21,13700101407,13,70,1,14,7,1,1,3,1,6,6.0,8.0,10,7,150.0,,,        12,         1,1,,1.0,6.0,1,,1.0,3.0,4.0,0.0,1.0,2,1.0,1.0,1800.0,-888.0,1.0,1.0,,,,,,,,,,,,2,2,2,1,3.0,4.0,2,2,,,,,
22,07520100101,7,52,1,1,1,1,1,1,1,6,3.0,5.0,7,20,55.0,,,         1,         1,1,,1.0,15.0,2,3.0,1.0,25.0,3.0,25.0,3.0,2,1.0,1.0,350.0,1.0,1.0,2.0,,,,,,,,,,,,2,2,2,1,3.0,3.0,2,2,,,,,
23,03111802013,3,11,18,20,13,1,5,1,1,1,1.0,1.0,1,1,1.0,,,         1,         1,1,,1.0,1.0,1,,1.0,1.0,1.0,1.0,1.0,2,1.0,,,,,1.0,,,,,,,,,,,,1,1,1,1,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0
24,02070501103,2,7,5,11,3,2,3,3,1,2,6.0,25.0,9,1,6.0,,,         2,         1,1,,1.0,8.0,2,2.0,1.0,6.0,8.0,45.0,2.0,2,3.0,3.0,-888.0,-888.0,1.0,2.0,,,,,,,,,,,,2,2,2,2,,2.0,2,2,,,,,
25,03160600803,3,16,6,8,3,2,1,4,1,5,6.0,45.0,1,5,59.0,,,        12,         1,2,1.0,,888.0,2,888.0,,,,,,2,555.0,,-888.0,-888.0,555.0,2.0,,,,,,,,,,,,2,2,2,2,,,2,2,,,,,
26,02100200904,2,10,2,9,4,2,5,3,1,1,6.0,1.0,10,1,15.0,,,         1,         1,2,555.0,,888.0,2,888.0,,,,,,2,4.0,8.0,-888.0,-888.0,1.0,2.0,,,,,,,,,,,,2,2,3,2,,7.0,2,2,,,,,
27,03141700416,3,14,17,4,16,1,3,2,1,1,1.0,1.0,1,1,1.0,,,         1,         1,1,,1.0,1.0,1,,1.0,1.0,1.0,1.0,1.0,2,1.0,,,,,1.0,,,,,,,,,,,,1,1,1,1,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0
28,04320600302,4,32,6,3,2,2,2,3,1,6,8.0,4.0,12,21,10.0,,,         2,         1,2,1.0,,0.0,2,888.0,,,,,,2,555.0,555.0,9.0,23.0,555.0,2.0,,,,,,,,,,,,2,2,1,2,,1.0,2,2,,,,,
29,07640300502,7,64,3,5,2,2,23,3,1,1,6.0,49.0,10,0,75.0,,,        12,         2,2,7.0,,0.0,2,1.0,,,,,,2,1.0,9.0,16.0,8.0,3.0,2.0,,,,,,,,,,,,2,2,3,2,,5.0,2,2,,,,,
30,03160600803,3,16,6,8,3,2,1,2,2,5,3.0,5.0,7,14,58.0,,,2,         2,2,1.0,,888.0,2,888.0,,,,,,2,,,-888.0,-888.0,,2.0,,,,,,,,,,,,2,2,3,2,,,2,2,,,,,
31,03180302503,3,18,3,25,3,2,14,3,1,1,6.0,20.0,10,1,35.0,,,        11,         2,2,1.0,,888.0,2,888.0,,,,,,2,,,-888.0,-888.0,555.0,2.0,,,,,,,,,,,,1,2,3,2,,,2,2,,,,,
32,03170403702,3,17,4,37,2,2,6,3,1,5,1.0,5.0,1,14,450.0,,,2,         2,2,1.0,,888.0,2,888.0,,,,,,2,555.0,,-888.0,-888.0,,2.0,,,,,,,,,,,,2,2,3,2,,,2,2,,,,,
33,03160600803,3,16,6,8,3,2,1,3,1,5,8.0,4.0,12,4,40.0,,,2,         2,2,1.0,,888.0,2,888.0,,,,,,2,,,-888.0,-888.0,,2.0,,,,,,,,,,,,2,2,3,2,,555.0,2,2,,,,,
34,04311103311,4,31,11,33,11,2,10,4,1,2,8.0,5.0,555,20,4.0,,,         4,         2,2,1.0,,4.0,2,1.0,,,,,,2,555.0,555.0,95.0,0.4,1.0,2.0,,,,,,,,,,,,2,2,3,2,,555.0,2,2,,,,,
