,CommunityID,HI_1,HI_2,HI_3,HI_4,HI_5,HI_6,A8,Item,KE_a,KE_b,KE_73,KE_74,KE_75
0,01020600113,1,2,6,1,13,1,8,1,1,15.0,,,1.0
1,03141800910,3,14,18,9,10,1,2,1,1,15.0,,,1.0
2,03180100101,3,18,1,1,1,1,1,1,1,8.0,,,1.0
3,03210100412,3,21,1,4,12,1,1,1,1,8.0,,,1.0
4,04290100110,4,29,1,1,10,1,2,1,1,6.0,,,2.0
5,04290100110,4,29,1,1,10,1,4,1,1,33.0,,,2.0
6,04300400106,4,30,4,1,6,1,6,1,1,6.0,,,1.0
7,04311201223,4,31,12,12,23,2,23,1,1,1.0,,,1.0
8,04340300103,4,34,3,1,3,1,3,1,1,3.0,,,1.0
9,04380100110,4,38,1,1,10,1,16,1,1,8.0,,,1.0
10,04380100203,4,38,1,2,3,1,3,1,1,15.0,,,1.0
11,04381100116,4,38,11,1,16,1,1,1,1,8.0,,,1.0
12,06470300204,6,47,3,2,4,1,1,1,1,1.0,,,1.0
13,06470300314,6,47,3,3,14,1,1,1,1,3.0,,,1.0
14,07661900703,7,66,19,7,3,1,1,1,1,1.0,,,1.0
15,13700101407,13,70,1,14,7,1,1,1,1,26.0,,,1.0
16,14750400317,14,75,4,3,17,1,7,1,1,10.0,,,1.0
17,14750401001,14,75,4,10,1,1,1,1,1,8.0,,,1.0
18,15710100415,15,71,1,4,15,1,5,1,1,70.0,,,1.0
19,15710100605,15,71,1,6,5,1,1,1,1,96.0,,,2.0
20,03200100113,3,20,1,1,13,2,9,1,2,,1.0,1.0,
21,04290100110,4,29,1,1,10,1,3,1,2,,2.0,555.0,
22,04300800105,4,30,8,1,5,2,8,1,2,,2.0,1.0,
23,04300802504,4,30,8,25,4,2,4,1,2,,2.0,1.0,
24,04330600803,4,33,6,8,3,2,5,1,2,,2.0,1.0,
25,06490800103,6,49,8,1,3,1,1,1,2,,2.0,2.0,
26,01020600113,1,2,6,1,13,1,8,2,1,1.0,,,1.0
27,03141800910,3,14,18,9,10,1,2,2,1,1.0,,,1.0
28,03180100101,3,18,1,1,1,1,1,2,1,2.0,,,1.0
29,03210100412,3,21,1,4,12,1,1,2,1,1.0,,,1.0
30,04290100110,4,29,1,1,10,1,2,2,1,1.0,,,1.0
31,04290100110,4,29,1,1,10,1,4,2,1,1.0,,,1.0
32,04300400106,4,30,4,1,6,1,6,2,1,1.0,,,1.0
33,04311201223,4,31,12,12,23,2,23,2,1,2.0,,,2.0
34,04340300103,4,34,3,1,3,1,3,2,1,1.0,,,2.0
35,04380100203,4,38,1,2,3,1,3,2,1,1.0,,,1.0
36,06470300204,6,47,3,2,4,1,1,2,1,1.0,,,2.0
37,06470300314,6,47,3,3,14,1,1,2,1,1.0,,,1.0
38,07661900703,7,66,19,7,3,1,1,2,1,1.0,,,1.0
39,13700101407,13,70,1,14,7,1,1,2,1,3.0,,,1.0
40,14750400317,14,75,4,3,17,1,7,2,1,1.0,,,1.0
41,14750401001,14,75,4,10,1,1,1,2,1,8.0,,,1.0
42,15710100415,15,71,1,4,15,1,5,2,1,4.0,,,1.0
43,15710100605,15,71,1,6,5,1,1,2,1,1.0,,,1.0
44,03200100113,3,20,1,1,13,2,9,2,2,,1.0,1.0,
45,04290100110,4,29,1,1,10,1,3,2,2,,2.0,555.0,
46,04300800105,4,30,8,1,5,2,8,2,2,,2.0,1.0,
47,04300802504,4,30,8,25,4,2,4,2,2,,2.0,1.0,
48,04330600803,4,33,6,8,3,2,5,2,2,,2.0,1.0,
49,04380100110,4,38,1,1,10,1,16,2,2,,2.0,1.0,
50,04381100116,4,38,11,1,16,1,1,2,2,,2.0,1.0,
51,06490800103,6,49,8,1,3,1,1,2,2,,2.0,2.0,
52,01020600113,1,2,6,1,13,1,8,3,1,4.0,,,1.0
53,03141800910,3,14,18,9,10,1,2,3,1,15.0,,,1.0
54,03180100101,3,18,1,1,1,1,1,3,1,2.0,,,1.0
55,03210100412,3,21,1,4,12,1,1,3,1,2.0,,,1.0
56,04290100110,4,29,1,1,10,1,4,3,1,1.0,,,1.0
57,04300400106,4,30,4,1,6,1,6,3,1,3.0,,,1.0
58,04311201223,4,31,12,12,23,2,23,3,1,1.0,,,1.0
59,04340300103,4,34,3,1,3,1,3,3,1,6.0,,,2.0
60,04380100110,4,38,1,1,10,1,16,3,1,25.0,,,2.0
61,04380100203,4,38,1,2,3,1,3,3,1,2.0,,,1.0
62,04381100116,4,38,11,1,16,1,1,3,1,1.0,,,1.0
63,06470300204,6,47,3,2,4,1,1,3,1,4.0,,,2.0
64,06470300314,6,47,3,3,14,1,1,3,1,3.0,,,1.0
65,13700101407,13,70,1,14,7,1,1,3,1,32.0,,,1.0
66,14750400317,14,75,4,3,17,1,7,3,1,1.0,,,1.0
67,14750401001,14,75,4,10,1,1,1,3,1,5.0,,,1.0
68,15710100415,15,71,1,4,15,1,5,3,1,6.0,,,1.0
69,15710100605,15,71,1,6,5,1,1,3,1,24.0,,,2.0
70,03200100113,3,20,1,1,13,2,9,3,2,,1.0,1.0,
71,04290100110,4,29,1,1,10,1,2,3,2,,2.0,4.0,
72,04290100110,4,29,1,1,10,1,3,3,2,,2.0,5.0,
73,04300800105,4,30,8,1,5,2,8,3,2,,2.0,1.0,
74,04300802504,4,30,8,25,4,2,4,3,2,,2.0,1.0,
75,04330600803,4,33,6,8,3,2,5,3,2,,2.0,1.0,
76,06490800103,6,49,8,1,3,1,1,3,2,,2.0,1.0,
77,07661900703,7,66,19,7,3,1,1,3,2,,1.0,2.0,
78,04311201223,4,31,12,12,23,2,23,4,1,1.0,,,1.0
79,01020600113,1,2,6,1,13,1,8,4,2,,1.0,1.0,
80,03141800910,3,14,18,9,10,1,2,4,2,,1.0,2.0,
81,03180100101,3,18,1,1,1,1,1,4,2,,2.0,1.0,
82,03200100113,3,20,1,1,13,2,9,4,2,,1.0,1.0,
83,03210100412,3,21,1,4,12,1,1,4,2,,2.0,1.0,
84,04290100110,4,29,1,1,10,1,2,4,2,,2.0,5.0,
85,04290100110,4,29,1,1,10,1,3,4,2,,2.0,555.0,
86,04290100110,4,29,1,1,10,1,4,4,2,,1.0,1.0,
87,04300400106,4,30,4,1,6,1,6,4,2,,1.0,2.0,
88,04300800105,4,30,8,1,5,2,8,4,2,,2.0,1.0,
89,04300802504,4,30,8,25,4,2,4,4,2,,2.0,1.0,
90,04330600803,4,33,6,8,3,2,5,4,2,,2.0,1.0,
91,04340300103,4,34,3,1,3,1,3,4,2,,2.0,1.0,
92,04380100110,4,38,1,1,10,1,16,4,2,,2.0,1.0,
93,04380100203,4,38,1,2,3,1,3,4,2,,1.0,1.0,
94,04381100116,4,38,11,1,16,1,1,4,2,,1.0,1.0,
95,06470300204,6,47,3,2,4,1,1,4,2,,2.0,1.0,
96,06470300314,6,47,3,3,14,1,1,4,2,,1.0,2.0,
97,06490800103,6,49,8,1,3,1,1,4,2,,2.0,2.0,
98,07661900703,7,66,19,7,3,1,1,4,2,,2.0,2.0,
99,13700101407,13,70,1,14,7,1,1,4,2,,1.0,2.0,
