,CommunityID,HI_1,HI_2,HI_3,HI_4,HI_5,HI_6,A8,Item,KH_a,KH_b,KH_86,KH_87,KH_88
0,01010200116,1,1,2,1,16,1,1,1,1,16.0,,,
1,01010200116,1,1,2,1,16,1,1,2,1,2.0,,,
2,01010200116,1,1,2,1,16,1,1,3,1,4.0,,,
3,01010200116,1,1,2,1,16,1,1,4,1,1.0,,,
4,01010200116,1,1,2,1,16,1,1,5,1,3.0,,,
5,01010200116,1,1,2,1,16,1,1,6,2,,2.0,2.0,
6,01010200116,1,1,2,1,16,1,1,7,1,5.0,,,
7,01010200116,1,1,2,1,16,1,1,8,2,,2.0,1.0,
8,01010200116,1,1,2,1,16,1,1,9,1,6.0,,,
9,01010200116,1,1,2,1,16,1,1,10,2,,1.0,1.0,
10,01010200116,1,1,2,1,16,1,1,11,1,3.0,,,1.0
11,01010200116,1,1,2,1,16,1,1,12,1,1.0,,,1.0
12,01010200116,1,1,2,1,16,1,1,13,1,4.0,,,1.0
13,01010200116,1,1,2,1,16,1,1,14,2,,1.0,1.0,
14,01010200116,1,1,2,1,16,1,1,15,1,3.0,,,1.0
15,01010200116,1,1,2,1,16,1,1,16,1,1.0,,,1.0
16,01010200116,1,1,2,1,16,1,1,17,2,,1.0,1.0,
17,01010200116,1,1,2,1,16,1,1,18,1,1.0,,,1.0
18,01010200116,1,1,2,1,16,1,1,19,1,1.0,,,1.0
19,01010200116,1,1,2,1,16,1,1,20,2,,1.0,1.0,
20,01010301101,1,1,3,11,1,2,1,1,1,3.0,,,
21,01010301101,1,1,3,11,1,2,1,2,2,,1.0,2.0,
22,01010301101,1,1,3,11,1,2,1,3,2,,1.0,2.0,
23,01010301101,1,1,3,11,1,2,1,4,2,,1.0,2.0,
24,01010301101,1,1,3,11,1,2,1,5,2,,1.0,2.0,
25,01010301101,1,1,3,11,1,2,1,6,2,,1.0,2.0,
26,01010301101,1,1,3,11,1,2,1,7,2,,1.0,2.0,
27,01010301101,1,1,3,11,1,2,1,8,2,,2.0,2.0,
28,01010301101,1,1,3,11,1,2,1,9,1,1.0,,,
29,01010301101,1,1,3,11,1,2,1,10,2,,1.0,2.0,
30,01010301101,1,1,3,11,1,2,1,11,2,,1.0,2.0,
