,CommunityID,HI_1,HI_2,HI_3,HI_4,HI_5,HI_6,A8,Item,KW_a,KW_b,KW_73,KW_74,KW_75
0,01010200116,1,1,2,1,16,1,1,1,1,6.0,,,1.0
1,01010200116,1,1,2,1,16,1,1,2,2,,1.0,1.0,
2,01010200116,1,1,2,1,16,1,1,3,2,,1.0,2.0,
3,01010200116,1,1,2,1,16,1,1,4,2,,2.0,2.0,
4,01010200116,1,1,2,1,16,1,1,5,2,,2.0,2.0,
5,01010200116,1,1,2,1,16,1,1,6,2,,2.0,2.0,
6,01010200116,1,1,2,1,16,1,1,7,2,,2.0,2.0,
7,01010200116,1,1,2,1,16,1,1,8,2,,2.0,2.0,
8,01010200116,1,1,2,1,16,1,1,9,2,,2.0,2.0,
9,01010200116,1,1,2,1,16,1,1,10,2,,2.0,2.0,
10,01010301101,1,1,3,11,1,2,1,1,2,,1.0,1.0,
11,01010301101,1,1,3,11,1,2,1,2,2,,2.0,2.0,
12,01010301101,1,1,3,11,1,2,1,3,2,,2.0,2.0,
13,01010301101,1,1,3,11,1,2,1,4,2,,2.0,2.0,
14,01010301101,1,1,3,11,1,2,1,5,2,,2.0,2.0,
15,01010301101,1,1,3,11,1,2,1,6,2,,2.0,2.0,
16,01010301101,1,1,3,11,1,2,1,7,2,,2.0,2.0,
17,01010301101,1,1,3,11,1,2,1,8,2,,2.0,2.0,
18,01010301101,1,1,3,11,1,2,1,9,2,,2.0,2.0,
19,01010301101,1,1,3,11,1,2,1,10,2,,2.0,2.0,
20,01010400404,1,1,4,4,4,2,1,1,2,,2.0,2.0,
21,01010400404,1,1,4,4,4,2,1,2,2,,2.0,2.0,
22,01010400404,1,1,4,4,4,2,1,3,2,,2.0,2.0,
23,01010400404,1,1,4,4,4,2,1,4,2,,2.0,2.0,
24,01010400404,1,1,4,4,4,2,1,5,2,,2.0,2.0,
25,01010400404,1,1,4,4,4,2,1,6,2,,2.0,2.0,
26,01010400404,1,1,4,4,4,2,1,7,2,,2.0,2.0,
27,01010400404,1,1,4,4,4,2,1,8,2,,2.0,2.0,
28,01010400404,1,1,4,4,4,2,1,9,2,,2.0,2.0,
29,01010400404,1,1,4,4,4,2,1,10,2,,2.0,2.0,
30,01010400804,1,1,4,8,4,2,1,1,2,,1.0,1.0,
31,01010400804,1,1,4,8,4,2,1,2,2,,1.0,1.0,
32,01010400804,1,1,4,8,4,2,1,3,2,,1.0,1.0,
33,01010400804,1,1,4,8,4,2,1,4,2,,1.0,1.0,
34,01010400804,1,1,4,8,4,2,1,5,2,,1.0,1.0,
35,01010400804,1,1,4,8,4,2,1,6,2,,1.0,1.0,
36,01010400804,1,1,4,8,4,2,1,7,2,,1.0,1.0,
37,01010400804,1,1,4,8,4,2,1,8,2,,1.0,1.0,
38,01010400804,1,1,4,8,4,2,1,9,2,,1.0,1.0,
39,01010400804,1,1,4,8,4,2,1,10,2,,1.0,1.0,
40,01020600113,1,2,6,1,13,1,8,1,1,4.0,,,1.0
41,01020600113,1,2,6,1,13,1,8,2,2,,1.0,2.0,
42,01020600113,1,2,6,1,13,1,8,3,2,,1.0,2.0,
43,01020600113,1,2,6,1,13,1,8,4,2,,1.0,2.0,
44,01020600113,1,2,6,1,13,1,8,5,2,,2.0,2.0,
45,01020600113,1,2,6,1,13,1,8,6,2,,2.0,2.0,
46,01020600113,1,2,6,1,13,1,8,7,2,,2.0,2.0,
47,01020600113,1,2,6,1,13,1,8,8,2,,2.0,2.0,
48,01020600113,1,2,6,1,13,1,8,9,2,,2.0,2.0,
49,01020600113,1,2,6,1,13,1,8,10,2,,2.0,2.0,
50,01020801604,1,2,8,16,4,2,12,1,1,3.0,,,1.0
51,01020801604,1,2,8,16,4,2,12,2,2,,1.0,1.0,
52,01020801604,1,2,8,16,4,2,12,3,2,,1.0,1.0,
53,01020801604,1,2,8,16,4,2,12,4,2,,1.0,1.0,
54,01020801604,1,2,8,16,4,2,12,5,2,,1.0,1.0,
55,01020801604,1,2,8,16,4,2,12,6,2,,1.0,1.0,
56,01020801604,1,2,8,16,4,2,12,7,2,,1.0,1.0,
57,01020801604,1,2,8,16,4,2,12,8,2,,1.0,1.0,
58,01020801604,1,2,8,16,4,2,12,9,1,3.0,,,1.0
59,01020801604,1,2,8,16,4,2,12,10,1,1.0,,,1.0
60,01020901705,1,2,9,17,5,2,11,1,2,,1.0,3.0,
61,01020901705,1,2,9,17,5,2,11,2,2,,1.0,3.0,
62,01020901705,1,2,9,17,5,2,11,3,2,,1.0,3.0,
63,01020901705,1,2,9,17,5,2,11,4,2,,2.0,3.0,
64,01020901705,1,2,9,17,5,2,11,5,2,,2.0,1.0,
65,01020901705,1,2,9,17,5,2,11,6,2,,2.0,1.0,
66,01020901705,1,2,9,17,5,2,11,7,2,,2.0,1.0,
67,01020901705,1,2,9,17,5,2,11,8,2,,2.0,1.0,
68,01020901705,1,2,9,17,5,2,11,9,2,,1.0,3.0,
69,01020901705,1,2,9,17,5,2,11,10,2,,1.0,3.0,
70,01021200418,1,2,12,4,18,1,1,1,1,13.0,,,1.0
71,01021200418,1,2,12,4,18,1,1,2,1,1.0,,,1.0
72,01021200418,1,2,12,4,18,1,1,3,2,,1.0,1.0,
73,01021200418,1,2,12,4,18,1,1,4,2,,1.0,1.0,
74,01021200418,1,2,12,4,18,1,1,5,2,,1.0,1.0,
75,01021200418,1,2,12,4,18,1,1,6,2,,1.0,1.0,
76,01021200418,1,2,12,4,18,1,1,7,2,,1.0,1.0,
77,01021200418,1,2,12,4,18,1,1,8,2,,1.0,1.0,
78,01021200418,1,2,12,4,18,1,1,9,1,1.0,,,1.0
79,01021200418,1,2,12,4,18,1,1,10,2,,1.0,1.0,
80,01030300103,1,3,3,1,3,1,1,1,1,5.0,,,1.0
81,01030300103,1,3,3,1,3,1,1,2,2,,1.0,2.0,
82,01030300103,1,3,3,1,3,1,1,3,2,,1.0,2.0,
83,01030300103,1,3,3,1,3,1,1,4,2,,1.0,2.0,
84,01030300103,1,3,3,1,3,1,1,5,2,,2.0,2.0,
85,01030300103,1,3,3,1,3,1,1,6,2,,2.0,2.0,
86,01030300103,1,3,3,1,3,1,1,7,2,,2.0,2.0,
87,01030300103,1,3,3,1,3,1,1,8,2,,2.0,2.0,
88,01030300103,1,3,3,1,3,1,1,9,2,,2.0,2.0,
89,01030300103,1,3,3,1,3,1,1,10,2,,2.0,2.0,
90,01030600403,1,3,6,4,3,2,10,1,1,1.0,,,1.0
91,01030600403,1,3,6,4,3,2,10,2,2,,1.0,1.0,
92,01030600403,1,3,6,4,3,2,10,3,2,,1.0,1.0,
93,01030600403,1,3,6,4,3,2,10,4,2,,2.0,1.0,
94,01030600403,1,3,6,4,3,2,10,5,2,,1.0,1.0,
95,01030600403,1,3,6,4,3,2,10,6,2,,1.0,1.0,
96,01030600403,1,3,6,4,3,2,10,7,2,,1.0,1.0,
97,01030600403,1,3,6,4,3,2,10,8,2,,2.0,1.0,
98,01030600403,1,3,6,4,3,2,10,9,2,,2.0,1.0,
99,01030600403,1,3,6,4,3,2,10,10,2,,1.0,1.0,
100,01030800402,1,3,8,4,2,1,1,1,1,12.0,,,1.0
101,01030800402,1,3,8,4,2,1,1,2,1,1.0,,,1.0
102,01030800402,1,3,8,4,2,1,1,3,2,,1.0,2.0,
103,01030800402,1,3,8,4,2,1,1,4,2,,1.0,2.0,
104,01030800402,1,3,8,4,2,1,1,5,2,,1.0,2.0,
105,01030800402,1,3,8,4,2,1,1,6,2,,1.0,2.0,
106,01030800402,1,3,8,4,2,1,1,7,2,,1.0,2.0,
107,01030800402,1,3,8,4,2,1,1,8,2,,2.0,2.0,
108,01030800402,1,3,8,4,2,1,1,9,1,5.0,,,1.0
109,01030800402,1,3,8,4,2,1,1,10,2,,1.0,2.0,
110,01041100201,1,4,11,2,1,1,1,1,1,2.0,,,1.0
111,01041100201,1,4,11,2,1,1,1,2,2,,2.0,2.0,
112,01041100201,1,4,11,2,1,1,1,3,2,,2.0,2.0,
113,01041100201,1,4,11,2,1,1,1,4,2,,2.0,2.0,
114,01041100201,1,4,11,2,1,1,1,5,2,,2.0,2.0,
115,01041100201,1,4,11,2,1,1,1,6,2,,2.0,2.0,
116,01041100201,1,4,11,2,1,1,1,7,2,,2.0,2.0,
117,01041100201,1,4,11,2,1,1,1,8,2,,2.0,2.0,
118,01041100201,1,4,11,2,1,1,1,9,2,,2.0,2.0,
119,01041100201,1,4,11,2,1,1,1,10,2,,2.0,2.0,
120,01050100110,1,5,1,1,10,1,1,1,1,3.0,,,1.0
121,01050100110,1,5,1,1,10,1,1,2,2,,1.0,2.0,
122,01050100110,1,5,1,1,10,1,1,3,2,,2.0,2.0,
123,01050100110,1,5,1,1,10,1,1,4,2,,2.0,2.0,
124,01050100110,1,5,1,1,10,1,1,5,2,,2.0,2.0,
125,01050100110,1,5,1,1,10,1,1,6,2,,2.0,2.0,
126,01050100110,1,5,1,1,10,1,1,7,2,,2.0,2.0,
127,01050100110,1,5,1,1,10,1,1,8,2,,2.0,2.0,
128,01050100110,1,5,1,1,10,1,1,9,2,,2.0,2.0,
129,01050100110,1,5,1,1,10,1,1,10,2,,2.0,2.0,
130,01050101108,1,5,1,11,8,2,1,1,2,,2.0,2.0,
131,01050101108,1,5,1,11,8,2,1,2,2,,2.0,2.0,
132,01050101108,1,5,1,11,8,2,1,3,2,,2.0,2.0,
133,01050101108,1,5,1,11,8,2,1,4,2,,2.0,2.0,
134,01050101108,1,5,1,11,8,2,1,5,2,,2.0,2.0,
135,01050101108,1,5,1,11,8,2,1,6,2,,2.0,2.0,
136,01050101108,1,5,1,11,8,2,1,7,2,,2.0,2.0,
137,01050101108,1,5,1,11,8,2,1,8,2,,2.0,2.0,
138,01050101108,1,5,1,11,8,2,1,9,2,,2.0,2.0,
139,01050101108,1,5,1,11,8,2,1,10,2,,2.0,2.0,
140,01060100317,1,6,1,3,17,1,1,1,1,9.0,,,1.0
141,01060100317,1,6,1,3,17,1,1,2,2,,2.0,2.0,
142,01060100317,1,6,1,3,17,1,1,3,2,,2.0,2.0,
143,01060100317,1,6,1,3,17,1,1,4,2,,2.0,2.0,
144,01060100317,1,6,1,3,17,1,1,5,2,,2.0,2.0,
145,01060100317,1,6,1,3,17,1,1,6,2,,2.0,2.0,
146,01060100317,1,6,1,3,17,1,1,7,2,,2.0,2.0,
147,01060100317,1,6,1,3,17,1,1,8,2,,2.0,2.0,
148,01060100317,1,6,1,3,17,1,1,9,2,,2.0,2.0,
149,01060100317,1,6,1,3,17,1,1,10,2,,1.0,2.0,
150,02070101804,2,7,1,18,4,2,1,1,2,,1.0,1.0,
151,02070101804,2,7,1,18,4,2,1,2,2,,1.0,1.0,
152,02070101804,2,7,1,18,4,2,1,3,2,,1.0,1.0,
153,02070101804,2,7,1,18,4,2,1,4,2,,1.0,1.0,
154,02070101804,2,7,1,18,4,2,1,5,2,,1.0,1.0,
155,02070101804,2,7,1,18,4,2,1,6,2,,1.0,1.0,
156,02070101804,2,7,1,18,4,2,1,7,2,,1.0,1.0,
157,02070101804,2,7,1,18,4,2,1,8,2,,1.0,1.0,
158,02070101804,2,7,1,18,4,2,1,9,2,,1.0,1.0,
159,02070101804,2,7,1,18,4,2,1,10,2,,1.0,1.0,
160,02070101901,2,7,1,19,1,2,2,1,2,,2.0,1.0,
161,02070101901,2,7,1,19,1,2,2,2,2,,2.0,1.0,
162,02070101901,2,7,1,19,1,2,2,3,2,,2.0,1.0,
163,02070101901,2,7,1,19,1,2,2,4,2,,1.0,1.0,
164,02070101901,2,7,1,19,1,2,2,5,2,,1.0,1.0,
165,02070101901,2,7,1,19,1,2,2,6,2,,1.0,1.0,
166,02070101901,2,7,1,19,1,2,2,7,2,,1.0,1.0,
167,02070101901,2,7,1,19,1,2,2,8,2,,1.0,1.0,
168,02070101901,2,7,1,19,1,2,2,9,2,,1.0,1.0,
169,02070101901,2,7,1,19,1,2,2,10,2,,1.0,1.0,
170,02070200101,2,7,2,1,1,1,1,1,1,5.0,,,1.0
171,02070200101,2,7,2,1,1,1,1,2,2,,1.0,2.0,
172,02070200101,2,7,2,1,1,1,1,3,2,,2.0,2.0,
173,02070200101,2,7,2,1,1,1,1,4,2,,2.0,2.0,
174,02070200101,2,7,2,1,1,1,1,5,1,3.0,,,1.0
175,02070200101,2,7,2,1,1,1,1,6,1,1.0,,,1.0
176,02070200101,2,7,2,1,1,1,1,7,2,,2.0,2.0,
177,02070200101,2,7,2,1,1,1,1,8,2,,2.0,2.0,
178,02070200101,2,7,2,1,1,1,1,9,2,,2.0,2.0,
179,02070200101,2,7,2,1,1,1,1,10,2,,2.0,2.0,
180,02070300104,2,7,3,1,4,1,1,1,1,5.0,,,1.0
181,02070300104,2,7,3,1,4,1,1,2,2,,1.0,2.0,
182,02070300104,2,7,3,1,4,1,1,3,2,,2.0,2.0,
183,02070300104,2,7,3,1,4,1,1,4,2,,2.0,2.0,
184,02070300104,2,7,3,1,4,1,1,5,1,2.0,,,1.0
185,02070300104,2,7,3,1,4,1,1,6,2,,1.0,2.0,
186,02070300104,2,7,3,1,4,1,1,7,2,,1.0,2.0,
187,02070300104,2,7,3,1,4,1,1,8,2,,2.0,2.0,
188,02070300104,2,7,3,1,4,1,1,9,2,,2.0,2.0,
189,02070300104,2,7,3,1,4,1,1,10,2,,1.0,2.0,
190,02070501103,2,7,5,11,3,2,3,1,1,1.0,,,1.0
191,02070501103,2,7,5,11,3,2,3,2,2,,1.0,1.0,
192,02070501103,2,7,5,11,3,2,3,3,2,,1.0,1.0,
193,02070501103,2,7,5,11,3,2,3,4,2,,1.0,1.0,
194,02070501103,2,7,5,11,3,2,3,5,2,,1.0,1.0,
195,02070501103,2,7,5,11,3,2,3,6,1,1.0,,,2.0
196,02070501103,2,7,5,11,3,2,3,7,2,,1.0,1.0,
197,02070501103,2,7,5,11,3,2,3,8,2,,1.0,1.0,
198,02070501103,2,7,5,11,3,2,3,9,1,2.0,,,1.0
