,HHID,HI_1,HI_2,HI_3,HI_4,HI_5,HI_6,HI_7new,HI_14,eaid,A0,zone_csa,wereda_name
0,01010200116005,1,1,2,1,16,1,5,10/02/17,1010220100116.0,3,1,LAELAY ADIABO
1,01010200116014,1,1,2,1,16,1,14,10/02/17,1010220100116.0,4,1,LAELAY ADIABO
2,01010200116023,1,1,2,1,16,1,23,10/02/17,1010220100116.0,3,1,LAELAY ADIABO
3,01010200116032,1,1,2,1,16,1,32,10/02/17,1010220100116.0,4,1,LAELAY ADIABO
4,01010200116041,1,1,2,1,16,1,41,11/02/17,1010220100116.0,5,1,LAELAY ADIABO
5,01010200116050,1,1,2,1,16,1,50,11/02/17,1010220100116.0,1,1,LAELAY ADIABO
6,01010200116059,1,1,2,1,16,1,59,11/02/17,1010220100116.0,1,1,LAELAY ADIABO
7,01010200116068,1,1,2,1,16,1,68,11/02/17,1010220100116.0,2,1,LAELAY ADIABO
8,01010200116077,1,1,2,1,16,1,77,12/02/17,1010220100116.0,1,1,LAELAY ADIABO
9,01010200116086,1,1,2,1,16,1,86,12/02/17,1010220100116.0,2,1,LAELAY ADIABO
10,01010200116095,1,1,2,1,16,1,95,12/02/17,1010220100116.0,2,1,LAELAY ADIABO
11,01010200116104,1,1,2,1,16,1,104,12/02/17,1010220100116.0,4,1,LAELAY ADIABO
12,01010301101004,1,1,3,11,1,2,4,24/02/17,1010388801101.0,5,1,MEDEBAY ZANA
13,01010301101005,1,1,3,11,1,2,5,26/02/17,1010388801101.0,6,1,MEDEBAY ZANA
14,01010301101010,1,1,3,11,1,2,10,24/02/17,1010388801101.0,3,1,MEDEBAY ZANA
15,01010301101012,1,1,3,11,1,2,12,26/02/17,1010388801101.0,6,1,MEDEBAY ZANA
16,01010301101016,1,1,3,11,1,2,16,24/02/17,1010388801101.0,7,1,MEDEBAY ZANA
17,01010301101020,1,1,3,11,1,2,20,26/02/17,1010388801101.0,10,1,MEDEBAY ZANA
18,01010301101022,1,1,3,11,1,2,22,25/02/17,1010388801101.0,5,1,MEDEBAY ZANA
19,01010301101028,1,1,3,11,1,2,28,25/02/17,1010388801101.0,2,1,MEDEBAY ZANA
20,01010301101034,1,1,3,11,1,2,34,24/02/17,1010388801101.0,3,1,MEDEBAY ZANA
21,01010301101040,1,1,3,11,1,2,40,25/02/17,1010388801101.0,4,1,MEDEBAY ZANA
22,01010301101046,1,1,3,11,1,2,46,26/02/17,1010388801101.0,3,1,MEDEBAY ZANA
23,01010301101052,1,1,3,11,1,2,52,25/02/17,1010388801101.0,10,1,MEDEBAY ZANA
24,01010400404008,1,1,4,4,4,2,8,04/03/17,1010488800404.0,7,1,TAHITAY QORARO
25,01010400404027,1,1,4,4,4,2,27,04/03/17,1010488800404.0,8,1,TAHITAY QORARO
26,01010400404046,1,1,4,4,4,2,46,04/03/17,1010488800404.0,3,1,TAHITAY QORARO
27,01010400404060,1,1,4,4,4,2,60,04/03/17,1010488800404.0,7,1,TAHITAY QORARO
28,01010400404084,1,1,4,4,4,2,84,07/03/17,1010488800404.0,1,1,TAHITAY QORARO
29,01010400404103,1,1,4,4,4,2,103,07/03/17,1010488800404.0,6,1,TAHITAY QORARO
30,01010400404122,1,1,4,4,4,2,122,05/03/17,1010488800404.0,7,1,TAHITAY QORARO
31,01010400404141,1,1,4,4,4,2,141,05/03/17,1010488800404.0,2,1,TAHITAY QORARO
32,01010400404160,1,1,4,4,4,2,160,05/03/17,1010488800404.0,6,1,TAHITAY QORARO
33,01010400404178,1,1,4,4,4,2,178,05/03/17,1010488800404.0,5,1,TAHITAY QORARO
34,01010400404197,1,1,4,4,4,2,197,05/03/17,1010488800404.0,7,1,TAHITAY QORARO
35,01010400404216,1,1,4,4,4,2,216,07/03/17,1010488800404.0,3,1,TAHITAY QORARO
36,01010400804007,1,1,4,8,4,2,7,20/02/17,1010488800804.0,7,1,TAHITAY QORARO
37,01010400804027,1,1,4,8,4,2,27,20/02/17,1010488800804.0,1,1,TAHITAY QORARO
38,01010400804047,1,1,4,8,4,2,47,20/02/17,1010488800804.0,5,1,TAHITAY QORARO
39,01010400804067,1,1,4,8,4,2,67,21/02/17,1010488800804.0,3,1,TAHITAY QORARO
40,01010400804087,1,1,4,8,4,2,87,22/02/17,1010488800804.0,4,1,TAHITAY QORARO
41,01010400804107,1,1,4,8,4,2,107,21/02/17,1010488800804.0,4,1,TAHITAY QORARO
42,01010400804127,1,1,4,8,4,2,127,22/02/17,1010488800804.0,3,1,TAHITAY QORARO
43,01010400804147,1,1,4,8,4,2,147,22/02/17,1010488800804.0,4,1,TAHITAY QORARO
44,01010400804167,1,1,4,8,4,2,167,21/02/17,1010488800804.0,4,1,TAHITAY QORARO
45,01010400804187,1,1,4,8,4,2,187,21/02/17,1010488800804.0,4,1,TAHITAY QORARO
46,01010400804207,1,1,4,8,4,2,207,22/02/17,1010488800804.0,3,1,TAHITAY QORARO
47,01010400804227,1,1,4,8,4,2,227,22/02/17,1010488800804.0,3,1,TAHITAY QORARO
48,01020600113003,1,2,6,1,13,1,3,16/02/17,1020620100113.0,7,2,TAHITAY MAYCHEW
49,01020600113011,1,2,6,1,13,1,11,15/02/17,1020620100113.0,2,2,TAHITAY MAYCHEW
50,01020600113019,1,2,6,1,13,1,19,15/02/17,1020620100113.0,2,2,TAHITAY MAYCHEW
51,01020600113027,1,2,6,1,13,1,27,15/02/17,1020620100113.0,1,2,TAHITAY MAYCHEW
52,01020600113035,1,2,6,1,13,1,35,15/02/17,1020620100113.0,6,2,TAHITAY MAYCHEW
53,01020600113043,1,2,6,1,13,1,43,16/02/17,1020620100113.0,4,2,TAHITAY MAYCHEW
54,01020600113051,1,2,6,1,13,1,51,16/02/17,1020620100113.0,5,2,TAHITAY MAYCHEW
55,01020600113059,1,2,6,1,13,1,59,16/02/17,1020620100113.0,2,2,TAHITAY MAYCHEW
56,01020600113067,1,2,6,1,13,1,67,17/02/17,1020620100113.0,3,2,TAHITAY MAYCHEW
57,01020600113075,1,2,6,1,13,1,75,17/02/17,1020620100113.0,3,2,TAHITAY MAYCHEW
58,01020600113083,1,2,6,1,13,1,83,17/02/17,1020620100113.0,5,2,TAHITAY MAYCHEW
59,01020600113091,1,2,6,1,13,1,91,17/02/17,1020620100113.0,3,2,TAHITAY MAYCHEW
60,01020801604004,1,2,8,16,4,2,4,15/02/17,1020888801604.0,6,2,KOLA TEMBEN
61,01020801604014,1,2,8,16,4,2,14,15/02/17,1020888801604.0,2,2,KOLA TEMBEN
62,01020801604024,1,2,8,16,4,2,24,15/02/17,1020888801604.0,3,2,KOLA TEMBEN
63,01020801604034,1,2,8,16,4,2,34,15/02/17,1020888801604.0,3,2,KOLA TEMBEN
64,01020801604044,1,2,8,16,4,2,44,15/02/17,1020888801604.0,1,2,KOLA TEMBEN
65,01020801604054,1,2,8,16,4,2,54,15/02/17,1020888801604.0,4,2,KOLA TEMBEN
