,HHID,IndividualID,quest_id,HI_1,HI_2,HI_3,HI_4,HI_5,HI_6,HI_7,A1,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,EAID
0,01010200116005,0101020011600501,1,1,1,2,1,16,1,5,1,1,1,30,1,1.0,2.0,10.0,1.0,1.0,6.0,1.0,3.0,20.0,12.0,24.0,1700.0,2.0,,1010220100116.0
1,01010200116005,0101020011600502,1,1,1,2,1,16,1,5,2,2,2,22,1,1.0,2.0,7.0,1.0,1.0,1.0,1.0,15.0,,,,,,,1010220100116.0
2,01010200116005,0101020011600503,1,1,1,2,1,16,1,5,3,2,3,2,2,,,,,,,,,,,,,,,1010220100116.0
3,01010200116014,0101020011601401,2,1,1,2,1,16,1,14,1,1,1,35,1,2.0,,,1.0,1.0,6.0,1.0,4.0,2.0,5.0,24.0,1000.0,2.0,,1010220100116.0
4,01010200116014,0101020011601402,2,1,1,2,1,16,1,14,2,2,2,28,1,2.0,,,1.0,1.0,1.0,1.0,15.0,,,,,,,1010220100116.0
5,01010200116014,0101020011601403,2,1,1,2,1,16,1,14,3,2,3,8,1,1.0,1.0,1.0,2.0,,,,,,,,,,,1010220100116.0
6,01010200116014,0101020011601404,2,1,1,2,1,16,1,14,4,1,3,0,2,,,,,,,,,,,,,,,1010220100116.0
7,01010200116023,0101020011602301,3,1,1,2,1,16,1,23,1,1,1,35,1,2.0,,,1.0,1.0,6.0,1.0,4.0,20.0,12.0,26.0,1000.0,1.0,0.0,1010220100116.0
8,01010200116023,0101020011602302,3,1,1,2,1,16,1,23,2,2,2,27,1,1.0,2.0,7.0,1.0,1.0,1.0,1.0,15.0,,,,,,,1010220100116.0
9,01010200116023,0101020011602303,3,1,1,2,1,16,1,23,3,1,3,2,2,,,,,,,,,,,,,,,1010220100116.0
10,01010200116032,0101020011603201,4,1,1,2,1,16,1,32,1,1,1,38,1,2.0,,,1.0,1.0,6.0,1.0,4.0,2.0,6.0,26.0,1000.0,2.0,,1010220100116.0
11,01010200116032,0101020011603202,4,1,1,2,1,16,1,32,2,2,2,29,1,2.0,,,1.0,1.0,1.0,1.0,15.0,,,,,,,1010220100116.0
12,01010200116032,0101020011603203,4,1,1,2,1,16,1,32,3,2,3,4,2,,,,,,,,,,,,,,,1010220100116.0
13,01010200116032,0101020011603204,4,1,1,2,1,16,1,32,4,1,3,2,2,,,,,,,,,,,,,,,1010220100116.0
14,01010200116041,0101020011604101,5,1,1,2,1,16,1,41,1,1,1,80,1,2.0,,,1.0,1.0,6.0,1.0,12.0,,,,,,,1010220100116.0
15,01010200116041,0101020011604102,5,1,1,2,1,16,1,41,2,2,2,40,1,2.0,,,1.0,1.0,1.0,1.0,3.0,7.0,12.0,26.0,500.0,2.0,,1010220100116.0
16,01010200116041,0101020011604103,5,1,1,2,1,16,1,41,3,2,3,12,1,1.0,1.0,5.0,1.0,5.0,6.0,2.0,,,,,,,,1010220100116.0
17,01010200116041,0101020011604104,5,1,1,2,1,16,1,41,4,2,3,9,1,1.0,1.0,4.0,2.0,,,,,,,,,,,1010220100116.0
18,01010200116041,0101020011604105,5,1,1,2,1,16,1,41,5,1,3,6,1,2.0,,,2.0,,,,,,,,,,,1010220100116.0
19,01010200116050,0101020011605001,6,1,1,2,1,16,1,50,1,1,1,24,1,1.0,2.0,10.0,1.0,5.0,6.0,1.0,4.0,2.0,6.0,24.0,1000.0,2.0,,1010220100116.0
20,01010200116059,0101020011605901,7,1,1,2,1,16,1,59,1,2,1,65,1,2.0,,,1.0,8.0,1.0,1.0,15.0,,,,,,,1010220100116.0
21,01010200116068,0101020011606801,8,1,1,2,1,16,1,68,1,2,1,28,1,1.0,2.0,10.0,1.0,1.0,1.0,1.0,1.0,16.0,10.0,24.0,1500.0,2.0,,1010220100116.0
22,01010200116068,0101020011606802,8,1,1,2,1,16,1,68,2,1,3,2,2,,,,,,,,,,,,,,,1010220100116.0
23,01010200116077,0101020011607701,9,1,1,2,1,16,1,77,1,2,1,25,1,1.0,2.0,5.0,1.0,5.0,1.0,1.0,3.0,19.0,12.0,30.0,600.0,2.0,,1010220100116.0
24,01010200116086,0101020011608601,10,1,1,2,1,16,1,86,1,2,1,70,1,2.0,,,1.0,8.0,1.0,1.0,12.0,,,,,,,1010220100116.0
25,01010200116086,0101020011608602,10,1,1,2,1,16,1,86,2,1,3,50,1,1.0,2.0,4.0,1.0,5.0,6.0,1.0,15.0,,,,,,,1010220100116.0
26,01010200116095,0101020011609501,11,1,1,2,1,16,1,95,1,2,1,78,1,2.0,,,1.0,6.0,2.0,1.0,15.0,,,,,,,1010220100116.0
27,01010200116095,0101020011609502,11,1,1,2,1,16,1,95,2,2,4,14,1,1.0,1.0,4.0,1.0,5.0,2.0,2.0,,,,,,,,1010220100116.0
28,01010200116104,0101020011610401,12,1,1,2,1,16,1,104,1,1,1,28,1,1.0,2.0,7.0,1.0,1.0,6.0,1.0,8.0,,6.0,26.0,1000.0,2.0,,1010220100116.0
29,01010200116104,0101020011610402,12,1,1,2,1,16,1,104,2,2,2,25,1,1.0,2.0,10.0,1.0,1.0,1.0,1.0,15.0,,,,,,,1010220100116.0
30,01010200116104,0101020011610403,12,1,1,2,1,16,1,104,3,1,3,3,2,,,,,,,,,,,,,,,1010220100116.0
31,01010200116104,0101020011610404,12,1,1,2,1,16,1,104,4,2,3,0,2,,,,,,,,,,,,,,,1010220100116.0
32,01010301101004,0101030110100401,13,1,1,3,11,1,2,4,1,1,1,60,1,2.0,,,1.0,1.0,6.0,1.0,5.0,1.0,7.0,30.0,1500.0,2.0,,1010388801101.0
33,01010301101004,0101030110100402,13,1,1,3,11,1,2,4,2,1,2,50,1,2.0,,,1.0,1.0,1.0,1.0,15.0,,,,,,,1010388801101.0
34,01010301101004,0101030110100403,13,1,1,3,11,1,2,4,3,1,3,24,1,1.0,1.0,7.0,1.0,5.0,6.0,1.0,10.0,,,,,,,1010388801101.0
35,01010301101004,0101030110100404,13,1,1,3,11,1,2,4,4,1,3,18,1,1.0,1.0,10.0,1.0,5.0,6.0,1.0,10.0,,,,,,,1010388801101.0
36,01010301101004,0101030110100405,13,1,1,3,11,1,2,4,5,2,3,14,1,1.0,1.0,7.0,1.0,5.0,1.0,2.0,,,,,,,,1010388801101.0
37,01010301101005,0101030110100501,14,1,1,3,11,1,2,5,1,1,1,40,1,2.0,,,1.0,1.0,6.0,1.0,5.0,1.0,7.0,18.0,583.0,2.0,,1010388801101.0
38,01010301101005,0101030110100502,14,1,1,3,11,1,2,5,2,2,2,30,1,2.0,,,1.0,1.0,1.0,1.0,15.0,,,,,,,1010388801101.0
39,01010301101005,0101030110100503,14,1,1,3,11,1,2,5,3,2,6,70,1,2.0,,,1.0,8.0,6.0,1.0,12.0,,,,,,,1010388801101.0
40,01010301101005,0101030110100504,14,1,1,3,11,1,2,5,4,1,3,18,1,1.0,1.0,6.0,1.0,5.0,6.0,1.0,10.0,,,,,,,1010388801101.0
41,01010301101005,0101030110100505,14,1,1,3,11,1,2,5,5,1,3,10,1,1.0,1.0,3.0,2.0,,,,,,,,,,,1010388801101.0
42,01010301101005,0101030110100506,14,1,1,3,11,1,2,5,6,2,3,12,1,1.0,1.0,7.0,1.0,5.0,1.0,2.0,,,,,,,,1010388801101.0
43,01010301101010,0101030110101001,15,1,1,3,11,1,2,10,1,2,1,35,1,1.0,2.0,6.0,1.0,6.0,1.0,1.0,5.0,1.0,7.0,19.0,223.0,1.0,0.0,1010388801101.0
44,01010301101010,0101030110101002,15,1,1,3,11,1,2,10,2,1,3,13,1,1.0,1.0,7.0,1.0,5.0,6.0,2.0,,,,,,,,1010388801101.0
45,01010301101010,0101030110101003,15,1,1,3,11,1,2,10,3,1,3,9,1,1.0,1.0,2.0,2.0,,,,,,,,,,,1010388801101.0
46,01010301101012,0101030110101201,16,1,1,3,11,1,2,12,1,1,1,40,1,1.0,2.0,7.0,1.0,1.0,6.0,1.0,5.0,1.0,7.0,18.0,933.0,2.0,,1010388801101.0
47,01010301101012,0101030110101202,16,1,1,3,11,1,2,12,2,2,2,30,1,1.0,2.0,5.0,1.0,1.0,1.0,1.0,15.0,,,,,,,1010388801101.0
48,01010301101012,0101030110101203,16,1,1,3,11,1,2,12,3,1,3,13,1,1.0,1.0,4.0,1.0,5.0,6.0,2.0,,,,,,,,1010388801101.0
49,01010301101012,0101030110101204,16,1,1,3,11,1,2,12,4,2,3,10,1,1.0,1.0,4.0,2.0,,,,,,,,,,,1010388801101.0
50,01010301101012,0101030110101205,16,1,1,3,11,1,2,12,5,2,3,4,2,,,,,,,,,,,,,,,1010388801101.0
51,01010301101012,0101030110101206,16,1,1,3,11,1,2,12,6,2,3,15,1,1.0,1.0,8.0,1.0,5.0,1.0,1.0,10.0,,,,,,,1010388801101.0
52,01010301101016,0101030110101601,17,1,1,3,11,1,2,16,1,1,1,56,1,1.0,2.0,4.0,1.0,1.0,6.0,1.0,3.0,1.0,7.0,19.0,933.0,2.0,,1010388801101.0
53,01010301101016,0101030110101602,17,1,1,3,11,1,2,16,2,2,2,48,1,2.0,,,1.0,1.0,1.0,1.0,15.0,,,,,,,1010388801101.0
