,HHID,B20
0,01010200116005,10
1,01010200116014,10
2,01010200116023,10
3,01010200116032,10
4,01010200116041,10
5,01010200116050,10
6,01010200116059,10
7,01010200116068,10
8,01010200116077,10
9,01010200116086,10
10,01010200116095,10
11,01010200116104,10
12,01010301101004,3
13,01010301101005,10
14,01010301101010,3
15,01010301101012,3
16,01010301101016,3
17,01010301101020,3
18,01010301101022,3
19,01010301101028,3
20,01010301101034,3
21,01010301101040,3
22,01010301101046,3
23,01010301101052,3
24,01010400404008,3
25,01010400404027,3
26,01010400404046,10
27,01010400404060,3
28,01010400404084,3
29,01010400404103,3
30,01010400404122,3
31,01010400404141,3
32,01010400404160,3
33,01010400404178,3
34,01010400404197,3
35,01010400404216,3
36,01010400804007,10
37,01010400804027,3
38,01010400804047,1
39,01010400804067,3
40,01010400804087,3
41,01010400804107,3
42,01010400804127,10
43,01010400804147,1
44,01010400804167,3
45,01010400804167,10
46,01010400804187,10
47,01010400804207,10
48,01010400804227,3
49,01020600113003,1
50,01020600113003,10
51,01020600113011,9
52,01020600113011,10
53,01020600113019,10
54,01020600113027,10
55,01020600113035,10
56,01020600113043,10
57,01020600113051,10
58,01020600113059,10
59,01020600113067,10
60,01020600113075,10
61,01020600113083,10
62,01020600113091,10
63,01020801604004,3
64,01020801604004,9
65,01020801604004,10
66,01020801604014,3
67,01020801604014,9
68,01020801604014,10
69,01020801604024,2
70,01020801604024,9
71,01020801604024,10
72,01020801604034,9
73,01020801604034,10
74,01020801604044,1
75,01020801604044,10
76,01020801604054,10
77,01020801604064,2
78,01020801604064,9
79,01020801604064,10
80,01020801604074,9
81,01020801604074,10
82,01020801604084,2
83,01020801604084,9
84,01020801604084,10
85,01020801604100,9
86,01020801604100,10
87,01020801604135,9
88,01020801604135,10
89,01020801604170,9
90,01020801604170,10
91,01020901705002,9
92,01020901705002,10
93,01020901705018,9
94,01020901705018,10
95,01020901705034,8
96,01020901705034,9
97,01020901705034,10
98,01020901705050,2
99,01020901705050,9
100,01020901705050,10
101,01020901705066,3
102,01020901705066,9
103,01020901705066,10
104,01020901705082,3
105,01020901705082,10
106,01020901705098,1
107,01020901705098,10
108,01020901705114,11
109,01020901705130,11
110,01020901705146,11
111,01020901705162,2
112,01020901705162,9
113,01020901705162,10
114,01020901705178,10
115,01021200418002,11
116,01021200418013,10
117,01021200418024,10
118,01021200418035,10
119,01021200418046,10
120,01021200418057,10
121,01021200418068,10
122,01021200418079,10
123,01021200418090,10
124,01021200418101,10
125,01021200418112,10
126,01021200418123,10
127,01030300103004,10
128,01030300103017,9
129,01030300103017,10
130,01030300103030,1
131,01030300103043,1
132,01030300103056,1
133,01030300103069,1
134,01030300103082,1
135,01030300103095,9
136,01030300103095,10
137,01030300103108,9
138,01030300103108,10
139,01030300103121,9
140,01030300103121,10
141,01030300103134,10
142,01030300103147,1
143,01030300103147,9
144,01030300103147,10
145,01030600403012,2
146,01030600403012,9
147,01030600403012,10
148,01030600403017,3
149,01030600403017,9
150,01030600403017,10
151,01030600403036,2
152,01030600403036,9
153,01030600403036,10
154,01030600403049,2
155,01030600403049,9
156,01030600403049,10
157,01030600403072,9
158,01030600403072,10
159,01030600403092,3
160,01030600403092,9
161,01030600403092,10
162,01030600403116,2
163,01030600403116,9
164,01030600403116,10
165,01030600403138,1
166,01030600403138,2
167,01030600403138,10
168,01030600403164,3
169,01030600403164,9
170,01030600403164,10
171,01030600403173,1
172,01030600403173,10
173,01030600403183,2
174,01030600403183,10
175,01030600403185,2
176,01030600403185,10
177,01030800402002,9
178,01030800402002,10
179,01030800402015,9
180,01030800402015,10
181,01030800402028,9
182,01030800402028,10
183,01030800402041,9
184,01030800402041,10
185,01030800402054,9
186,01030800402054,10
187,01030800402067,9
188,01030800402067,10
189,01030800402080,9
190,01030800402080,10
191,01030800402093,9
192,01030800402093,10
193,01030800402106,9
194,01030800402106,10
195,01030800402119,10
196,01030800402132,9
197,01030800402132,10
198,01030800402145,9
199,01030800402145,10
200,01041100201005,3
201,01041100201020,10
202,01041100201035,3
203,01041100201050,3
204,01041100201065,3
205,01041100201080,3
206,01041100201095,3
207,01041100201110,3
208,01041100201125,3
209,01041100201140,3
210,01041100201155,3
211,01041100201170,10
212,01050100110004,3
213,01050100110006,3
214,01050100110009,3
215,01050100110013,3
216,01050100110022,10
217,01050100110031,3
218,01050100110040,3
219,01050100110058,3
220,01050100110067,3
221,01050100110085,3
222,01050100110094,10
223,01050100110103,3
224,01050101108006,3
225,01050101108019,3
226,01050101108032,3
227,01050101108045,3
228,01050101108058,3
229,01050101108071,3
230,01050101108084,3
231,01050101108097,3
232,01050101108110,3
233,01050101108123,10
234,01050101108136,3
235,01050101108149,3
236,01060100317002,1
237,01060100317012,1
238,01060100317022,10
239,01060100317032,1
240,01060100317042,2
241,01060100317052,10
242,01060100317062,1
243,01060100317072,11
244,01060100317082,10
245,01060100317092,1
246,01060100317102,1
247,01060100317112,3
248,01060200127002,10
249,01060200127003,10
250,01060200127031,10
251,01060200127045,10
252,01060200127058,10
253,01060200127072,1
254,01060200127086,10
255,01060200127100,1
256,01060200127100,10
257,01060200127113,1
258,01060200127128,1
259,01060200127128,10
260,01060200127142,1
261,01060200127156,1
262,01060200506004,1
263,01060200506015,1
264,01060200506026,1
265,01060200506037,1
266,01060200506048,1
267,01060200506059,7
268,01060200506070,10
269,01060200506081,3
270,01060200506092,1
271,01060200506103,1
272,01060200506114,2
273,01060200506125,1
274,02070101804001,10
275,02070101804011,10
276,02070101804021,10
277,02070101804031,10
278,02070101804041,10
279,02070101804051,9
280,02070101804051,10
281,02070101804061,9
282,02070101804061,10
283,02070101804071,10
284,02070101804081,9
285,02070101804081,10
286,02070101804091,11
287,02070101804101,11
288,02070101804111,11
289,02070101901002,9
290,02070101901002,10
291,02070101901014,9
292,02070101901014,10
293,02070101901026,9
294,02070101901026,10
295,02070101901038,9
296,02070101901038,10
297,02070101901050,9
298,02070101901050,10
299,02070101901062,9
300,02070101901062,10
301,02070101901074,10
302,02070101901074,11
303,02070101901086,9
304,02070101901086,10
305,02070101901098,9
306,02070101901110,11
307,02070101901122,11
308,02070101901134,11
309,02070200101003,10
310,02070200101011,11
311,02070200101019,11
312,02070200101027,10
313,02070200101035,1
314,02070200101043,10
315,02070200101051,11
316,02070200101059,11
317,02070200101067,11
318,02070200101075,11
319,02070200101083,3
320,02070200101091,11
321,02070300104005,11
322,02070300104016,11
323,02070300104027,2
324,02070300104027,4
325,02070300104038,1
326,02070300104049,1
327,02070300104060,10
328,02070300104071,1
329,02070300104082,10
330,02070300104093,11
331,02070300104104,1
332,02070300104115,11
333,02070300104126,10
334,02070300111005,1
335,02070300111015,1
336,02070300111025,1
337,02070300111035,10
338,02070300111045,11
339,02070300111055,11
340,02070300111065,3
341,02070300111075,1
342,02070300111085,1
343,02070300111095,10
344,02070300111105,1
345,02070300111115,3
346,02070300205006,3
347,02070300205011,3
348,02070300205016,1
349,02070300205021,1
350,02070300205021,3
351,02070300205026,1
352,02070300205031,3
353,02070300205036,10
354,02070300205041,1
