,HHID,Number_of_items,C109,C110,C111,C112
0,01010200116005,,,,,
1,01010200116014,,,,,
2,01010200116023,,,,,
3,01010200116032,,,,,
4,01010200116041,,,,,
5,01010200116050,,,,,
6,01010200116059,,,,,
7,01010200116068,,,,,
8,01010200116077,,,,,
9,01010200116086,,,,,
10,01010200116095,,,,,
11,01010200116104,,,,,
12,01010301101004,,,,,
13,01010301101005,,,,,
14,01010301101010,,,,,
15,01010301101012,,,,,
16,01010301101016,,,,,
17,01010301101020,,,,,
18,01010301101022,,,,,
19,01010301101028,,,,,
20,01010301101034,,,,,
21,01010301101040,,,,,
22,01010301101046,,,,,
23,01010301101052,,,,,
24,01010400404008,,,,,
25,01010400404027,,,,,
26,01010400404046,,,,,
27,01010400404060,,,,,
28,01010400404084,,,,,
29,01010400404103,,,,,
30,01010400404122,,,,,
31,01010400404141,,,,,
32,01010400404160,,,,,
33,01010400404178,,,,,
34,01010400404197,,,,,
35,01010400404216,,,,,
36,01010400804007,,,,,
37,01010400804027,,,,,
38,01010400804047,,,,,
39,01010400804067,,,,,
40,01010400804087,,,,,
41,01010400804107,,,,,
42,01010400804127,,,,,
43,01010400804147,,,,,
44,01010400804167,,,,,
45,01010400804187,,,,,
46,01010400804207,,,,,
47,01010400804227,,,,,
48,01020600113003,,,,,
49,01020600113011,,,,,
50,01020600113019,,,,,
51,01020600113027,,,,,
52,01020600113035,,,,,
53,01020600113043,,,,,
54,01020600113051,,,,,
55,01020600113059,,,,,
56,01020600113067,,,,,
57,01020600113075,,,,,
58,01020600113083,,,,,
59,01020600113091,,,,,
60,01020801604004,,,,,
61,01020801604014,,,,,
62,01020801604024,,,,,
63,01020801604034,,,,,
64,01020801604044,,,,,
65,01020801604054,,,,,
66,01020801604064,,,,,
67,01020801604074,,,,,
68,01020801604084,,,,,
69,01020801604100,,,,,
70,01020801604135,,,,,
71,01020801604170,,,,,
72,01020901705002,,,,,
73,01020901705018,,,,,
74,01020901705034,,,,,
75,01020901705050,,,,,
76,01020901705066,,,,,
77,01020901705082,,,,,
78,01020901705098,,,,,
79,01020901705114,,,,,
80,01020901705130,,,,,
81,01020901705146,,,,,
82,01020901705162,,,,,
83,01020901705178,,,,,
84,01021200418002,,,,,
85,01021200418013,,,,,
86,01021200418024,,,,,
87,01021200418035,,,,,
88,01021200418046,,,,,
89,01021200418057,,,,,
90,01021200418068,,,,,
91,01021200418079,,,,,
92,01021200418090,,,,,
93,01021200418101,,,,,
94,01021200418112,,,,,
95,01021200418123,,,,,
96,01030300103004,,,,,
97,01030300103017,,,,,
98,01030300103030,,,,,
99,01030300103043,,,,,
100,01030300103056,,,,,
101,01030300103069,,,,,
102,01030300103082,,,,,
103,01030300103095,,,,,
104,01030300103108,,,,,
105,01030300103121,,,,,
106,01030300103134,,,,,
107,01030300103147,,,,,
108,01030600403012,,,,,
109,01030600403017,,,,,
110,01030600403036,,,,,
111,01030600403049,,,,,
112,01030600403072,,,,,
113,01030600403092,,,,,
114,01030600403116,,,,,
115,01030600403138,,,,,
116,01030600403164,,,,,
117,01030600403173,,,,,
118,01030600403183,,,,,
119,01030600403185,,,,,
120,01030800402002,,,,,
121,01030800402015,,,,,
122,01030800402028,,,,,
123,01030800402041,,,,,
124,01030800402054,,,,,
125,01030800402067,,,,,
126,01030800402080,,,,,
127,01030800402093,,,,,
128,01030800402106,,,,,
129,01030800402119,,,,,
130,01030800402132,,,,,
131,01030800402145,,,,,
132,01041100201005,,,,,
133,01041100201020,,,,,
134,01041100201035,,,,,
135,01041100201050,,,,,
136,01041100201065,,,,,
137,01041100201080,,,,,
138,01041100201095,,,,,
139,01041100201110,,,,,
140,01041100201125,,,,,
141,01041100201140,,,,,
142,01041100201155,,,,,
143,01041100201170,,,,,
144,01050100110004,,,,,
145,01050100110006,,,,,
146,01050100110009,,,,,
147,01050100110013,,,,,
148,01050100110022,,,,,
149,01050100110031,,,,,
150,01050100110040,,,,,
151,01050100110058,,,,,
152,01050100110067,,,,,
153,01050100110085,,,,,
154,01050100110094,,,,,
155,01050100110103,,,,,
156,01050101108006,,,,,
157,01050101108019,,,,,
158,01050101108032,,,,,
159,01050101108045,,,,,
160,01050101108058,,,,,
161,01050101108071,,,,,
162,01050101108084,,,,,
163,01050101108097,,,,,
164,01050101108110,,,,,
165,01050101108123,,,,,
166,01050101108136,,,,,
167,01050101108149,,,,,
168,01060100317002,,,,,
169,01060100317012,,,,,
170,01060100317022,,,,,
171,01060100317032,,,,,
172,01060100317042,,,,,
173,01060100317052,,,,,
174,01060100317062,,,,,
175,01060100317072,,,,,
176,01060100317082,,,,,
177,01060100317092,,,,,
178,01060100317102,,,,,
179,01060100317112,,,,,
180,01060200127002,,,,,
181,01060200127003,,,,,
182,01060200127031,,,,,
183,01060200127045,,,,,
184,01060200127058,,,,,
185,01060200127072,,,,,
186,01060200127086,,,,,
187,01060200127100,,,,,
188,01060200127113,,,,,
189,01060200127128,,,,,
190,01060200127142,,,,,
191,01060200127156,,,,,
192,01060200506004,,,,,
193,01060200506015,,,,,
194,01060200506026,,,,,
195,01060200506037,,,,,
196,01060200506048,,,,,
197,01060200506059,,,,,
198,01060200506070,,,,,
199,01060200506081,,,,,
200,01060200506092,,,,,
201,01060200506103,,,,,
202,01060200506114,,,,,
203,01060200506125,,,,,
204,02070101804001,,,,,
205,02070101804011,,,,,
206,02070101804021,,,,,
207,02070101804031,,,,,
208,02070101804041,,,,,
209,02070101804051,,,,,
210,02070101804061,,,,,
211,02070101804071,,,,,
212,02070101804081,,,,,
213,02070101804091,,,,,
214,02070101804101,,,,,
215,02070101804111,,,,,
216,02070101901002,,,,,
217,02070101901014,,,,,
218,02070101901026,,,,,
219,02070101901038,,,,,
220,02070101901050,,,,,
221,02070101901062,,,,,
222,02070101901074,,,,,
223,02070101901086,,,,,
224,02070101901098,,,,,
225,02070101901110,,,,,
226,02070101901122,,,,,
227,02070101901134,,,,,
228,02070200101003,,,,,
229,02070200101011,,,,,
230,02070200101019,,,,,
231,02070200101027,,,,,
232,02070200101035,,,,,
233,02070200101043,,,,,
234,02070200101051,,,,,
235,02070200101059,,,,,
236,02070200101067,,,,,
237,02070200101075,,,,,
238,02070200101083,,,,,
239,02070200101091,,,,,
240,02070300104005,,,,,
241,02070300104016,,,,,
242,02070300104027,,,,,
243,02070300104038,,,,,
244,02070300104049,,,,,
245,02070300104060,,,,,
246,02070300104071,,,,,
247,02070300104082,,,,,
248,02070300104093,,,,,
249,02070300104104,,,,,
250,02070300104115,,,,,
251,02070300104126,,,,,
252,02070300111005,,,,,
253,02070300111015,,,,,
254,02070300111025,,,,,
255,02070300111035,,,,,
256,02070300111045,,,,,
257,02070300111055,,,,,
258,02070300111065,,,,,
259,02070300111075,,,,,
260,02070300111085,,,,,
261,02070300111095,,,,,
262,02070300111105,,,,,
263,02070300111115,,,,,
264,02070300205006,,,,,
265,02070300205011,,,,,
266,02070300205016,,,,,
267,02070300205021,,,,,
268,02070300205026,,,,,
269,02070300205031,,,,,
270,02070300205036,,,,,
271,02070300205041,,,,,
272,02070300205046,,,,,
273,02070300205051,,,,,
274,02070300205056,,,,,
275,02070300205061,,,,,
276,02070300212007,,,,,
277,02070300212015,,,,,
278,02070300212023,,,,,
279,02070300212031,,,,,
280,02070300212039,,,,,
281,02070300212047,,,,,
282,02070300212055,,,,,
283,02070300212063,,,,,
284,02070300212071,,,,,
285,02070300212079,,,,,
286,02070300212087,,,,,
287,02070300212095,,,,,
288,02070501103003,,,,,
289,02070501103013,,,,,
290,02070501103023,,,,,
291,02070501103033,,,,,
292,02070501103041,,,,,
293,02070501103049,,,,,
294,02070501103059,,,,,
295,02070501103079,,,,,
296,02070501103089,,,,,
297,02070501103103,,,,,
298,02070501103106,,,,,
299,02070501103133,,,,,
300,02070501302004,,,,,
301,02070501302016,,,,,
302,02070501302028,,,,,
303,02070501302040,,,,,
304,02070501302052,,,,,
305,02070501302064,,,,,
306,02070501302076,,,,,
307,02070501302088,,,,,
308,02070501302100,,,,,
309,02070501302112,,,,,
310,02070501302124,,,,,
311,02070501302136,,,,,
312,02080300102008,,,,,
313,02080300102022,,,,,
314,02080300102036,,,,,
315,02080300102050,,,,,
316,02080300102064,,,,,
317,02080300102078,,,,,
318,02080300102092,,,,,
319,02080300102106,,,,,
320,02080300102120,,,,,
321,02080300102134,,,,,
322,02080300102148,,,,,
323,02080300102162,,,,,
324,02080300404004,,,,,
325,02080300404015,,,,,
326,02080300404026,,,,,
327,02080300404037,,,,,
328,02080300404048,,,,,
329,02080300404059,,,,,
330,02080300404070,,,,,
331,02080300404081,,,,,
332,02080300404092,,,,,
333,02080300404104,,,,,
334,02080300404130,,,,,
335,02080300404156,,,,,
336,02090100104008,,,,,
337,02090100104020,,,,,
