,HHID,C125,C126,C127,C128,C129,C130,C131,C132,C133,C134,C135,C136,C137,C137_1,C138,C139,C140,C141,C142,C143
0,01010200116005,1.0,8.0,MINGHUI,1.0,,,,,,,,,,,,,,,,
1,01010200116014,,,,,,,,,,,,,,,,,,,,
2,01010200116023,,,,,,,,,,,,,,,,,,,,
3,01010200116032,,,,,,,,,,,,,,,,,,,,
4,01010200116041,1.0,11.0,no,1.0,,,,,,,,,,,,,,,,
5,01010200116050,,,,,,,,,,,,,,,,,,,,
6,01010200116059,1.0,11.0,no,1.0,,,,,,,,,,,,,,,,
7,01010200116068,,,,,,,,,,,,,,,,,,,,
8,01010200116077,,,,,,,,,,,,,,,,,,,,
9,01010200116086,1.0,11.0,no,1.0,,,,,,,,,,,,,,,,
10,01010200116095,,,,,,,,,,,,,,,,,,,,
11,01010200116104,,,,,,,,,,,,,,,,,,,,
12,01010301101004,,,,,,,,,,,,,,,,,,,,
13,01010301101005,,,,,,,,,,,,,,,,,,,,
14,01010301101010,1.0,9.0,d.light,1.0,,,,,,,,,,,,,,,,
15,01010301101012,1.0,9.0,09,1.0,,,,,,,,,,,,,,,,
16,01010301101016,,,,,,,,,,,,,,,,,,,,
17,01010301101020,,,,,,,,,,,,,,,,,,,,
18,01010301101022,,,,,,,,,,,,,,,,,,,,
19,01010301101028,,,,,,,,,,,,,,,,,,,,
20,01010301101034,,,,,,,,,,,,,,,,,,,,
21,01010301101040,,,,,,,,,,,,,,,,,,,,
22,01010301101046,,,,,,,,,,,,,,,,,,,,
23,01010301101052,,,,,,,,,,,,,,,,,,,,
24,01010400404008,,,,,,,,,,,,,,,,,,,,
25,01010400404027,,,,,,,,,,,,,,,,,,,,
26,01010400404046,,,,,,,,,,,,,,,,,,,,
27,01010400404060,,,,,,,,,,,,,,,,,,,,
28,01010400404084,,,,,,,,,,,,,,,,,,,,
29,01010400404103,1.0,2.0,032014-070309590,2.0,2.0,20.0,1.0,1.0,2.0,1.0,1.0,,2500.0,1.0,3.0,,2.0,2.0,12.0,111.0
30,01010400404103,2.0,3.0,d.light,1.0,,,,,,,,,,,,,,,,
31,01010400404122,1.0,11.0,11,1.0,,,,,,,,,,,,,,,,
32,01010400404141,1.0,9.0,09,1.0,,,,,,,,,,,,,,,,
33,01010400404160,2.0,9.0,d.light,1.0,,,,,,,,,,,,,,,,
34,01010400404178,1.0,9.0,dc4.5v,1.0,,,,,,,,,,,,,,,,
35,01010400404197,1.0,9.0,d.light,1.0,,,,,,,,,,,,,,,,
36,01010400404216,1.0,11.0,11,1.0,,,,,,,,,,,,,,,,
37,01010400804007,1.0,3.0,d.light,1.0,,,,,,,,,,,,,,,,
38,01010400804007,2.0,9.0,d.light,1.0,,,,,,,,,,,,,,,,
39,01010400804027,1.0,9.0,d.light,1.0,,,,,,,,,,,,,,,,
40,01010400804027,2.0,9.0,d.light,1.0,,,,,,,,,,,,,,,,
41,01010400804047,1.0,3.0,laituo.lt-8020,1.0,,,,,,,,,,,,,,,,
42,01010400804067,,,,,,,,,,,,,,,,,,,,
43,01010400804087,,,,,,,,,,,,,,,,,,,,
44,01010400804107,1.0,9.0,d.light,1.0,,,,,,,,,,,,,,,,
45,01010400804107,2.0,11.0,11,1.0,,,,,,,,,,,,,,,,
46,01010400804127,,,,,,,,,,,,,,,,,,,,
47,01010400804147,1.0,9.0,09,1.0,,,,,,,,,,,,,,,,
48,01010400804147,2.0,11.0,11,1.0,,,,,,,,,,,,,,,,
49,01010400804147,3.0,11.0,11,1.0,,,,,,,,,,,,,,,,
50,01010400804167,1.0,9.0,09,1.0,,,,,,,,,,,,,,,,
51,01010400804187,,,,,,,,,,,,,,,,,,,,
52,01010400804207,1.0,9.0,d.light,1.0,,,,,,,,,,,,,,,,
53,01010400804227,1.0,9.0,d.light,1.0,,,,,,,,,,,,,,,,
54,01020600113003,1.0,10.0,dilight,1.0,,,,,,,,,,,,,,,,
55,01020600113011,1.0,3.0,dlight,1.0,,,,,,,,,,,,,,,,
56,01020600113019,1.0,3.0,dilight,1.0,,,,,,,,,,,,,,,,
57,01020600113027,1.0,3.0,Topwell,1.0,,,,,,,,,,,,,,,,
58,01020600113035,1.0,3.0,dilight,1.0,,,,,,,,,,,,,,,,
59,01020600113043,1.0,4.0,dilight,1.0,,,,,,,,,,,,,,,,
60,01020600113051,1.0,11.0,dilight,1.0,,,,,,,,,,,,,,,,
61,01020600113059,1.0,9.0,dilight,1.0,,,,,,,,,,,,,,,,
62,01020600113067,,,,,,,,,,,,,,,,,,,,
63,01020600113075,,,,,,,,,,,,,,,,,,,,
64,01020600113083,1.0,10.0,d.light,1.0,,,,,,,,,,,,,,,,
65,01020600113091,,,,,,,,,,,,,,,,,,,,
66,01020801604004,,,,,,,,,,,,,,,,,,,,
67,01020801604014,,,,,,,,,,,,,,,,,,,,
68,01020801604024,,,,,,,,,,,,,,,,,,,,
69,01020801604034,1.0,9.0,no,1.0,,,,,,,,,,,,,,,,
70,01020801604044,,,,,,,,,,,,,,,,,,,,
71,01020801604054,,,,,,,,,,,,,,,,,,,,
72,01020801604064,,,,,,,,,,,,,,,,,,,,
73,01020801604074,,,,,,,,,,,,,,,,,,,,
74,01020801604084,,,,,,,,,,,,,,,,,,,,
75,01020801604100,1.0,9.0,0,1.0,,,,,,,,,,,,,,,,
76,01020801604135,,,,,,,,,,,,,,,,,,,,
77,01020801604170,,,,,,,,,,,,,,,,,,,,
78,01020901705002,1.0,9.0,0,1.0,,,,,,,,,,,,,,,,
79,01020901705018,,,,,,,,,,,,,,,,,,,,
80,01020901705034,,,,,,,,,,,,,,,,,,,,
81,01020901705050,1.0,1.0,China DLight  D20,2.0,2.0,5.0,6.0,2.0,1.0,1.0,1.0,,2300.0,1.0,3.0,,2.0,1.0,3.0,1.0
82,01020901705066,1.0,2.0,China Dlight,2.0,2.0,5.0,6.0,2.0,1.0,1.0,1.0,,2300.0,1.0,3.0,,2.0,1.0,6.0,1.0
83,01020901705082,1.0,9.0,no model no,1.0,,,,,,,,,,,,,,,,
84,01020901705098,1.0,9.0,no,1.0,,,,,,,,,,,,,,,,
85,01020901705114,1.0,9.0,no,1.0,,,,,,,,,,,,,,,,
86,01020901705130,,,,,,,,,,,,,,,,,,,,
87,01020901705146,1.0,9.0,no,1.0,,,,,,,,,,,,,,,,
88,01020901705162,1.0,9.0,0,1.0,,,,,,,,,,,,,,,,
89,01020901705178,1.0,9.0,no model no,1.0,,,,,,,,,,,,,,,,
90,01021200418002,,,,,,,,,,,,,,,,,,,,
91,01021200418013,,,,,,,,,,,,,,,,,,,,
92,01021200418024,,,,,,,,,,,,,,,,,,,,
93,01021200418035,,,,,,,,,,,,,,,,,,,,
94,01021200418046,,,,,,,,,,,,,,,,,,,,
95,01021200418057,,,,,,,,,,,,,,,,,,,,
96,01021200418068,,,,,,,,,,,,,,,,,,,,
97,01021200418079,,,,,,,,,,,,,,,,,,,,
98,01021200418090,,,,,,,,,,,,,,,,,,,,
99,01021200418101,,,,,,,,,,,,,,,,,,,,
100,01021200418112,,,,,,,,,,,,,,,,,,,,
101,01021200418123,,,,,,,,,,,,,,,,,,,,
102,01030300103004,,,,,,,,,,,,,,,,,,,,
103,01030300103017,,,,,,,,,,,,,,,,,,,,
104,01030300103030,,,,,,,,,,,,,,,,,,,,
105,01030300103043,,,,,,,,,,,,,,,,,,,,
106,01030300103056,,,,,,,,,,,,,,,,,,,,
107,01030300103069,,,,,,,,,,,,,,,,,,,,
108,01030300103082,,,,,,,,,,,,,,,,,,,,
109,01030300103095,,,,,,,,,,,,,,,,,,,,
110,01030300103108,,,,,,,,,,,,,,,,,,,,
111,01030300103121,,,,,,,,,,,,,,,,,,,,
112,01030300103134,,,,,,,,,,,,,,,,,,,,
113,01030300103147,,,,,,,,,,,,,,,,,,,,
114,01030600403012,1.0,9.0,0,1.0,,,,,,,,,,,,,,,,
115,01030600403017,1.0,9.0,no,1.0,,,,,,,,,,,,,,,,
116,01030600403036,,,,,,,,,,,,,,,,,,,,
117,01030600403049,1.0,9.0,no,1.0,,,,,,,,,,,,,,,,
118,01030600403072,1.0,9.0,9,1.0,,,,,,,,,,,,,,,,
119,01030600403092,1.0,9.0,no,1.0,,,,,,,,,,,,,,,,
120,01030600403116,,,,,,,,,,,,,,,,,,,,
121,01030600403138,,,,,,,,,,,,,,,,,,,,
122,01030600403164,1.0,9.0,no,1.0,,,,,,,,,,,,,,,,
123,01030600403173,1.0,9.0,no,1.0,,,,,,,,,,,,,,,,
124,01030600403183,1.0,9.0,no,1.0,,,,,,,,,,,,,,,,
125,01030600403185,1.0,9.0,no,1.0,,,,,,,,,,,,,,,,
126,01030800402002,,,,,,,,,,,,,,,,,,,,
127,01030800402015,,,,,,,,,,,,,,,,,,,,
128,01030800402028,,,,,,,,,,,,,,,,,,,,
129,01030800402041,,,,,,,,,,,,,,,,,,,,
130,01030800402054,1.0,9.0,"d,light",1.0,,,,,,,,,,,,,,,,
131,01030800402067,,,,,,,,,,,,,,,,,,,,
132,01030800402080,,,,,,,,,,,,,,,,,,,,
133,01030800402093,,,,,,,,,,,,,,,,,,,,
134,01030800402106,,,,,,,,,,,,,,,,,,,,
135,01030800402119,,,,,,,,,,,,,,,,,,,,
136,01030800402132,,,,,,,,,,,,,,,,,,,,
137,01030800402145,,,,,,,,,,,,,,,,,,,,
138,01041100201005,,,,,,,,,,,,,,,,,,,,
139,01041100201020,,,,,,,,,,,,,,,,,,,,
140,01041100201035,,,,,,,,,,,,,,,,,,,,
141,01041100201050,,,,,,,,,,,,,,,,,,,,
142,01041100201065,,,,,,,,,,,,,,,,,,,,
143,01041100201080,,,,,,,,,,,,,,,,,,,,
144,01041100201095,,,,,,,,,,,,,,,,,,,,
145,01041100201110,,,,,,,,,,,,,,,,,,,,
146,01041100201125,,,,,,,,,,,,,,,,,,,,
147,01041100201140,1.0,10.0,1000543,1.0,,,,,,,,,,,,,,,,
148,01041100201155,,,,,,,,,,,,,,,,,,,,
149,01041100201170,,,,,,,,,,,,,,,,,,,,
150,01050100110004,,,,,,,,,,,,,,,,,,,,
151,01050100110006,,,,,,,,,,,,,,,,,,,,
152,01050100110009,,,,,,,,,,,,,,,,,,,,
153,01050100110013,,,,,,,,,,,,,,,,,,,,
154,01050100110022,,,,,,,,,,,,,,,,,,,,
155,01050100110031,,,,,,,,,,,,,,,,,,,,
156,01050100110040,1.0,9.0,9,1.0,,,,,,,,,,,,,,,,
157,01050100110058,1.0,9.0,09,1.0,,,,,,,,,,,,,,,,
158,01050100110067,,,,,,,,,,,,,,,,,,,,
159,01050100110085,,,,,,,,,,,,,,,,,,,,
160,01050100110094,,,,,,,,,,,,,,,,,,,,
161,01050100110103,,,,,,,,,,,,,,,,,,,,
162,01050101108006,1.0,3.0,03,1.0,,,,,,,,,,,,,,,,
163,01050101108019,1.0,9.0,09,1.0,,,,,,,,,,,,,,,,
164,01050101108032,,,,,,,,,,,,,,,,,,,,
165,01050101108045,1.0,9.0,d.light,1.0,,,,,,,,,,,,,,,,
166,01050101108058,1.0,9.0,d.light,1.0,,,,,,,,,,,,,,,,
167,01050101108071,1.0,9.0,d.light,1.0,,,,,,,,,,,,,,,,
168,01050101108084,1.0,1.0,solux e.v,1.0,,,,,,,,,,,,,,,,
169,01050101108097,1.0,9.0,d.light,1.0,,,,,,,,,,,,,,,,
170,01050101108110,,,,,,,,,,,,,,,,,,,,
171,01050101108123,1.0,9.0,09,1.0,,,,,,,,,,,,,,,,
172,01050101108136,,,,,,,,,,,,,,,,,,,,
173,01050101108149,,,,,,,,,,,,,,,,,,,,
174,01060100317002,,,,,,,,,,,,,,,,,,,,
175,01060100317012,,,,,,,,,,,,,,,,,,,,
176,01060100317022,,,,,,,,,,,,,,,,,,,,
177,01060100317032,,,,,,,,,,,,,,,,,,,,
178,01060100317042,,,,,,,,,,,,,,,,,,,,
179,01060100317052,,,,,,,,,,,,,,,,,,,,
180,01060100317062,1.0,10.0,0,2.0,0.0,2.0,2.0,2.0,1.0,1.0,4.0,4.0,,,,,,1.0,1.0,111.0
181,01060100317072,,,,,,,,,,,,,,,,,,,,
182,01060100317082,,,,,,,,,,,,,,,,,,,,
183,01060100317092,,,,,,,,,,,,,,,,,,,,
184,01060100317102,,,,,,,,,,,,,,,,,,,,
185,01060100317112,,,,,,,,,,,,,,,,,,,,
186,01060200127002,,,,,,,,,,,,,,,,,,,,
187,01060200127003,,,,,,,,,,,,,,,,,,,,
188,01060200127031,,,,,,,,,,,,,,,,,,,,
189,01060200127045,,,,,,,,,,,,,,,,,,,,
190,01060200127058,,,,,,,,,,,,,,,,,,,,
191,01060200127072,,,,,,,,,,,,,,,,,,,,
192,01060200127086,1.0,2.0,yelwm,1.0,,,,,,,,,,,,,,,,
193,01060200127100,,,,,,,,,,,,,,,,,,,,
194,01060200127113,,,,,,,,,,,,,,,,,,,,
195,01060200127128,,,,,,,,,,,,,,,,,,,,
196,01060200127142,,,,,,,,,,,,,,,,,,,,
197,01060200127156,,,,,,,,,,,,,,,,,,,,
198,01060200506004,,,,,,,,,,,,,,,,,,,,
199,01060200506015,1.0,12.0,gd-8108,2.0,4.0,18.0,12.0,1.0,1.0,1.0,1.0,,1000.0,1.0,3.0,,2.0,1.0,4.0,111.0
200,01060200506015,2.0,12.0,GD-8108,2.0,4.0,18.0,12.0,2.0,1.0,1.0,1.0,,1000.0,1.0,3.0,,2.0,2.0,4.0,111.0
201,01060200506026,,,,,,,,,,,,,,,,,,,,
202,01060200506037,,,,,,,,,,,,,,,,,,,,
203,01060200506048,,,,,,,,,,,,,,,,,,,,
204,01060200506059,1.0,3.0,no modeal,1.0,,,,,,,,,,,,,,,,
205,01060200506070,,,,,,,,,,,,,,,,,,,,
206,01060200506081,,,,,,,,,,,,,,,,,,,,
207,01060200506092,,,,,,,,,,,,,,,,,,,,
208,01060200506103,1.0,10.0,,1.0,,,,,,,,,,,,,,,,
209,01060200506114,,,,,,,,,,,,,,,,,,,,
210,01060200506125,,,,,,,,,,,,,,,,,,,,
211,02070101804001,,,,,,,,,,,,,,,,,,,,
212,02070101804011,,,,,,,,,,,,,,,,,,,,
213,02070101804021,,,,,,,,,,,,,,,,,,,,
214,02070101804031,,,,,,,,,,,,,,,,,,,,
215,02070101804041,,,,,,,,,,,,,,,,,,,,
216,02070101804051,,,,,,,,,,,,,,,,,,,,
217,02070101804061,,,,,,,,,,,,,,,,,,,,
218,02070101804071,,,,,,,,,,,,,,,,,,,,
219,02070101804081,,,,,,,,,,,,,,,,,,,,
220,02070101804091,,,,,,,,,,,,,,,,,,,,
221,02070101804101,,,,,,,,,,,,,,,,,,,,
222,02070101804111,,,,,,,,,,,,,,,,,,,,
223,02070101901002,1.0,4.0,none,2.0,1.0,888.0,888.0,2.0,12.0,1.0,1.0,,500.0,1.0,3.0,,2.0,2.0,4.0,111.0
224,02070101901014,,,,,,,,,,,,,,,,,,,,
225,02070101901026,1.0,4.0,???,2.0,1.0,888.0,,2.0,2.0,1.0,1.0,,500.0,1.0,3.0,,2.0,2.0,4.0,111.0
226,02070101901038,,,,,,,,,,,,,,,,,,,,
227,02070101901050,,,,,,,,,,,,,,,,,,,,
228,02070101901062,,,,,,,,,,,,,,,,,,,,
229,02070101901074,,,,,,,,,,,,,,,,,,,,
230,02070101901086,,,,,,,,,,,,,,,,,,,,
231,02070101901098,,,,,,,,,,,,,,,,,,,,
232,02070101901110,,,,,,,,,,,,,,,,,,,,
233,02070101901122,,,,,,,,,,,,,,,,,,,,
234,02070101901134,,,,,,,,,,,,,,,,,,,,
235,02070200101003,,,,,,,,,,,,,,,,,,,,
236,02070200101011,,,,,,,,,,,,,,,,,,,,
237,02070200101019,,,,,,,,,,,,,,,,,,,,
238,02070200101027,,,,,,,,,,,,,,,,,,,,
239,02070200101035,,,,,,,,,,,,,,,,,,,,
240,02070200101043,,,,,,,,,,,,,,,,,,,,
241,02070200101051,,,,,,,,,,,,,,,,,,,,
242,02070200101059,,,,,,,,,,,,,,,,,,,,
243,02070200101067,,,,,,,,,,,,,,,,,,,,
244,02070200101075,,,,,,,,,,,,,,,,,,,,
245,02070200101083,,,,,,,,,,,,,,,,,,,,
246,02070200101091,,,,,,,,,,,,,,,,,,,,
247,02070300104005,1.0,2.0,de light,1.0,,,,,,,,,,,,,,,,
248,02070300104016,,,,,,,,,,,,,,,,,,,,
249,02070300104027,,,,,,,,,,,,,,,,,,,,
