,HHID,C144,C146_wm,C146_tm,C147_wm,C147_tm,C148_wm,C148_tm,C149,C150,C152,C153,C154,C155,C155_other,C156,C157,C157_other,C158,C159,C160,C161,C162,C163,C164,C165
0,01010200116005,2.0,2.0,4.0,1.0,3.0,2.0,4.0,2.0,1.0,2.0,2008.0,2.0,,,3.0,6.0,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
1,01010200116014,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
2,01010200116023,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
3,01010200116032,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
4,01010200116041,2.0,2.0,4.0,1.0,3.0,2.0,4.0,2.0,1.0,2.0,2009.0,2.0,,,3.0,6.0,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
5,01010200116050,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
6,01010200116059,2.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,1.0,2.0,2008.0,2.0,,,3.0,4.0,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
7,01010200116068,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
8,01010200116077,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
9,01010200116086,2.0,1.0,3.0,1.0,3.0,1.0,3.0,2.0,1.0,2.0,2008.0,2.0,,,3.0,6.0,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
10,01010200116095,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
11,01010200116104,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
12,01010301101004,,,,,,,,,,,,,,,,,,1.0,111.0,,,,,,
13,01010301101005,,,,,,,,,,,,,,,,,,9.0,,,,,,,
14,01010301101010,1.0,1.0,4.0,1.0,4.0,1.0,4.0,2.0,1.0,2.0,2008.0,2.0,,,2.0,6.0,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
15,01010301101012,1.0,2.0,4.0,1.0,4.0,2.0,4.0,2.0,1.0,2.0,2008.0,1.0,8.0,,2.0,6.0,,5.0,2.0,,,,1.0,1.0,60.0
16,01010301101016,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
17,01010301101020,,,,,,,,,,,,,,,,,,8.0,111.0,,,,,,
18,01010301101022,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
19,01010301101028,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
20,01010301101034,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
21,01010301101040,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
22,01010301101046,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
23,01010301101052,,,,,,,,,,,,,,,,,,1.0,111.0,,,,,,
24,01010400404008,1.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,1.0,2.0,,1.0,6.0,,2.0,6.0,,5.0,2.0,,,,1.0,3.0,180.0
25,01010400404027,,,,,,,,,,,,,,,,,,8.0,111.0,,,,,,
26,01010400404046,,,,,,,,,,,,,,,,,,8.0,111.0,,,,,,
27,01010400404060,,,,,,,,,,,,,,,,,,9.0,,,,,,,
28,01010400404084,,,,,,,,,,,,,,,,,,8.0,111.0,,,,,,
29,01010400404103,1.0,3.0,8.0,2.0,4.0,3.0,8.0,2.0,1.0,2.0,2005.0,1.0,,,2.0,6.0,,5.0,1.0,1.0,1.0,1.0,2.0,0.0,
30,01010400404122,1.0,2.0,6.0,2.0,4.0,2.0,6.0,2.0,2.0,2.0,2008.0,1.0,6.0,,2.0,6.0,,5.0,111.0,,,,,,
31,01010400404141,1.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0,2009.0,1.0,8.0,,2.0,6.0,,5.0,111.0,,,,,,
32,01010400404160,1.0,2.0,7.0,2.0,4.0,2.0,7.0,2.0,1.0,2.0,2007.0,1.0,6.0,,2.0,6.0,,5.0,2.0,,,,1.0,1.0,16.0
33,01010400404178,1.0,1.0,12.0,1.0,4.0,1.0,12.0,2.0,1.0,2.0,2009.0,1.0,6.0,,2.0,6.0,,5.0,2.0,,,,1.0,1.0,16.0
34,01010400404197,1.0,2.0,6.0,2.0,4.0,2.0,6.0,2.0,2.0,2.0,2007.0,1.0,6.0,,2.0,6.0,,5.0,111.0,,,,,,
35,01010400404216,1.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,1.0,2.0,2008.0,1.0,,,2.0,6.0,,5.0,111.0,,,,,,
36,01010400804007,1.0,4.0,5.0,4.0,4.0,4.0,4.0,2.0,1.0,2.0,2006.0,1.0,6.0,,2.0,6.0,,5.0,2.0,,,,1.0,5.0,300.0
37,01010400804027,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,2004.0,1.0,6.0,,2.0,6.0,,5.0,2.0,,,,1.0,1.0,24.0
38,01010400804047,1.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,1.0,1.0,2007.0,1.0,8.0,,2.0,6.0,,5.0,2.0,,,,1.0,2.0,0.0
