,HHID,C60
0,05420299912007,3
1,05420299912007,4
2,05420299912007,7
3,05420299912007,8
4,05420299912007,9
5,05420299912007,10
6,05420299912007,11
7,05420299912017,3
8,05420299912017,4
9,05420299912017,5
10,05420299912017,6
11,05420299912017,7
12,05420299912017,8
13,05420299912017,9
14,05420299912017,10
15,05420299912017,11
16,05420299912027,1
17,05420299912027,2
18,05420299912027,3
19,05420299912027,6
20,05420299912027,8
21,05420299912027,9
22,05420299912037,3
23,05420299912037,4
24,05420299912037,5
25,05420299912037,6
26,05420299912037,7
27,05420299912037,8
28,05420299912037,9
29,05420299912037,10
30,05420299912037,11
31,05420299912047,3
32,05420299912047,4
33,05420299912047,6
34,05420299912047,7
35,05420299912047,8
36,05420299912047,9
37,05420299912047,10
38,05420299912047,11
39,05420299912057,1
40,05420299912057,2
41,05420299912057,5
42,05420299912057,7
43,05420299912057,8
44,05420299912057,9
45,05420299912057,10
46,05420299912057,11
47,05420299912067,5
48,05420299912067,8
49,05420299912067,10
50,05420299912077,4
51,05420299912077,6
52,05420299912077,8
53,05420299912077,10
54,05420299912107,3
55,05420299912107,5
56,05420299912107,8
57,05420299912107,10
58,05420299912117,7
59,05420299912117,8
60,05420299912117,9
61,05420299912117,10
62,05420299912117,11
63,12670300101001,1
64,12670300101001,2
65,12670300101001,3
66,12670300101001,4
67,12670300101002,1
68,12670300101002,2
69,12670300101002,3
70,12670300101002,4
71,12670300101002,5
72,12670300101002,12
73,12670300101003,1
74,12670300101003,2
75,12670300101003,3
76,12670300101003,4
77,12670300101003,5
78,12670300101003,12
79,12670300101004,1
80,12670300101004,2
81,12670300101004,3
82,12670300101004,4
83,12670300101004,5
84,12670300101004,12
85,12670300101005,1
86,12670300101005,2
87,12670300101005,3
88,12670300101005,4
89,12670300101005,5
90,12670300101005,11
91,12670300101005,12
92,12670300101006,1
93,12670300101006,2
94,12670300101006,3
95,12670300101006,4
96,12670300101006,5
97,12670300101007,1
98,12670300101007,2
99,12670300101007,3
100,12670300101007,4
101,12670300101007,5
102,12670300101007,11
103,12670300101007,12
104,12670300101008,1
105,12670300101008,2
106,12670300101008,3
107,12670300101008,4
108,12670300101009,1
109,12670300101009,2
110,12670300101009,3
111,12670300101009,4
112,12670300101009,11
113,12670300101009,12
114,14720100702001,4
115,14720100702001,6
116,14720100702001,8
117,14720100702001,11
118,14740301003030,5
119,14740301003030,6
120,14790800622002,7
121,14790800622002,8
122,14790800622003,7
123,14790800622005,2
124,14790800622005,3
125,14790800622005,6
126,14790800622006,5
127,14790800622006,6
128,14790800622006,7
129,14790800733013,12
