,HHID,F2,F3,F4,F5,F6,F7,F8,F9,F10,F13
0,01010200116005,1,2.0,,,,,,,,
1,01010200116005,2,2.0,,,,,,,,
2,01010200116005,3,2.0,,,,,,,,
3,01010200116005,4,2.0,,,,,,,,
4,01010200116005,5,2.0,,,,,,,,
5,01010200116014,1,1.0,,,,3.0,3.0,2.0,8.0,2.0
6,01010200116014,2,2.0,,,,,,,,
7,01010200116014,3,2.0,,,,,,,,
8,01010200116014,4,2.0,,,,,,,,
9,01010200116014,5,2.0,,,,,,,,
10,01010200116023,1,2.0,,,,,,,,
11,01010200116023,2,2.0,,,,,,,,
12,01010200116023,3,2.0,,,,,,,,
13,01010200116023,4,2.0,,,,,,,,
14,01010200116023,5,2.0,,,,,,,,
15,01010200116032,1,2.0,,,,,,,,
16,01010200116032,2,2.0,,,,,,,,
17,01010200116032,3,2.0,,,,,,,,
18,01010200116032,4,2.0,,,,,,,,
19,01010200116032,5,2.0,,,,,,,,
20,01010200116041,1,2.0,,,,,,,,
21,01010200116041,2,2.0,,,,,,,,
22,01010200116041,3,2.0,,,,,,,,
23,01010200116041,4,2.0,,,,,,,,
24,01010200116041,5,2.0,,,,,,,,
25,01010200116050,1,1.0,,,,3.0,2.0,2.0,8.0,2.0
26,01010200116050,2,2.0,,,,,,,,
27,01010200116050,3,2.0,,,,,,,,
28,01010200116050,4,2.0,,,,,,,,
29,01010200116050,5,2.0,,,,,,,,
30,01010200116059,1,2.0,,,,,,,,
31,01010200116059,2,2.0,,,,,,,,
32,01010200116059,3,2.0,,,,,,,,
33,01010200116059,4,2.0,,,,,,,,
34,01010200116059,5,2.0,,,,,,,,
35,01010200116068,1,1.0,,,,3.0,2.0,2.0,8.0,2.0
36,01010200116068,2,2.0,,,,,,,,
37,01010200116068,3,2.0,,,,,,,,
38,01010200116068,4,2.0,,,,,,,,
39,01010200116068,5,2.0,,,,,,,,
40,01010200116077,1,2.0,,,,,,,,
41,01010200116077,2,2.0,,,,,,,,
42,01010200116077,3,2.0,,,,,,,,
43,01010200116077,4,2.0,,,,,,,,
44,01010200116077,5,2.0,,,,,,,,
45,01010200116086,1,2.0,,,,,,,,
46,01010200116086,2,2.0,,,,,,,,
47,01010200116086,3,2.0,,,,,,,,
48,01010200116086,4,2.0,,,,,,,,
49,01010200116086,5,2.0,,,,,,,,
50,01010200116095,1,2.0,,,,,,,,
51,01010200116095,2,2.0,,,,,,,,
52,01010200116095,3,2.0,,,,,,,,
53,01010200116095,4,2.0,,,,,,,,
54,01010200116095,5,2.0,,,,,,,,
55,01010200116104,1,1.0,,,,3.0,2.0,2.0,8.0,2.0
56,01010200116104,2,2.0,,,,,,,,
57,01010200116104,3,2.0,,,,,,,,
58,01010200116104,4,2.0,,,,,,,,
59,01010200116104,5,2.0,,,,,,,,
60,01010301101004,1,2.0,,,,,,,,
61,01010301101004,2,2.0,,,,,,,,
62,01010301101004,3,2.0,,,,,,,,
63,01010301101004,4,2.0,,,,,,,,
64,01010301101004,5,2.0,,,,,,,,
65,01010301101005,1,2.0,,,,,,,,
66,01010301101005,2,1.0,0.0,1.0,20.0,12.0,4.0,,,11.0
67,01010301101005,3,2.0,,,,,,,,
68,01010301101005,4,2.0,,,,,,,,
69,01010301101005,5,2.0,,,,,,,,
70,01010301101010,1,2.0,,,,,,,,
