,HHID,G2,G3,G4,G5,G6,G7,G8,G9,G10
0,01010200116005,1,2,,,,,,,
1,01010200116005,2,2,,,,,,,
2,01010200116005,3,2,,,,,,,
3,01010200116005,4,2,,,,,,,
4,01010200116005,5,2,,,,,,,
5,01010200116014,1,2,,,,,,,
6,01010200116014,2,1,1.0,18.0,3.0,1.0,1.0,6.0,2.0
7,01010200116014,3,2,,,,,,,
8,01010200116014,4,2,,,,,,,
9,01010200116014,5,2,,,,,,,
10,01010200116023,1,2,,,,,,,
11,01010200116023,2,1,1.0,60.0,6.0,1.0,2.0,18.0,2.0
12,01010200116023,3,2,,,,,,,
13,01010200116023,4,2,,,,,,,
14,01010200116023,5,2,,,,,,,
15,01010200116032,1,2,,,,,,,
16,01010200116032,2,1,1.0,18.0,12.0,2.0,2.0,12.0,2.0
17,01010200116032,3,2,,,,,,,
18,01010200116032,4,2,,,,,,,
19,01010200116032,5,2,,,,,,,
20,01010200116041,1,2,,,,,,,
21,01010200116041,2,2,,,,,,,
22,01010200116041,3,2,,,,,,,
23,01010200116041,4,2,,,,,,,
24,01010200116041,5,2,,,,,,,
25,01010200116050,1,2,,,,,,,
26,01010200116050,2,2,,,,,,,
27,01010200116050,3,2,,,,,,,
28,01010200116050,4,2,,,,,,,
29,01010200116050,5,2,,,,,,,
30,01010200116059,1,2,,,,,,,
31,01010200116059,2,2,,,,,,,
32,01010200116059,3,2,,,,,,,
33,01010200116059,4,2,,,,,,,
34,01010200116059,5,2,,,,,,,
35,01010200116068,1,2,,,,,,,
36,01010200116068,2,2,,,,,,,
37,01010200116068,3,2,,,,,,,
38,01010200116068,4,2,,,,,,,
39,01010200116068,5,2,,,,,,,
40,01010200116077,1,2,,,,,,,
41,01010200116077,2,1,1.0,30.0,12.0,3.0,2.0,12.0,2.0
42,01010200116077,3,2,,,,,,,
43,01010200116077,4,2,,,,,,,
44,01010200116077,5,2,,,,,,,
45,01010200116086,1,2,,,,,,,
46,01010200116086,2,2,,,,,,,
47,01010200116086,3,2,,,,,,,
48,01010200116086,4,2,,,,,,,
49,01010200116086,5,2,,,,,,,
50,01010200116095,1,2,,,,,,,
51,01010200116095,2,1,1.0,20.0,12.0,1.0,2.0,12.0,2.0
52,01010200116095,3,2,,,,,,,
53,01010200116095,4,2,,,,,,,
54,01010200116095,5,2,,,,,,,
55,01010200116104,1,2,,,,,,,
56,01010200116104,2,2,,,,,,,
57,01010200116104,3,2,,,,,,,
58,01010200116104,4,2,,,,,,,
59,01010200116104,5,2,,,,,,,
60,01010301101004,1,2,,,,,,,
61,01010301101004,2,1,1.0,25.0,2.0,1.0,2.0,16.0,2.0
62,01010301101004,3,2,,,,,,,
63,01010301101004,4,2,,,,,,,
64,01010301101004,5,2,,,,,,,
65,01010301101005,1,2,,,,,,,
66,01010301101005,2,2,,,,,,,
67,01010301101005,3,2,,,,,,,
68,01010301101005,4,2,,,,,,,
69,01010301101005,5,2,,,,,,,
70,01010301101010,1,2,,,,,,,
71,01010301101010,2,2,,,,,,,
72,01010301101010,3,2,,,,,,,
73,01010301101010,4,2,,,,,,,
74,01010301101010,5,2,,,,,,,
75,01010301101012,1,2,,,,,,,
76,01010301101012,2,1,1.0,30.0,3.0,2.0,1.0,9.0,2.0
77,01010301101012,3,2,,,,,,,
78,01010301101012,4,2,,,,,,,
79,01010301101012,5,2,,,,,,,
80,01010301101016,1,2,,,,,,,
81,01010301101016,2,2,,,,,,,
82,01010301101016,3,2,,,,,,,
83,01010301101016,4,2,,,,,,,
84,01010301101016,5,2,,,,,,,
85,01010301101020,1,2,,,,,,,
86,01010301101020,2,1,1.0,80.0,12.0,4.0,6.0,54.0,1.0
87,01010301101020,3,2,,,,,,,
88,01010301101020,4,2,,,,,,,
89,01010301101020,5,2,,,,,,,
90,01010301101022,1,2,,,,,,,
91,01010301101022,2,1,2.0,27.0,12.0,1.0,2.0,16.0,2.0
92,01010301101022,3,2,,,,,,,
93,01010301101022,4,1,2.0,400.0,12.0,5.0,2.0,16.0,
94,01010301101022,5,2,,,,,,,
95,01010301101028,1,2,,,,,,,
96,01010301101028,2,1,1.0,35.0,12.0,1.0,1.0,8.0,2.0
97,01010301101028,3,2,,,,,,,
98,01010301101028,4,2,,,,,,,
99,01010301101028,5,2,,,,,,,
100,01010301101034,1,2,,,,,,,
101,01010301101034,2,2,,,,,,,
102,01010301101034,3,2,,,,,,,
103,01010301101034,4,1,1.0,200.0,12.0,1.0,2.0,16.0,
104,01010301101034,5,2,,,,,,,
105,01010301101040,1,2,,,,,,,
106,01010301101040,2,2,,,,,,,
107,01010301101040,3,2,,,,,,,
108,01010301101040,4,2,,,,,,,
109,01010301101040,5,2,,,,,,,
110,01010301101046,1,2,,,,,,,
111,01010301101046,2,1,1.0,20.0,12.0,2.0,2.0,18.0,2.0
112,01010301101046,3,2,,,,,,,
113,01010301101046,4,2,,,,,,,
114,01010301101046,5,2,,,,,,,
115,01010301101052,1,2,,,,,,,
116,01010301101052,2,1,1.0,20.0,12.0,1.0,2.0,16.0,2.0
117,01010301101052,3,2,,,,,,,
118,01010301101052,4,2,,,,,,,
119,01010301101052,5,2,,,,,,,
120,01010400404008,1,2,,,,,,,
121,01010400404008,2,2,,,,,,,
122,01010400404008,3,2,,,,,,,
123,01010400404008,4,2,,,,,,,
124,01010400404008,5,2,,,,,,,
125,01010400404027,1,2,,,,,,,
126,01010400404027,2,1,1.0,30.0,12.0,4.0,3.0,24.0,1.0
127,01010400404027,3,2,,,,,,,
128,01010400404027,4,2,,,,,,,
129,01010400404027,5,2,,,,,,,
130,01010400404046,1,2,,,,,,,
131,01010400404046,2,1,1.0,25.0,12.0,2.0,2.0,16.0,1.0
132,01010400404046,3,2,,,,,,,
133,01010400404046,4,2,,,,,,,
134,01010400404046,5,2,,,,,,,
135,01010400404060,1,2,,,,,,,
136,01010400404060,2,2,,,,,,,
137,01010400404060,3,2,,,,,,,
138,01010400404060,4,2,,,,,,,
139,01010400404060,5,2,,,,,,,
140,01010400404084,1,2,,,,,,,
141,01010400404084,2,1,1.0,16.0,12.0,3.0,2.0,16.0,1.0
142,01010400404084,3,2,,,,,,,
143,01010400404084,4,2,,,,,,,
144,01010400404084,5,2,,,,,,,
145,01010400404103,1,2,,,,,,,
146,01010400404103,2,2,,,,,,,
147,01010400404103,3,2,,,,,,,
148,01010400404103,4,2,,,,,,,
149,01010400404103,5,2,,,,,,,
150,01010400404122,1,2,,,,,,,
151,01010400404122,2,2,,,,,,,
152,01010400404122,3,2,,,,,,,
153,01010400404122,4,2,,,,,,,
154,01010400404122,5,2,,,,,,,
155,01010400404141,1,2,,,,,,,
156,01010400404141,2,1,1.0,20.0,6.0,4.0,1.0,8.0,1.0
157,01010400404141,3,2,,,,,,,
158,01010400404141,4,2,,,,,,,
159,01010400404141,5,2,,,,,,,
160,01010400404160,1,2,,,,,,,
161,01010400404160,2,2,,,,,,,
162,01010400404160,3,2,,,,,,,
163,01010400404160,4,2,,,,,,,
164,01010400404160,5,2,,,,,,,
165,01010400404178,1,2,,,,,,,
166,01010400404178,2,2,,,,,,,
167,01010400404178,3,2,,,,,,,
168,01010400404178,4,2,,,,,,,
169,01010400404178,5,2,,,,,,,
170,01010400404197,1,2,,,,,,,
171,01010400404197,2,2,,,,,,,
172,01010400404197,3,2,,,,,,,
173,01010400404197,4,2,,,,,,,
174,01010400404197,5,2,,,,,,,
175,01010400404216,1,2,,,,,,,
176,01010400404216,2,2,,,,,,,
177,01010400404216,3,2,,,,,,,
178,01010400404216,4,2,,,,,,,
179,01010400404216,5,2,,,,,,,
180,01010400804007,1,2,,,,,,,
181,01010400804007,2,2,,,,,,,
182,01010400804007,3,2,,,,,,,
183,01010400804007,4,2,,,,,,,
184,01010400804007,5,2,,,,,,,
185,01010400804027,1,2,,,,,,,
