,HHID,H2,H3,H4,H5,H6,H7,H8,H9,H12,H13,H14,H14_unit,H15,C2
0,01010200116005,1,2,,,,,,,,,,,,1
1,01010200116005,2,2,,,,,,,,,,,,1
2,01010200116005,3,2,,,,,,,,,,,,1
3,01010200116005,4,1,,1.0,,1.0,,,7.0,8.0,1.0,4.0,200.0,1
4,01010200116005,5,2,,,,,,,-88.0,-88.0,-88.0,-88.0,-88.0,1
5,01010200116005,6,2,,,,,,,,,,,,1
6,01010200116005,7,2,,,,,,,,,,,,1
7,01010200116005,8,2,,,,,,,,,,,,1
8,01010200116005,9,2,,,,,,,,,,,,1
9,01010200116005,10,2,,,,,,,,,,,,1
10,01010200116005,11,2,,,,,,,,,,,,1
11,01010200116005,12,2,,,,,,,,,,,,1
12,01010200116005,13,2,,,,,,,,,,,,1
13,01010200116005,14,2,,,,,,,,,,,,1
14,01010200116005,15,2,,,,,,,,,,,,1
15,01010200116005,16,2,,,,,,,,,,,,1
16,01010200116005,17,2,,,,,,,,,,,,1
17,01010200116005,18,2,,,,,,,,,,,,1
18,01010200116005,19,2,,,,,,,,,,,,1
19,01010200116014,1,2,,,,,,,,,,,,1
20,01010200116014,2,2,,,,,,,,,,,,1
21,01010200116014,3,2,,,,,,,,,,,,1
22,01010200116014,4,1,,1.0,,1.0,,,7.0,8.0,1.0,5.0,160.0,1
23,01010200116014,5,2,,,,,,,-88.0,-88.0,-88.0,-88.0,-88.0,1
24,01010200116014,6,2,,,,,,,,,,,,1
25,01010200116014,7,2,,,,,,,,,,,,1
26,01010200116014,8,2,,,,,,,,,,,,1
27,01010200116014,9,2,,,,,,,,,,,,1
28,01010200116014,10,2,,,,,,,,,,,,1
29,01010200116014,11,2,,,,,,,,,,,,1
30,01010200116014,12,2,,,,,,,,,,,,1
31,01010200116014,13,2,,,,,,,,,,,,1
32,01010200116014,14,2,,,,,,,,,,,,1
33,01010200116014,15,2,,,,,,,,,,,,1
34,01010200116014,16,2,,,,,,,,,,,,1
35,01010200116014,17,2,,,,,,,,,,,,1
36,01010200116014,18,2,,,,,,,,,,,,1
37,01010200116014,19,2,,,,,,,,,,,,1
38,01010200116023,1,2,,,,,,,,,,,,1
39,01010200116023,2,2,,,,,,,,,,,,1
40,01010200116023,3,2,,,,,,,,,,,,1
