,HHID,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I14,I15,I16,I17,I18,I19,I20_a,I20_b,I21_a,I21_b,I22,I23,I24,I25,I26,I27,I28,I29,I31,I32,I33,I34_1,I34_2
0,01010200116005,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,01010200116005,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,01010200116005,3,1,36.0,1.0,50.0,,2.0,6.0,1.0,1.0,5.0,2.0,3.0,4.0,0.0,2.0,,4.0,,2.0,,15.0,7.0,3.0,30.0,20.0,30.0,20.0,2.0,,9.0,2.0,2.0,5.0
3,01010200116014,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,01010200116014,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,01010200116014,3,1,24.0,1.0,50.0,,2.0,6.0,1.0,1.0,10.0,2.0,1.0,2.0,2.0,2.0,,4.0,,2.0,,10.0,7.0,3.0,30.0,20.0,20.0,15.0,2.0,,9.0,2.0,3.0,4.0
6,01010200116023,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,01010200116023,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,01010200116023,3,1,,,,,,,,1.0,5.0,2.0,1.0,4.0,2.0,2.0,,4.0,,2.0,,15.0,7.0,3.0,30.0,20.0,20.0,20.0,2.0,,9.0,2.0,4.0,2.0
9,01010200116032,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,01010200116032,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,01010200116032,3,1,36.0,1.0,50.0,,2.0,6.0,1.0,1.0,5.0,2.0,1.0,4.0,2.0,2.0,,4.0,,2.0,,10.0,7.0,2.0,30.0,0.0,30.0,10.0,2.0,,9.0,2.0,2.0,5.0
12,01010200116041,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,01010200116041,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,01010200116041,3,1,36.0,1.0,50.0,,2.0,6.0,1.0,1.0,10.0,2.0,1.0,4.0,2.0,2.0,,4.0,,2.0,,10.0,7.0,3.0,30.0,40.0,30.0,20.0,2.0,,9.0,2.0,2.0,4.0
15,01010200116050,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,01010200116050,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,01010200116050,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,01010200116059,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,01010200116059,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,01010200116059,3,1,,,,,,,,1.0,5.0,2.0,1.0,4.0,2.0,2.0,,4.0,,2.0,,10.0,7.0,1.0,40.0,0.0,0.0,20.0,2.0,,9.0,1.0,5.0,6.0
21,01010200116068,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,01010200116068,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,01010200116068,3,1,24.0,1.0,50.0,,2.0,6.0,1.0,1.0,5.0,2.0,1.0,4.0,2.0,2.0,,4.0,,2.0,,10.0,7.0,2.0,30.0,0.0,30.0,15.0,2.0,,9.0,1.0,4.0,5.0
24,01010200116077,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,01010200116077,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,01010200116077,3,1,24.0,1.0,50.0,,2.0,6.0,1.0,1.0,5.0,2.0,1.0,4.0,1.0,2.0,,4.0,,2.0,,15.0,7.0,2.0,30.0,0.0,20.0,20.0,2.0,,9.0,1.0,4.0,5.0
27,01010200116086,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,01010200116086,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,01010200116086,3,1,36.0,1.0,50.0,,2.0,6.0,1.0,1.0,10.0,2.0,1.0,4.0,1.0,2.0,,4.0,,2.0,,15.0,7.0,2.0,30.0,0.0,30.0,20.0,2.0,,9.0,1.0,4.0,5.0
30,01010200116095,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,01010200116095,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,01010200116095,3,1,48.0,1.0,40.0,,2.0,6.0,1.0,1.0,10.0,2.0,1.0,4.0,2.0,2.0,,4.0,,2.0,,15.0,7.0,2.0,30.0,0.0,20.0,30.0,2.0,,9.0,1.0,4.0,5.0
33,01010200116104,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,01010200116104,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,01010200116104,3,1,,,,,,,,1.0,5.0,2.0,1.0,4.0,2.0,2.0,,4.0,,2.0,,10.0,7.0,3.0,30.0,20.0,20.0,20.0,2.0,,9.0,2.0,5.0,6.0
36,01010301101004,1,1,,,,,,,,1.0,0.0,1.0,5.0,,,1.0,1.0,2.0,3.0,2.0,2.0,5.0,7.0,3.0,60.0,60.0,60.0,30.0,2.0,,9.0,2.0,11.0,
37,01010301101004,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,01010301101004,3,1,36.0,1.0,60.0,,2.0,7.0,1.0,1.0,70.0,2.0,2.0,64.0,2.0,2.0,,4.0,,2.0,,10.0,7.0,2.0,60.0,0.0,60.0,0.0,1.0,4.0,9.0,2.0,2.0,6.0
39,01010301101005,1,1,,,,,,,,1.0,0.0,1.0,3.0,2.0,1.0,2.0,,3.0,9.0,2.0,2.0,5.0,7.0,3.0,120.0,120.0,120.0,60.0,2.0,,9.0,2.0,11.0,
40,01010301101005,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,01010301101005,3,1,24.0,1.0,35.0,,2.0,7.0,1.0,1.0,60.0,2.0,1.0,64.0,2.0,2.0,,4.0,,3.0,,5.0,7.0,2.0,60.0,0.0,60.0,0.0,1.0,2.0,9.0,2.0,2.0,2.0
42,01010301101010,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,01010301101010,2,1,,,,,,,2.0,1.0,0.0,2.0,1.0,25.0,2.0,2.0,,3.0,,2.0,,5.0,1.0,1.0,0.0,0.0,0.0,60.0,2.0,,9.0,1.0,13.0,
44,01010301101010,3,1,180.0,1.0,15.0,,2.0,7.0,1.0,1.0,80.0,2.0,1.0,25.0,2.0,2.0,,4.0,,2.0,,2.0,7.0,3.0,30.0,30.0,30.0,60.0,2.0,,9.0,1.0,11.0,
45,01010301101012,1,1,,,,,,,,1.0,0.0,1.0,3.0,12.0,1.0,1.0,1.0,3.0,9.0,2.0,2.0,5.0,7.0,4.0,30.0,30.0,30.0,30.0,2.0,,9.0,2.0,11.0,
46,01010301101012,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,01010301101012,3,1,180.0,1.0,25.0,,2.0,7.0,1.0,1.0,80.0,2.0,1.0,56.0,2.0,2.0,,4.0,,2.0,,5.0,7.0,1.0,60.0,0.0,0.0,0.0,1.0,1.0,9.0,2.0,2.0,6.0
48,01010301101016,1,1,,,,,,,,1.0,0.0,1.0,3.0,4.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,7.0,3.0,45.0,45.0,45.0,15.0,2.0,,9.0,2.0,11.0,
49,01010301101016,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
