,HHID,I2,I30
0,01010301101004,3,7
1,01010301101004,3,8
2,01010301101005,3,6
3,01010301101005,3,7
4,01010301101005,3,8
5,01010301101012,3,6
6,01010301101012,3,7
7,01010301101012,3,8
8,01010301101016,3,6
9,01010301101016,3,7
10,01010301101016,3,8
11,01010301101020,3,6
12,01010301101020,3,7
13,01010301101020,3,8
14,01010301101022,3,6
15,01010301101022,3,7
16,01010301101022,3,8
17,01010301101028,2,6
18,01010301101028,2,7
19,01010301101028,2,8
20,01010301101028,3,6
21,01010301101028,3,7
22,01010301101028,3,8
23,01010301101034,3,6
24,01010301101034,3,7
25,01010301101034,3,8
26,01010301101040,2,6
27,01010301101040,2,7
28,01010301101040,2,8
29,01010301101046,3,6
30,01010301101046,3,7
31,01010301101046,3,8
32,01010301101052,3,6
33,01010301101052,3,7
34,01010301101052,3,8
35,01010400404008,3,6
36,01010400404008,3,7
37,01010400404008,3,8
38,01010400404027,3,6
39,01010400404027,3,7
40,01010400404027,3,8
41,01010400404027,3,9
42,01010400404046,3,6
43,01010400404046,3,7
44,01010400404046,3,8
45,01010400404060,3,6
46,01010400404060,3,7
47,01010400404060,3,8
48,01010400404060,3,9
49,01010400404060,3,10
50,01010400404060,3,11
51,01010400404103,3,6
52,01010400404103,3,7
53,01010400404103,3,8
54,01010400404103,3,9
55,01010400404103,3,10
56,01010400404122,3,6
57,01010400404122,3,7
58,01010400404122,3,8
59,01010400404122,3,9
60,01010400404122,3,10
61,01010400404122,3,11
62,01010400404141,3,6
63,01010400404141,3,7
64,01010400404141,3,8
65,01010400404141,3,9
66,01010400404141,3,10
67,01010400404160,3,6
68,01010400404160,3,7
69,01010400404160,3,8
70,01010400404160,3,9
71,01010400404160,3,10
72,01010400404160,3,11
73,01010400404178,3,6
74,01010400404178,3,7
75,01010400404178,3,8
76,01010400404197,3,6
77,01010400404197,3,7
78,01010400404197,3,8
79,01010400404197,3,9
80,01010400404197,3,10
81,01010400404216,3,6
82,01010400404216,3,7
83,01010400404216,3,8
84,01010400404216,3,9
85,01010400404216,3,10
86,01010400404216,3,11
87,01010400404216,3,12
88,01010400804087,3,6
89,01010400804087,3,7
90,01010400804087,3,8
91,01010400804147,2,6
92,01010400804147,2,7
93,01010400804147,2,8
94,01010400804207,3,6
95,01010400804207,3,7
96,01010400804207,3,8
97,01010400804227,3,6
98,01010400804227,3,7
99,01010400804227,3,8
100,01020801604014,3,6
101,01020801604014,3,7
102,01020801604014,3,8
103,01020801604064,2,8
104,01020801604064,2,9
105,01020801604064,2,10
106,01020801604064,2,11
107,01020801604074,2,6
108,01020801604074,2,7
109,01020801604074,2,8
110,01020801604074,2,9
111,01020801604135,1,7
112,01020801604135,1,8
113,01020801604135,1,9
114,01020801604135,1,10
115,01020801604170,1,7
116,01020801604170,1,8
117,01020801604170,1,9
118,01020801604170,1,10
119,01020901705002,2,6
120,01020901705002,2,7
121,01020901705002,2,8
122,01020901705002,2,9
123,01020901705018,2,7
124,01020901705018,2,8
125,01020901705018,2,9
126,01020901705018,2,10
127,01020901705034,2,9
128,01020901705034,2,10
129,01020901705034,2,11
130,01020901705066,3,6
131,01020901705066,3,7
132,01020901705066,3,8
133,01020901705082,3,6
134,01020901705082,3,7
135,01020901705082,3,8
136,01020901705178,3,6
137,01020901705178,3,7
138,01020901705178,3,8
139,01030300103004,3,7
140,01030300103004,3,8
141,01030300103082,3,6
142,01030300103082,3,7
143,01030300103082,3,8
144,01030300103082,3,9
145,01030300103095,3,6
146,01030300103095,3,7
147,01030300103095,3,8
148,01030300103095,3,9
149,01030300103108,3,7
150,01030300103108,3,8
151,01030300103108,3,9
152,01030300103134,3,6
153,01030300103134,3,7
154,01030300103134,3,8
155,01030300103147,3,7
156,01030300103147,3,8
157,01030300103147,3,9
158,01030600403012,1,5
159,01030600403012,1,6
160,01030600403012,1,7
161,01030600403012,1,8
162,01030600403036,1,8
163,01030600403036,1,9
164,01030600403036,1,10
165,01030600403049,1,6
166,01030600403049,1,7
167,01030600403049,1,8
168,01030600403049,1,9
169,01030600403092,3,5
170,01030600403092,3,6
171,01030600403092,3,7
172,01030600403116,1,7
173,01030600403116,1,8
174,01030600403116,1,9
175,01030600403116,1,10
176,01030600403138,1,1
177,01030800402028,3,6
178,01030800402028,3,7
179,01030800402028,3,8
180,01030800402028,3,9
181,01030800402067,3,6
182,01030800402067,3,7
183,01030800402067,3,8
184,01030800402067,3,9
185,01030800402132,3,7
186,01030800402132,3,8
187,01030800402132,3,9
188,01030800402145,3,7
189,01030800402145,3,8
190,01050101108006,3,6
191,01050101108006,3,7
192,01050101108006,3,8
193,01050101108019,3,6
194,01050101108019,3,7
195,01050101108019,3,8
196,01050101108032,3,6
197,01050101108032,3,7
198,01050101108032,3,8
199,01050101108045,3,6
200,01050101108045,3,7
201,01050101108045,3,8
202,01050101108058,3,6
203,01050101108058,3,7
204,01050101108058,3,8
205,01050101108071,3,6
206,01050101108071,3,7
207,01050101108071,3,8
208,01050101108071,3,9
209,01050101108071,3,10
210,01050101108071,3,11
211,01050101108084,3,6
212,01050101108084,3,7
213,01050101108084,3,8
214,01050101108097,3,1
215,01050101108097,3,6
216,01050101108097,3,7
217,01050101108097,3,8
218,01050101108097,3,9
219,01050101108097,3,10
220,01050101108097,3,11
221,01050101108097,3,12
222,01050101108110,3,6
223,01050101108110,3,7
224,01050101108110,3,8
225,01050101108123,3,6
226,01050101108123,3,7
227,01050101108123,3,8
228,01050101108123,3,9
229,01050101108123,3,10
230,01050101108123,3,11
231,01050101108136,3,6
232,01050101108136,3,7
233,01050101108136,3,8
234,01050101108136,3,9
235,01050101108136,3,10
236,01050101108136,3,11
237,01050101108149,3,6
238,01050101108149,3,7
239,01050101108149,3,8
240,01050101108149,3,9
241,01050101108149,3,10
242,02070101804061,2,11
243,02070101804061,2,12
244,02070101901110,1,1
245,02070101901110,1,11
246,02070101901110,1,12
247,02080300102134,1,1
248,02080300102134,1,11
249,02080300102134,1,12
250,02100100401126,1,13
251,02100100501043,2,13
252,02100100501119,1,8
253,02100100501119,1,9
254,02100100501119,1,10
255,02100100501157,1,9
256,02100100501157,1,10
257,02100100501157,1,11
