,HHID,I35,I36_1,I36_2,HI_1o
0,01010200116005,5.0,200.0,0.0,05:54:53
1,01010200116014,5.0,160.0,0.0,03:04:05
2,01010200116023,5.0,150.0,0.0,03:51:28
3,01010200116032,5.0,150.0,0.0,08:38:46
4,01010200116041,5.0,20.0,0.0,02:50:21
5,01010200116050,,0.0,0.0,04:27:10
6,01010200116059,5.0,150.0,0.0,06:30:41
7,01010200116068,5.0,150.0,0.0,10:56:29
8,01010200116077,5.0,150.0,0.0,02:30:34
9,01010200116086,5.0,150.0,0.0,04:18:39
10,01010200116095,5.0,150.0,0.0,05:19:34
11,01010200116104,5.0,200.0,0.0,11:10:17
12,01010301101004,5.0,60.0,60.0,04:53:48
13,01010301101005,5.0,0.0,0.0,08:35:27
14,01010301101010,5.0,0.0,0.0,06:48:32
15,01010301101012,5.0,60.0,60.0,03:52:21
16,01010301101016,5.0,0.0,0.0,10:19:32
17,01010301101020,5.0,0.0,0.0,07:18:56
18,01010301101022,5.0,60.0,60.0,03:43:30
19,01010301101028,5.0,100.0,100.0,05:03:37
20,01010301101034,5.0,60.0,60.0,08:56:21
21,01010301101040,2.0,60.0,60.0,07:59:30
22,01010301101046,5.0,50.0,50.0,04:47:41
23,01010301101052,5.0,0.0,0.0,06:44:14
24,01010400404008,5.0,0.0,0.0,07:41:40
25,01010400404027,5.0,0.0,0.0,06:02:45
26,01010400404046,5.0,0.0,0.0,04:29:35
27,01010400404060,5.0,0.0,0.0,02:55:15
28,01010400404084,2.0,0.0,0.0,05:00:08
29,01010400404103,2.0,0.0,0.0,03:45:37
30,01010400404122,5.0,0.0,0.0,06:51:18
31,01010400404141,5.0,0.0,0.0,04:18:42
32,01010400404160,5.0,0.0,0.0,05:57:45
33,01010400404178,2.0,0.0,0.0,21:07:58
34,01010400404197,2.0,0.0,0.0,20:13:06
35,01010400404216,5.0,0.0,0.0,05:29:43
36,01010400804007,5.0,0.0,0.0,09:25:53
37,01010400804027,5.0,60.0,60.0,11:39:45
38,01010400804047,5.0,160.0,160.0,14:02:15
39,01010400804067,5.0,200.0,200.0,04:19:39
40,01010400804087,5.0,100.0,100.0,07:00:12
41,01010400804107,5.0,100.0,100.0,06:17:04
42,01010400804127,5.0,120.0,120.0,03:49:28
43,01010400804147,5.0,200.0,200.0,05:21:25
44,01010400804167,5.0,160.0,160.0,07:52:50
45,01010400804187,5.0,70.0,70.0,09:40:56
46,01010400804207,5.0,240.0,240.0,10:10:32
47,01010400804227,5.0,240.0,240.0,11:16:58
48,01020600113003,5.0,200.0,0.0,04:57:16
49,01020600113011,5.0,140.0,0.0,02:54:55
50,01020600113019,5.0,140.0,0.0,09:13:32
51,01020600113027,5.0,70.0,0.0,06:02:32
52,01020600113035,5.0,200.0,0.0,11:20:01
53,01020600113043,5.0,140.0,0.0,03:40:04
54,01020600113051,5.0,200.0,0.0,09:12:26
55,01020600113059,5.0,70.0,0.0,11:16:58
56,01020600113067,5.0,140.0,0.0,03:10:30
57,01020600113075,5.0,140.0,0.0,04:59:33
58,01020600113083,5.0,200.0,0.0,08:36:55
59,01020600113091,5.0,140.0,0.0,10:36:43
60,01020801604004,5.0,60.0,0.0,09:46:20
61,01020801604014,5.0,60.0,0.0,11:43:27
62,01020801604024,2.0,13.0,0.0,16:11:43
63,01020801604034,5.0,90.0,0.0,03:37:55
64,01020801604044,5.0,90.0,0.0,05:30:26
65,01020801604054,,100.0,0.0,09:26:17
66,01020801604064,1.0,100.0,180.0,03:11:17
67,01020801604074,5.0,0.0,0.0,04:45:28
68,01020801604084,1.0,50.0,0.0,15:50:15
69,01020801604100,1.0,0.0,0.0,04:13:11
70,01020801604135,,0.0,85.0,05:47:06
71,01020801604170,,180.0,85.0,07:45:47
72,01020901705002,5.0,0.0,85.0,04:05:17
73,01020901705018,1.0,0.0,80.0,06:22:24
74,01020901705034,1.0,0.0,110.0,07:52:50
75,01020901705050,1.0,0.0,0.0,09:29:24
76,01020901705066,5.0,200.0,0.0,11:38:47
77,01020901705082,5.0,0.0,0.0,14:55:05
78,01020901705098,,0.0,0.0,03:08:38
79,01020901705114,,0.0,0.0,05:55:10
80,01020901705130,,0.0,0.0,09:19:23
81,01020901705146,,0.0,0.0,09:51:41
82,01020901705162,,0.0,0.0,10:59:22
83,01020901705178,5.0,0.0,0.0,14:02:39
84,01021200418002,5.0,150.0,0.0,03:20:54
85,01021200418013,5.0,230.0,0.0,04:48:31
86,01021200418024,5.0,380.0,0.0,06:53:32
87,01021200418035,5.0,200.0,0.0,09:07:04
88,01021200418046,5.0,300.0,0.0,03:10:08
89,01021200418057,5.0,200.0,0.0,04:24:04
90,01021200418068,5.0,150.0,0.0,06:48:58
91,01021200418079,5.0,300.0,0.0,08:24:54
92,01021200418090,5.0,300.0,0.0,02:47:55
93,01021200418101,5.0,150.0,0.0,01:50:09
94,01021200418112,5.0,150.0,0.0,03:08:57
95,01021200418123,5.0,100.0,0.0,05:00:48
96,01030300103004,5.0,380.0,0.0,04:46:40
97,01030300103017,2.0,-888.0,0.0,06:00:46
98,01030300103030,2.0,0.0,0.0,07:53:26
99,01030300103043,5.0,230.0,0.0,08:52:15
100,01030300103056,2.0,-888.0,0.0,02:36:12
101,01030300103069,2.0,-888.0,0.0,04:12:16
102,01030300103082,5.0,380.0,0.0,06:32:18
103,01030300103095,5.0,230.0,0.0,07:39:16
104,01030300103108,5.0,230.0,0.0,02:22:07
105,01030300103121,2.0,-888.0,-888.0,04:41:19
106,01030300103134,5.0,230.0,0.0,06:58:25
107,01030300103147,5.0,230.0,0.0,09:18:03
108,01030600403012,,0.0,180.0,10:41:55
109,01030600403017,5.0,200.0,0.0,09:42:03
110,01030600403036,5.0,80.0,0.0,18:55:29
111,01030600403049,,0.0,180.0,20:54:19
112,01030600403072,5.0,0.0,0.0,09:31:02
113,01030600403092,5.0,200.0,0.0,11:15:35
114,01030600403116,,0.0,80.0,05:40:41
115,01030600403138,5.0,200.0,0.0,03:14:07
116,01030600403164,5.0,200.0,0.0,15:07:39
117,01030600403173,5.0,120.0,0.0,03:41:19
118,01030600403183,5.0,100.0,0.0,05:37:48
119,01030600403185,5.0,200.0,0.0,09:47:45
120,01030800402002,2.0,0.0,0.0,02:05:09
121,01030800402015,2.0,-888.0,-888.0,22:49:01
122,01030800402028,5.0,230.0,0.0,04:55:27
123,01030800402041,2.0,150.0,0.0,05:42:27
124,01030800402054,5.0,230.0,0.0,04:19:15
125,01030800402067,5.0,230.0,0.0,07:05:37
126,01030800402080,2.0,80.0,0.0,08:14:15
127,01030800402093,5.0,230.0,0.0,06:14:49
128,01030800402106,5.0,230.0,0.0,12:00:31
129,01030800402119,5.0,230.0,0.0,07:55:44
130,01030800402132,5.0,380.0,0.0,07:53:57
131,01030800402145,5.0,380.0,0.0,10:06:56
132,01041100201005,5.0,250.0,250.0,03:43:40
133,01041100201020,5.0,300.0,300.0,08:07:35
134,01041100201035,5.0,140.0,140.0,05:42:25
135,01041100201050,2.0,80.0,40.0,06:42:34
136,01041100201065,5.0,200.0,200.0,08:09:06
137,01041100201080,5.0,130.0,130.0,03:33:45
138,01041100201095,5.0,220.0,220.0,05:44:13
139,01041100201110,2.0,25.0,0.0,06:39:28
140,01041100201125,5.0,80.0,80.0,08:15:43
141,01041100201140,5.0,130.0,130.0,12:06:00
142,01041100201155,5.0,280.0,280.0,10:49:17
143,01041100201170,2.0,0.0,0.0,08:26:24
144,01050100110004,5.0,200.0,200.0,07:01:54
145,01050100110006,5.0,150.0,150.0,03:13:29
146,01050100110009,5.0,0.0,0.0,09:31:58
147,01050100110013,5.0,200.0,200.0,08:30:21
148,01050100110022,5.0,150.0,150.0,09:22:40
149,01050100110031,5.0,65.0,65.0,10:15:46
150,01050100110040,5.0,130.0,130.0,12:15:58
151,01050100110058,5.0,150.0,150.0,04:18:15
152,01050100110067,5.0,150.0,150.0,05:27:07
153,01050100110085,5.0,130.0,130.0,03:26:53
154,01050100110094,5.0,130.0,130.0,06:17:06
155,01050100110103,5.0,130.0,130.0,05:16:00
156,01050101108006,5.0,200.0,200.0,04:39:08
157,01050101108019,5.0,120.0,120.0,03:15:47
158,01050101108032,5.0,140.0,140.0,06:30:42
159,01050101108045,5.0,150.0,150.0,07:53:24
160,01050101108058,5.0,120.0,120.0,10:10:11
161,01050101108071,5.0,120.0,120.0,11:24:45
162,01050101108084,5.0,130.0,130.0,08:59:06
163,01050101108097,5.0,0.0,0.0,12:29:24
164,01050101108110,5.0,120.0,120.0,06:40:13
165,01050101108123,5.0,130.0,130.0,03:06:41
166,01050101108136,5.0,120.0,120.0,01:47:27
167,01050101108149,5.0,130.0,130.0,04:45:20
168,01060100317002,5.0,300.0,0.0,03:40:19
169,01060100317012,5.0,160.0,160.0,05:31:04
170,01060100317022,5.0,150.0,150.0,06:51:04
171,01060100317032,2.0,20.0,300.0,03:30:28
172,01060100317042,5.0,150.0,150.0,09:02:51
173,01060100317052,5.0,150.0,0.0,05:08:06
174,01060100317062,2.0,100.0,320.0,09:18:39
175,01060100317072,5.0,550.0,550.0,07:00:28
176,01060100317082,5.0,150.0,150.0,03:53:22
177,01060100317092,5.0,50.0,50.0,07:02:01
178,01060100317102,5.0,150.0,150.0,05:43:49
179,01060100317112,5.0,300.0,150.0,08:22:46
180,01060200127002,2.0,70.0,160.0,08:58:53
181,01060200127003,2.0,215.0,110.0,05:33:13
182,01060200127031,2.0,100.0,250.0,07:16:24
183,01060200127045,5.0,260.0,0.0,03:43:02
184,01060200127058,5.0,350.0,350.0,04:58:26
185,01060200127072,5.0,260.0,260.0,06:10:40
186,01060200127086,2.0,100.0,260.0,10:38:15
187,01060200127100,5.0,160.0,160.0,07:46:23
188,01060200127113,2.0,410.0,260.0,04:03:40
189,01060200127128,2.0,110.0,160.0,10:30:53
190,01060200127142,5.0,260.0,40.0,05:10:32
191,01060200127156,5.0,0.0,600.0,06:38:38
192,01060200506004,5.0,181.0,600.0,04:16:36
193,01060200506015,2.0,195.0,260.0,09:27:33
194,01060200506026,5.0,500.0,100.0,06:23:59
195,01060200506037,5.0,230.0,270.0,07:56:41
196,01060200506048,5.0,137.0,250.0,03:54:30
197,01060200506059,5.0,120.0,600.0,05:11:28
198,01060200506070,2.0,150.0,420.0,06:31:04
199,01060200506081,5.0,63.0,260.0,07:46:36
200,01060200506092,5.0,200.0,500.0,03:38:06
201,01060200506103,5.0,50.0,520.0,08:10:46
202,01060200506114,2.0,57.0,260.0,05:27:52
203,01060200506125,2.0,50.0,260.0,06:44:55
204,02070101804001,,0.0,0.0,10:04:32
205,02070101804011,,0.0,0.0,18:52:41
206,02070101804021,,0.0,0.0,19:27:25
207,02070101804031,5.0,0.0,0.0,09:40:38
208,02070101804041,1.0,0.0,0.0,11:29:29
209,02070101804051,4.0,30.0,0.0,15:47:28
210,02070101804061,2.0,0.0,0.0,11:14:45
211,02070101804071,2.0,0.0,0.0,05:11:36
212,02070101804081,3.0,0.0,0.0,01:34:21
213,02070101804091,1.0,0.0,0.0,11:25:59
214,02070101804101,1.0,0.0,0.0,12:25:25
215,02070101804111,1.0,0.0,0.0,13:55:57
216,02070101901002,5.0,100.0,0.0,08:29:11
217,02070101901014,5.0,100.0,70.0,09:28:32
218,02070101901026,5.0,80.0,0.0,15:55:09
219,02070101901038,4.0,0.0,0.0,09:33:44
220,02070101901050,5.0,0.0,0.0,11:41:38
221,02070101901062,5.0,0.0,0.0,17:11:05
222,02070101901074,1.0,0.0,0.0,04:00:19
223,02070101901086,1.0,0.0,0.0,07:22:42
224,02070101901098,2.0,0.0,0.0,05:54:30
225,02070101901110,1.0,0.0,0.0,09:56:01
226,02070101901122,1.0,0.0,0.0,11:24:19
227,02070101901134,,0.0,0.0,12:23:31
