,HHID,K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,K12,K13,K14,K15,K16,K17,K18
0,01010200116005,2.0,2.0,1.0,,,,,,,3.0,,,,,,,,
1,01010200116014,2.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
2,01010200116023,2.0,1.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
3,01010200116032,2.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
4,01010200116041,2.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
5,01010200116050,5.0,,,,,,,,,4.0,,,,,,,,
6,01010200116059,2.0,1.0,1.0,,,,,,,3.0,,,,,,,,
7,01010200116068,2.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
8,01010200116077,2.0,1.0,1.0,,,,,,,3.0,,,,,,,,
9,01010200116086,2.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
10,01010200116095,2.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
11,01010200116104,2.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
12,01010301101004,2.0,2.0,1.0,,,,,,,2.0,,,,,,,,
13,01010301101005,2.0,,,,,,,,,1.0,2.0,2.0,2.0,1.0,1.0,,,
14,01010301101010,2.0,1.0,1.0,,,,,,,3.0,,,,,,,,
15,01010301101012,2.0,1.0,1.0,,,,,,,3.0,,,,,,,,
16,01010301101016,2.0,1.0,1.0,,,,,,,3.0,,,,,,,,
17,01010301101020,2.0,2.0,1.0,,,,,,,3.0,,,,,,,,
18,01010301101022,2.0,1.0,1.0,,,,,,,3.0,,,,,,,,
19,01010301101028,2.0,1.0,1.0,,,,,,,3.0,,,,,,,,
20,01010301101034,2.0,3.0,1.0,,,,,,,3.0,,,,,,,,
21,01010301101040,2.0,,,,,,,,,1.0,4.0,1.0,,,,,,
22,01010301101046,2.0,3.0,1.0,,,,,,,3.0,,,,,,,,
23,01010301101052,2.0,1.0,1.0,,,,,,,3.0,,,,,,,,
24,01010400404008,2.0,,,,,,,,,1.0,2.0,1.0,,,,,,
25,01010400404027,2.0,2.0,1.0,,,,,,,2.0,,,,,,,,
26,01010400404046,2.0,3.0,1.0,,,,,,,2.0,,,,,,,,
27,01010400404060,2.0,,,,,,,,,1.0,1.0,1.0,,,,,,
28,01010400404084,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0
29,01010400404103,2.0,1.0,1.0,,,,,,,3.0,,,,,,,,
30,01010400404122,2.0,2.0,1.0,,,,,,,2.0,,,,,,,,
31,01010400404141,2.0,1.0,2.0,1.0,,,,,,2.0,,,,,,,,
32,01010400404160,2.0,2.0,1.0,,,,,,,2.0,,,,,,,,
33,01010400404178,2.0,,,,,,,,,1.0,1.0,1.0,,,,,,
34,01010400404197,2.0,7.0,1.0,,,,,,,3.0,,,,,,,,
35,01010400404216,2.0,1.0,1.0,,,,,,,2.0,,,,,,,,
36,01010400804007,2.0,2.0,1.0,,,,,,,2.0,,,,,,,,
37,01010400804027,2.0,1.0,1.0,,,,,,,3.0,,,,,,,,
38,01010400804047,2.0,2.0,1.0,,,,,,,3.0,,,,,,,,
39,01010400804067,2.0,3.0,1.0,,,,,,,2.0,,,,,,,,
40,01010400804087,2.0,1.0,1.0,,,,,,,3.0,,,,,,,,
41,01010400804107,2.0,,,,,,,,,3.0,,,,,,,,
42,01010400804127,2.0,1.0,1.0,,,,,,,3.0,,,,,,,,
43,01010400804147,2.0,2.0,1.0,,,,,,,3.0,,,,,,,,
