,HHID,Consumption_item,L1
0,01010200116005,1,400
1,01010200116005,2,50
2,01010200116005,5,70
3,01010200116005,8,70
4,01010200116005,3,75
5,01010200116005,4,60
6,01010200116005,10,45
7,01010200116005,6,60
8,01010200116005,9,150
9,01010200116005,11,-888
10,01010200116005,7,18
11,01010200116014,2,40
12,01010200116014,3,30
13,01010200116014,1,300
14,01010200116014,11,-888
15,01010200116014,4,25
16,01010200116014,6,-888
17,01010200116014,9,-888
18,01010200116014,7,10
19,01010200116014,10,25
20,01010200116014,8,35
21,01010200116014,5,35
22,01010200116023,11,-888
23,01010200116023,3,25
24,01010200116023,2,30
25,01010200116023,6,60
26,01010200116023,7,10
27,01010200116023,8,55
28,01010200116023,9,-888
29,01010200116023,4,35
30,01010200116023,5,20
31,01010200116023,1,200
32,01010200116023,10,40
33,01010200116032,5,40
34,01010200116032,7,10
35,01010200116032,4,45
36,01010200116032,9,-888
37,01010200116032,11,-888
38,01010200116032,2,25
39,01010200116032,8,40
40,01010200116032,6,-888
41,01010200116032,3,20
42,01010200116032,1,350
43,01010200116032,10,30
44,01010200116041,2,60
45,01010200116041,3,30
46,01010200116041,6,-888
47,01010200116041,4,35
48,01010200116041,11,-888
49,01010200116041,10,40
50,01010200116041,9,-888
51,01010200116041,8,50
52,01010200116041,5,45
53,01010200116041,7,10
54,01010200116041,1,470
55,01010200116050,3,-888
56,01010200116050,11,-888
57,01010200116050,8,-888
58,01010200116050,4,-888
59,01010200116050,6,-888
60,01010200116050,1,-888
61,01010200116050,7,-888
62,01010200116050,5,-888
63,01010200116050,2,-888
64,01010200116050,9,-888
65,01010200116050,10,35
66,01010200116059,8,50
67,01010200116059,11,-888
68,01010200116059,5,40
69,01010200116059,1,150
70,01010200116059,3,30
71,01010200116059,9,-888
72,01010200116059,4,25
73,01010200116059,7,10
74,01010200116059,2,20
75,01010200116059,10,20
76,01010200116059,6,60
77,01010200116068,11,-888
78,01010200116068,5,40
79,01010200116068,10,20
80,01010200116068,9,-888
81,01010200116068,3,25
82,01010200116068,1,200
83,01010200116068,6,60
84,01010200116068,7,10
85,01010200116068,8,45
86,01010200116068,2,20
87,01010200116068,4,25
88,01010200116077,1,200
89,01010200116077,6,60
90,01010200116077,3,35
91,01010200116077,9,-888
92,01010200116077,8,50
93,01010200116077,5,30
94,01010200116077,2,20
95,01010200116077,11,-888
96,01010200116077,10,40
