,HHID,Item,L3
0,01010200116005,1,-888.0
1,01010200116005,2,1500.0
2,01010200116005,3,700.0
3,01010200116005,4,-888.0
4,01010200116005,5,-888.0
5,01010200116005,6,-888.0
6,01010200116005,7,-888.0
7,01010200116005,8,-888.0
8,01010200116005,9,-888.0
9,01010200116005,10,-888.0
10,01010200116005,11,-888.0
11,01010200116005,12,-888.0
12,01010200116005,13,-888.0
13,01010200116005,14,-888.0
14,01010200116014,1,-888.0
15,01010200116014,2,500.0
16,01010200116014,3,200.0
17,01010200116014,4,-888.0
18,01010200116014,5,-888.0
19,01010200116014,6,-888.0
20,01010200116014,7,-888.0
21,01010200116014,8,50.0
22,01010200116014,9,-888.0
23,01010200116014,10,-888.0
24,01010200116014,11,-888.0
25,01010200116014,12,-888.0
26,01010200116014,13,-888.0
27,01010200116014,14,-888.0
28,01010200116023,1,-888.0
29,01010200116023,2,600.0
30,01010200116023,3,150.0
31,01010200116023,4,-888.0
32,01010200116023,5,-888.0
33,01010200116023,6,-888.0
34,01010200116023,7,-888.0
35,01010200116023,8,-888.0
36,01010200116023,9,-888.0
37,01010200116023,10,-888.0
38,01010200116023,11,-888.0
39,01010200116023,12,-888.0
40,01010200116023,13,-888.0
41,01010200116023,14,-888.0
42,01010200116032,1,-888.0
43,01010200116032,2,500.0
44,01010200116032,3,150.0
45,01010200116032,4,-888.0
46,01010200116032,5,-888.0
47,01010200116032,6,-888.0
48,01010200116032,7,-888.0
49,01010200116032,8,-888.0
50,01010200116032,9,-888.0
51,01010200116032,10,-888.0
52,01010200116032,11,-888.0
53,01010200116032,12,-888.0
54,01010200116032,13,-888.0
55,01010200116032,14,-888.0
56,01010200116041,1,-888.0
57,01010200116041,2,500.0
58,01010200116041,3,200.0
59,01010200116041,4,-888.0
60,01010200116041,5,-888.0
61,01010200116041,6,-888.0
62,01010200116041,7,-888.0
63,01010200116041,8,-888.0
64,01010200116041,9,-888.0
65,01010200116041,10,-888.0
66,01010200116041,11,-888.0
67,01010200116041,12,-888.0
68,01010200116041,13,-888.0
69,01010200116041,14,-888.0
70,01010200116050,1,-888.0
71,01010200116050,2,500.0
72,01010200116050,3,500.0
73,01010200116050,4,-888.0
74,01010200116050,5,-888.0
75,01010200116050,6,-888.0
76,01010200116050,7,1000.0
77,01010200116050,8,-888.0
78,01010200116050,9,-888.0
79,01010200116050,10,-888.0
80,01010200116050,11,-888.0
81,01010200116050,12,-888.0
82,01010200116050,13,-888.0
83,01010200116050,14,-888.0
84,01010200116059,1,-888.0
85,01010200116059,2,300.0
86,01010200116059,3,200.0
87,01010200116059,4,-888.0
88,01010200116059,5,-888.0
89,01010200116059,6,-888.0
90,01010200116059,7,-888.0
91,01010200116059,8,-888.0
92,01010200116059,9,-888.0
93,01010200116059,10,-888.0
94,01010200116059,11,-888.0
95,01010200116059,12,-888.0
96,01010200116059,13,-888.0
97,01010200116059,14,-888.0
98,01010200116068,1,-888.0
99,01010200116068,2,500.0
100,01010200116068,3,200.0
101,01010200116068,4,-888.0
102,01010200116068,5,-888.0
103,01010200116068,6,-888.0
104,01010200116068,7,-888.0
105,01010200116068,8,-888.0
106,01010200116068,9,-888.0
107,01010200116068,10,-888.0
108,01010200116068,11,-888.0
109,01010200116068,12,-888.0
110,01010200116068,13,-888.0
111,01010200116068,14,-888.0
112,01010200116077,1,-888.0
113,01010200116077,2,500.0
114,01010200116077,3,200.0
115,01010200116077,4,-888.0
116,01010200116077,5,-888.0
117,01010200116077,6,-888.0
118,01010200116077,7,-888.0
119,01010200116077,8,-888.0
120,01010200116077,9,-888.0
121,01010200116077,10,-888.0
122,01010200116077,11,-888.0
123,01010200116077,12,-888.0
124,01010200116077,13,-888.0
125,01010200116077,14,-888.0
126,01010200116086,1,-888.0
127,01010200116086,2,200.0
128,01010200116086,3,250.0
129,01010200116086,4,-888.0
130,01010200116086,5,-888.0
131,01010200116086,6,-888.0
132,01010200116086,7,-888.0
133,01010200116086,8,-888.0
134,01010200116086,9,-888.0
135,01010200116086,10,-888.0
136,01010200116086,11,-888.0
137,01010200116086,12,-888.0
138,01010200116086,13,-888.0
139,01010200116086,14,-888.0
140,01010200116095,1,-888.0
141,01010200116095,2,-888.0
142,01010200116095,3,200.0
143,01010200116095,4,-888.0
144,01010200116095,5,-888.0
145,01010200116095,6,-888.0
146,01010200116095,7,-888.0
147,01010200116095,8,-888.0
148,01010200116095,9,-888.0
149,01010200116095,10,-888.0
150,01010200116095,11,-888.0
151,01010200116095,12,-888.0
152,01010200116095,13,-888.0
153,01010200116095,14,-888.0
154,01010200116104,1,-888.0
155,01010200116104,2,500.0
156,01010200116104,3,150.0
157,01010200116104,4,-888.0
158,01010200116104,5,-888.0
159,01010200116104,6,-888.0
160,01010200116104,7,-888.0
161,01010200116104,8,-888.0
162,01010200116104,9,-888.0
163,01010200116104,10,-888.0
164,01010200116104,11,-888.0
165,01010200116104,12,-888.0
166,01010200116104,13,-888.0
167,01010200116104,14,-888.0
168,01010301101004,1,1000.0
169,01010301101004,2,2500.0
170,01010301101004,3,5000.0
171,01010301101004,4,100.0
172,01010301101004,5,0.0
173,01010301101004,6,0.0
174,01010301101004,7,0.0
175,01010301101004,8,0.0
176,01010301101004,9,0.0
177,01010301101004,10,0.0
178,01010301101004,11,0.0
179,01010301101004,12,0.0
180,01010301101004,13,0.0
181,01010301101004,14,0.0
182,01010301101005,1,500.0
183,01010301101005,2,5000.0
184,01010301101005,3,1000.0
185,01010301101005,4,100.0
186,01010301101005,5,10.0
187,01010301101005,6,100.0
188,01010301101005,7,0.0
189,01010301101005,8,60.0
190,01010301101005,9,0.0
191,01010301101005,10,0.0
192,01010301101005,11,0.0
193,01010301101005,12,0.0
194,01010301101005,13,0.0
195,01010301101005,14,0.0
196,01010301101010,1,500.0
197,01010301101010,2,2000.0
198,01010301101010,3,3000.0
199,01010301101010,4,50.0
200,01010301101010,5,10.0
201,01010301101010,6,2400.0
202,01010301101010,7,0.0
203,01010301101010,8,0.0
204,01010301101010,9,0.0
205,01010301101010,10,0.0
206,01010301101010,11,0.0
207,01010301101010,12,0.0
208,01010301101010,13,0.0
209,01010301101010,14,0.0
210,01010301101012,1,600.0
211,01010301101012,2,5000.0
212,01010301101012,3,5000.0
213,01010301101012,4,500.0
214,01010301101012,5,10.0
215,01010301101012,6,400.0
216,01010301101012,7,0.0
217,01010301101012,8,0.0
218,01010301101012,9,0.0
219,01010301101012,10,0.0
220,01010301101012,11,0.0
221,01010301101012,12,0.0
222,01010301101012,13,0.0
223,01010301101012,14,0.0
224,01010301101016,1,720.0
225,01010301101016,2,10000.0
226,01010301101016,3,10000.0
227,01010301101016,4,200.0
228,01010301101016,5,0.0
229,01010301101016,6,100.0
230,01010301101016,7,0.0
231,01010301101016,8,0.0
232,01010301101016,9,0.0
233,01010301101016,10,0.0
234,01010301101016,11,0.0
235,01010301101016,12,0.0
236,01010301101016,13,0.0
237,01010301101016,14,0.0
238,01010301101020,1,400.0
239,01010301101020,2,6000.0
240,01010301101020,3,4000.0
241,01010301101020,4,100.0
242,01010301101020,5,15.0
243,01010301101020,6,70.0
244,01010301101020,7,0.0
245,01010301101020,8,0.0
246,01010301101020,9,0.0
247,01010301101020,10,0.0
248,01010301101020,11,0.0
249,01010301101020,12,0.0
250,01010301101020,13,0.0
251,01010301101020,14,0.0
252,01010301101022,1,200.0
253,01010301101022,2,2000.0
254,01010301101022,3,3000.0
255,01010301101022,4,50.0
256,01010301101022,5,10.0
257,01010301101022,6,0.0
258,01010301101022,7,0.0
259,01010301101022,8,0.0
260,01010301101022,9,0.0
261,01010301101022,10,0.0
262,01010301101022,11,0.0
263,01010301101022,12,0.0
264,01010301101022,13,0.0
265,01010301101022,14,0.0
266,01010301101028,1,1500.0
267,01010301101028,2,3000.0
268,01010301101028,3,1300.0
269,01010301101028,4,200.0
270,01010301101028,5,20.0
271,01010301101028,6,0.0
272,01010301101028,7,0.0
273,01010301101028,8,0.0
274,01010301101028,9,0.0
275,01010301101028,10,0.0
276,01010301101028,11,0.0
277,01010301101028,12,0.0
278,01010301101028,13,0.0
279,01010301101028,14,0.0
280,01010301101034,1,0.0
281,01010301101034,2,5000.0
282,01010301101034,3,5000.0
283,01010301101034,4,100.0
284,01010301101034,5,5.0
285,01010301101034,6,0.0
286,01010301101034,7,0.0
287,01010301101034,8,200.0
288,01010301101034,9,0.0
289,01010301101034,10,0.0
290,01010301101034,11,0.0
291,01010301101034,12,0.0
292,01010301101034,13,0.0
293,01010301101034,14,0.0
294,01010301101040,1,0.0
295,01010301101040,2,1500.0
296,01010301101040,3,3000.0
297,01010301101040,4,200.0
298,01010301101040,5,16.0
299,01010301101040,6,0.0
300,01010301101040,7,0.0
301,01010301101040,8,0.0
302,01010301101040,9,0.0
303,01010301101040,10,0.0
304,01010301101040,11,0.0
305,01010301101040,12,0.0
306,01010301101040,13,0.0
307,01010301101040,14,0.0
308,01010301101046,1,0.0
309,01010301101046,2,2500.0
310,01010301101046,3,3000.0
311,01010301101046,4,4100.0
312,01010301101046,5,50.0
313,01010301101046,6,3000.0
314,01010301101046,7,0.0
315,01010301101046,8,153.0
316,01010301101046,9,0.0
317,01010301101046,10,0.0
318,01010301101046,11,0.0
319,01010301101046,12,0.0
320,01010301101046,13,0.0
321,01010301101046,14,0.0
322,01010301101052,1,1000.0
323,01010301101052,2,5000.0
324,01010301101052,3,3000.0
325,01010301101052,4,40.0
326,01010301101052,5,400.0
327,01010301101052,6,0.0
328,01010301101052,7,0.0
329,01010301101052,8,0.0
330,01010301101052,9,0.0
331,01010301101052,10,0.0
332,01010301101052,11,0.0
333,01010301101052,12,0.0
334,01010301101052,13,0.0
335,01010301101052,14,0.0
336,01010400404008,1,4220.0
337,01010400404008,2,10000.0
338,01010400404008,3,3000.0
339,01010400404008,4,2000.0
340,01010400404008,5,20.0
341,01010400404008,6,800.0
342,01010400404008,7,2600.0
343,01010400404008,8,1000.0
344,01010400404008,9,0.0
345,01010400404008,10,0.0
346,01010400404008,11,0.0
347,01010400404008,12,0.0
348,01010400404008,13,0.0
349,01010400404008,14,0.0
350,01010400404027,1,500.0
351,01010400404027,2,4000.0
352,01010400404027,3,1500.0
353,01010400404027,4,300.0
354,01010400404027,5,10.0
355,01010400404027,6,0.0
356,01010400404027,7,9100.0
357,01010400404027,8,150.0
358,01010400404027,9,0.0
359,01010400404027,10,0.0
360,01010400404027,11,0.0
361,01010400404027,12,0.0
362,01010400404027,13,0.0
363,01010400404027,14,0.0
364,01010400404046,1,0.0
365,01010400404046,2,2000.0
366,01010400404046,3,1000.0
367,01010400404046,4,1000.0
368,01010400404046,5,100.0
369,01010400404046,6,130.0
370,01010400404046,7,0.0
371,01010400404046,8,100.0
372,01010400404046,9,0.0
373,01010400404046,10,0.0
374,01010400404046,11,0.0
375,01010400404046,12,0.0
376,01010400404046,13,0.0
377,01010400404046,14,0.0
378,01010400404060,1,500.0
379,01010400404060,2,5000.0
380,01010400404060,3,5000.0
381,01010400404060,4,50.0
382,01010400404060,5,10.0
383,01010400404060,6,0.0
384,01010400404060,7,50.0
385,01010400404060,8,60.0
386,01010400404060,9,0.0
387,01010400404060,10,0.0
388,01010400404060,11,0.0
389,01010400404060,12,0.0
390,01010400404060,13,0.0
391,01010400404060,14,0.0
392,01010400404084,1,0.0
393,01010400404084,2,15.0
394,01010400404084,3,1000.0
395,01010400404084,4,1000.0
396,01010400404084,5,10.0
397,01010400404084,6,0.0
398,01010400404084,7,0.0
399,01010400404084,8,0.0
400,01010400404084,9,0.0
401,01010400404084,10,0.0
402,01010400404084,11,0.0
403,01010400404084,12,0.0
404,01010400404084,13,0.0
405,01010400404084,14,0.0
406,01010400404103,1,1000.0
407,01010400404103,2,5000.0
408,01010400404103,3,5000.0
409,01010400404103,4,200.0
410,01010400404103,5,10.0
411,01010400404103,6,2500.0
412,01010400404103,7,0.0
413,01010400404103,8,500.0
414,01010400404103,9,0.0
415,01010400404103,10,0.0
416,01010400404103,11,0.0
417,01010400404103,12,0.0
418,01010400404103,13,0.0
419,01010400404103,14,0.0
420,01010400404122,1,600.0
421,01010400404122,2,3000.0
422,01010400404122,3,1500.0
423,01010400404122,4,650.0
424,01010400404122,5,10.0
425,01010400404122,6,0.0
426,01010400404122,7,0.0
427,01010400404122,8,0.0
428,01010400404122,9,0.0
429,01010400404122,10,0.0
430,01010400404122,11,0.0
431,01010400404122,12,0.0
432,01010400404122,13,0.0
433,01010400404122,14,0.0
434,01010400404141,1,70.0
435,01010400404141,2,1000.0
436,01010400404141,3,1000.0
437,01010400404141,4,90.0
438,01010400404141,5,0.0
439,01010400404141,6,0.0
440,01010400404141,7,0.0
441,01010400404141,8,0.0
442,01010400404141,9,0.0
443,01010400404141,10,0.0
444,01010400404141,11,0.0
445,01010400404141,12,0.0
446,01010400404141,13,0.0
447,01010400404141,14,0.0
448,01010400404160,1,500.0
449,01010400404160,2,3000.0
450,01010400404160,3,3000.0
451,01010400404160,4,250.0
452,01010400404160,5,10.0
453,01010400404160,6,0.0
454,01010400404160,7,0.0
455,01010400404160,8,200.0
456,01010400404160,9,0.0
457,01010400404160,10,0.0
458,01010400404160,11,0.0
459,01010400404160,12,0.0
460,01010400404160,13,0.0
461,01010400404160,14,0.0
462,01010400404178,1,50.0
463,01010400404178,2,1500.0
464,01010400404178,3,1000.0
465,01010400404178,4,500.0
466,01010400404178,5,10.0
467,01010400404178,6,700.0
468,01010400404178,7,0.0
469,01010400404178,8,0.0
470,01010400404178,9,0.0
471,01010400404178,10,0.0
472,01010400404178,11,0.0
473,01010400404178,12,0.0
474,01010400404178,13,0.0
475,01010400404178,14,0.0
476,01010400404197,1,100.0
477,01010400404197,2,3000.0
478,01010400404197,3,3000.0
479,01010400404197,4,550.0
480,01010400404197,5,20.0
481,01010400404197,6,0.0
482,01010400404197,7,0.0
483,01010400404197,8,0.0
484,01010400404197,9,0.0
485,01010400404197,10,0.0
486,01010400404197,11,0.0
487,01010400404197,12,0.0
488,01010400404197,13,0.0
489,01010400404197,14,0.0
490,01010400404216,1,0.0
491,01010400404216,2,4000.0
492,01010400404216,3,2000.0
493,01010400404216,4,500.0
494,01010400404216,5,10.0
495,01010400404216,6,300.0
496,01010400404216,7,0.0
497,01010400404216,8,250.0
498,01010400404216,9,0.0
499,01010400404216,10,0.0
500,01010400404216,11,0.0
501,01010400404216,12,0.0
502,01010400404216,13,0.0
503,01010400404216,14,0.0
504,01010400804007,1,4950.0
505,01010400804007,2,6000.0
506,01010400804007,3,10000.0
507,01010400804007,4,1050.0
508,01010400804007,5,50.0
509,01010400804007,6,5500.0
510,01010400804007,7,0.0
511,01010400804007,8,36.0
512,01010400804007,9,0.0
513,01010400804007,10,0.0
514,01010400804007,11,0.0
515,01010400804007,12,0.0
516,01010400804007,13,7000.0
517,01010400804007,14,0.0
518,01010400804027,1,0.0
519,01010400804027,2,1000.0
520,01010400804027,3,3000.0
521,01010400804027,4,25.0
522,01010400804027,5,8.0
523,01010400804027,6,0.0
524,01010400804027,7,0.0
525,01010400804027,8,0.0
526,01010400804027,9,0.0
527,01010400804027,10,0.0
528,01010400804027,11,0.0
529,01010400804027,12,0.0
530,01010400804027,13,0.0
531,01010400804027,14,0.0
532,01010400804047,1,210.0
533,01010400804047,2,3000.0
534,01010400804047,3,4000.0
535,01010400804047,4,50.0
536,01010400804047,5,30.0
537,01010400804047,6,900.0
538,01010400804047,7,0.0
539,01010400804047,8,620.0
540,01010400804047,9,0.0
541,01010400804047,10,0.0
542,01010400804047,11,0.0
543,01010400804047,12,500.0
544,01010400804047,13,0.0
545,01010400804047,14,0.0
546,01010400804067,1,0.0
547,01010400804067,2,2000.0
548,01010400804067,3,5000.0
549,01010400804067,4,1000.0
550,01010400804067,5,7.0
551,01010400804067,6,0.0
552,01010400804067,7,0.0
553,01010400804067,8,0.0
554,01010400804067,9,0.0
555,01010400804067,10,0.0
556,01010400804067,11,0.0
557,01010400804067,12,0.0
558,01010400804067,13,0.0
559,01010400804067,14,0.0
560,01010400804087,1,15.0
561,01010400804087,2,3000.0
562,01010400804087,3,3000.0
563,01010400804087,4,100.0
564,01010400804087,5,40.0
565,01010400804087,6,2000.0
566,01010400804087,7,0.0
567,01010400804087,8,90.0
568,01010400804087,9,0.0
569,01010400804087,10,0.0
570,01010400804087,11,0.0
571,01010400804087,12,0.0
572,01010400804087,13,0.0
573,01010400804087,14,0.0
574,01010400804107,1,150.0
575,01010400804107,2,2000.0
576,01010400804107,3,2000.0
577,01010400804107,4,50.0
578,01010400804107,5,5.0
579,01010400804107,6,0.0
580,01010400804107,7,0.0
581,01010400804107,8,0.0
582,01010400804107,9,0.0
583,01010400804107,10,0.0
584,01010400804107,11,0.0
585,01010400804107,12,0.0
586,01010400804107,13,0.0
587,01010400804107,14,0.0
588,01010400804127,1,0.0
589,01010400804127,2,2000.0
590,01010400804127,3,5000.0
591,01010400804127,4,500.0
592,01010400804127,5,0.0
593,01010400804127,6,0.0
594,01010400804127,7,520.0
595,01010400804127,8,0.0
596,01010400804127,9,0.0
597,01010400804127,10,0.0
598,01010400804127,11,0.0
599,01010400804127,12,0.0
600,01010400804127,13,0.0
601,01010400804127,14,0.0
602,01010400804147,1,0.0
603,01010400804147,2,1000.0
604,01010400804147,3,2000.0
605,01010400804147,4,200.0
606,01010400804147,5,30.0
607,01010400804147,6,0.0
608,01010400804147,7,0.0
609,01010400804147,8,0.0
610,01010400804147,9,0.0
611,01010400804147,10,0.0
612,01010400804147,11,0.0
613,01010400804147,12,0.0
614,01010400804147,13,4000.0
615,01010400804147,14,0.0
616,01010400804167,1,100.0
617,01010400804167,2,4000.0
618,01010400804167,3,2000.0
619,01010400804167,4,100.0
620,01010400804167,5,10.0
621,01010400804167,6,5000.0
622,01010400804167,7,400.0
623,01010400804167,8,0.0
624,01010400804167,9,0.0
625,01010400804167,10,0.0
626,01010400804167,11,0.0
627,01010400804167,12,0.0
628,01010400804167,13,0.0
629,01010400804167,14,0.0
630,01010400804187,1,50.0
631,01010400804187,2,5000.0
632,01010400804187,3,5000.0
633,01010400804187,4,760.0
634,01010400804187,5,24.0
635,01010400804187,6,0.0
636,01010400804187,7,650.0
637,01010400804187,8,0.0
638,01010400804187,9,0.0
639,01010400804187,10,0.0
640,01010400804187,11,0.0
641,01010400804187,12,200.0
642,01010400804187,13,0.0
643,01010400804187,14,0.0
644,01010400804207,1,0.0
645,01010400804207,2,3000.0
646,01010400804207,3,2000.0
647,01010400804207,4,280.0
648,01010400804207,5,0.0
649,01010400804207,6,0.0
650,01010400804207,7,0.0
651,01010400804207,8,0.0
652,01010400804207,9,0.0
653,01010400804207,10,0.0
654,01010400804207,11,0.0
655,01010400804207,12,0.0
656,01010400804207,13,0.0
657,01010400804207,14,0.0
658,01010400804227,1,0.0
659,01010400804227,2,3000.0
660,01010400804227,3,5000.0
661,01010400804227,4,300.0
662,01010400804227,5,20.0
663,01010400804227,6,2300.0
664,01010400804227,7,30.0
665,01010400804227,8,0.0
666,01010400804227,9,0.0
667,01010400804227,10,0.0
668,01010400804227,11,0.0
669,01010400804227,12,0.0
670,01010400804227,13,0.0
671,01010400804227,14,0.0
672,01020600113003,1,80.0
673,01020600113003,2,2500.0
674,01020600113003,3,1500.0
675,01020600113003,4,-888.0
676,01020600113003,5,-888.0
677,01020600113003,6,-888.0
678,01020600113003,7,200.0
679,01020600113003,8,-888.0
680,01020600113003,9,-888.0
681,01020600113003,10,-888.0
682,01020600113003,11,-888.0
683,01020600113003,12,-888.0
684,01020600113003,13,-888.0
685,01020600113003,14,-888.0
686,01020600113011,1,500.0
687,01020600113011,2,800.0
688,01020600113011,3,500.0
689,01020600113011,4,-888.0
690,01020600113011,5,-888.0
691,01020600113011,6,-888.0
692,01020600113011,7,-888.0
693,01020600113011,8,200.0
694,01020600113011,9,-888.0
695,01020600113011,10,-888.0
696,01020600113011,11,-888.0
697,01020600113011,12,-888.0
698,01020600113011,13,-888.0
699,01020600113011,14,-888.0
700,01020600113019,1,-888.0
701,01020600113019,2,1000.0
702,01020600113019,3,500.0
703,01020600113019,4,-888.0
704,01020600113019,5,-888.0
705,01020600113019,6,-888.0
706,01020600113019,7,-888.0
707,01020600113019,8,-888.0
708,01020600113019,9,-888.0
709,01020600113019,10,-888.0
710,01020600113019,11,-888.0
711,01020600113019,12,500.0
712,01020600113019,13,-888.0
713,01020600113019,14,-888.0
714,01020600113027,1,-888.0
715,01020600113027,2,200.0
716,01020600113027,3,100.0
717,01020600113027,4,-888.0
718,01020600113027,5,-888.0
719,01020600113027,6,-888.0
720,01020600113027,7,-888.0
721,01020600113027,8,-888.0
722,01020600113027,9,-888.0
723,01020600113027,10,-888.0
724,01020600113027,11,-888.0
725,01020600113027,12,-888.0
726,01020600113027,13,-888.0
727,01020600113027,14,-888.0
728,01020600113035,1,100.0
729,01020600113035,2,2000.0
730,01020600113035,3,1000.0
731,01020600113035,4,-888.0
732,01020600113035,5,-888.0
733,01020600113035,6,-888.0
734,01020600113035,7,-888.0
735,01020600113035,8,100.0
736,01020600113035,9,-888.0
737,01020600113035,10,-888.0
738,01020600113035,11,-888.0
739,01020600113035,12,-888.0
740,01020600113035,13,-888.0
741,01020600113035,14,-888.0
742,01020600113043,1,-888.0
743,01020600113043,2,2000.0
744,01020600113043,3,1000.0
745,01020600113043,4,-888.0
746,01020600113043,5,-888.0
747,01020600113043,6,-888.0
748,01020600113043,7,-888.0
749,01020600113043,8,-888.0
750,01020600113043,9,-888.0
751,01020600113043,10,-888.0
752,01020600113043,11,-888.0
753,01020600113043,12,-888.0
754,01020600113043,13,-888.0
755,01020600113043,14,-888.0
756,01020600113051,1,50.0
757,01020600113051,2,1000.0
758,01020600113051,3,500.0
759,01020600113051,4,-888.0
760,01020600113051,5,-888.0
761,01020600113051,6,-888.0
762,01020600113051,7,600.0
763,01020600113051,8,300.0
764,01020600113051,9,-888.0
765,01020600113051,10,-888.0
766,01020600113051,11,-888.0
767,01020600113051,12,-888.0
768,01020600113051,13,-888.0
769,01020600113051,14,-888.0
770,01020600113059,1,-888.0
771,01020600113059,2,-888.0
772,01020600113059,3,200.0
773,01020600113059,4,-888.0
774,01020600113059,5,-888.0
775,01020600113059,6,-888.0
776,01020600113059,7,500.0
777,01020600113059,8,150.0
778,01020600113059,9,-888.0
779,01020600113059,10,-888.0
780,01020600113059,11,-888.0
781,01020600113059,12,-888.0
782,01020600113059,13,-888.0
783,01020600113059,14,-888.0
784,01020600113067,1,50.0
785,01020600113067,2,300.0
786,01020600113067,3,200.0
787,01020600113067,4,-888.0
788,01020600113067,5,-888.0
789,01020600113067,6,-888.0
790,01020600113067,7,-888.0
791,01020600113067,8,-888.0
792,01020600113067,9,-888.0
793,01020600113067,10,-888.0
794,01020600113067,11,-888.0
795,01020600113067,12,-888.0
796,01020600113067,13,-888.0
797,01020600113067,14,-888.0
798,01020600113075,1,-888.0
799,01020600113075,2,500.0
800,01020600113075,3,500.0
801,01020600113075,4,-888.0
802,01020600113075,5,-888.0
