,HHID,M_item,M_a,M_b,M_c
0,01010200116005,1,0,,
1,01010200116005,2,0,,
2,01010200116005,3,5,3.0,
3,01010200116005,4,0,,
4,01010200116005,5,0,,
5,01010200116005,6,0,,
6,01010200116005,7,0,,
7,01010200116005,8,0,,
8,01010200116005,9,1,3.0,
9,01010200116005,10,0,,
10,01010200116005,11,0,,
11,01010200116005,12,0,,
12,01010200116005,13,0,,
13,01010200116005,14,0,,
14,01010200116005,15,0,,
15,01010200116005,16,0,,
16,01010200116005,17,0,,
17,01010200116005,18,0,,
18,01010200116005,19,0,,
19,01010200116005,20,0,,
20,01010200116005,21,2,3.0,
21,01010200116005,22,0,,
22,01010200116005,23,0,,
23,01010200116005,24,0,,
24,01010200116014,1,1,3.0,
25,01010200116014,2,0,,
26,01010200116014,3,0,,
27,01010200116014,4,0,,
28,01010200116014,5,0,,
29,01010200116014,6,0,,
30,01010200116014,7,0,,
31,01010200116014,8,0,,
32,01010200116014,9,0,,
33,01010200116014,10,0,,
34,01010200116014,11,0,,
35,01010200116014,12,0,,
36,01010200116014,13,0,,
37,01010200116014,14,0,,
38,01010200116014,15,0,,
39,01010200116014,16,0,,
40,01010200116014,17,0,,
41,01010200116014,18,0,,
42,01010200116014,19,0,,
43,01010200116014,20,0,,
44,01010200116014,21,1,3.0,
45,01010200116014,22,0,,
46,01010200116014,23,1,3.0,4.0
47,01010200116014,24,0,,
48,01010200116023,1,1,3.0,
49,01010200116023,2,0,,
50,01010200116023,3,0,,
51,01010200116023,4,0,,
52,01010200116023,5,0,,
53,01010200116023,6,0,,
54,01010200116023,7,0,,
55,01010200116023,8,0,,
56,01010200116023,9,0,,
57,01010200116023,10,0,,
58,01010200116023,11,0,,
59,01010200116023,12,0,,
60,01010200116023,13,0,,
61,01010200116023,14,0,,
62,01010200116023,15,0,,
63,01010200116023,16,0,,
64,01010200116023,17,0,,
65,01010200116023,18,0,,
66,01010200116023,19,0,,
67,01010200116023,20,0,,
68,01010200116023,21,1,3.0,
69,01010200116023,22,0,,
70,01010200116023,23,1,3.0,5.0
71,01010200116023,24,0,,
72,01010200116032,1,1,3.0,
73,01010200116032,2,0,,
74,01010200116032,3,0,,
75,01010200116032,4,0,,
76,01010200116032,5,0,,
77,01010200116032,6,0,,
78,01010200116032,7,0,,
79,01010200116032,8,0,,
80,01010200116032,9,0,,
81,01010200116032,10,0,,
82,01010200116032,11,0,,
83,01010200116032,12,0,,
84,01010200116032,13,0,,
85,01010200116032,14,0,,
86,01010200116032,15,0,,
87,01010200116032,16,0,,
88,01010200116032,17,0,,
89,01010200116032,18,0,,
90,01010200116032,19,0,,
91,01010200116032,20,0,,
92,01010200116032,21,1,3.0,
93,01010200116032,22,0,,
94,01010200116032,23,0,,
95,01010200116032,24,0,,
96,01010200116041,1,1,3.0,
97,01010200116041,2,0,,
98,01010200116041,3,0,,
99,01010200116041,4,0,,
100,01010200116041,5,0,,
101,01010200116041,6,0,,
102,01010200116041,7,0,,
103,01010200116041,8,0,,
104,01010200116041,9,0,,
105,01010200116041,10,0,,
106,01010200116041,11,0,,
107,01010200116041,12,0,,
108,01010200116041,13,0,,
109,01010200116041,14,0,,
110,01010200116041,15,0,,
111,01010200116041,16,0,,
112,01010200116041,17,0,,
113,01010200116041,18,0,,
114,01010200116041,19,0,,
