,HHID,M_a,M_b,M1
0,01010200116005,0.0,,1
1,01010200116005,0.0,,2
2,01010200116005,0.0,,3
3,01010200116005,0.0,,4
4,01010200116005,0.0,,5
5,01010200116005,0.0,,6
6,01010200116005,0.0,,7
7,01010200116005,0.0,,8
8,01010200116005,0.0,,9
9,01010200116005,0.0,,10
10,01010200116005,0.0,,11
11,01010200116005,0.0,,12
12,01010200116005,0.0,,13
13,01010200116005,0.0,,14
14,01010200116005,0.0,,15
15,01010200116014,0.0,,1
16,01010200116014,0.0,,2
17,01010200116014,0.0,,3
18,01010200116014,0.0,,4
19,01010200116014,0.0,,5
20,01010200116014,0.0,,6
21,01010200116014,0.0,,7
22,01010200116014,0.0,,8
23,01010200116014,0.0,,9
24,01010200116014,0.0,,10
25,01010200116014,0.0,,11
26,01010200116014,0.0,,12
27,01010200116014,0.0,,13
28,01010200116014,0.0,,14
29,01010200116014,0.0,,15
30,01010200116023,0.0,,1
31,01010200116023,0.0,,2
32,01010200116023,0.0,,3
33,01010200116023,0.0,,4
34,01010200116023,0.0,,5
35,01010200116023,0.0,,6
36,01010200116023,0.0,,7
37,01010200116023,0.0,,8
38,01010200116023,0.0,,9
39,01010200116023,0.0,,10
40,01010200116023,0.0,,11
41,01010200116023,0.0,,12
42,01010200116023,0.0,,13
43,01010200116023,0.0,,14
44,01010200116023,0.0,,15
45,01010200116032,0.0,,1
46,01010200116032,0.0,,2
47,01010200116032,0.0,,3
48,01010200116032,0.0,,4
49,01010200116032,0.0,,5
50,01010200116032,0.0,,6
51,01010200116032,0.0,,7
52,01010200116032,0.0,,8
53,01010200116032,0.0,,9
54,01010200116032,0.0,,10
55,01010200116032,0.0,,11
56,01010200116032,0.0,,12
57,01010200116032,0.0,,13
58,01010200116032,0.0,,14
59,01010200116032,0.0,,15
60,01010200116041,0.0,,1
61,01010200116041,0.0,,2
62,01010200116041,0.0,,3
63,01010200116041,0.0,,4
64,01010200116041,0.0,,5
65,01010200116041,0.0,,6
66,01010200116041,0.0,,7
67,01010200116041,0.0,,8
68,01010200116041,0.0,,9
69,01010200116041,0.0,,10
70,01010200116041,0.0,,11
71,01010200116041,0.0,,12
72,01010200116041,0.0,,13
73,01010200116041,0.0,,14
74,01010200116041,0.0,,15
75,01010200116050,0.0,,1
76,01010200116050,0.0,,2
77,01010200116050,0.0,,3
78,01010200116050,0.0,,4
79,01010200116050,0.0,,5
80,01010200116050,0.0,,6
81,01010200116050,0.0,,7
82,01010200116050,0.0,,8
83,01010200116050,0.0,,9
84,01010200116050,0.0,,10
85,01010200116050,0.0,,11
86,01010200116050,0.0,,12
87,01010200116050,0.0,,13
88,01010200116050,0.0,,14
89,01010200116050,0.0,,15
90,01010200116059,0.0,,1
91,01010200116059,0.0,,2
92,01010200116059,0.0,,3
93,01010200116059,0.0,,4
94,01010200116059,0.0,,5
95,01010200116059,0.0,,6
96,01010200116059,0.0,,7
97,01010200116059,0.0,,8
98,01010200116059,0.0,,9
99,01010200116059,0.0,,10
100,01010200116059,0.0,,11
101,01010200116059,0.0,,12
102,01010200116059,0.0,,13
103,01010200116059,0.0,,14
104,01010200116059,0.0,,15
105,01010200116068,0.0,,1
106,01010200116068,0.0,,2
107,01010200116068,0.0,,3
108,01010200116068,0.0,,4
109,01010200116068,0.0,,5
110,01010200116068,0.0,,6
111,01010200116068,0.0,,7
112,01010200116068,0.0,,8
113,01010200116068,0.0,,9
114,01010200116068,0.0,,10
115,01010200116068,0.0,,11
116,01010200116068,0.0,,12
117,01010200116068,0.0,,13
118,01010200116068,0.0,,14
119,01010200116068,0.0,,15
120,01010200116077,0.0,,1
121,01010200116077,0.0,,2
122,01010200116077,0.0,,3
123,01010200116077,0.0,,4
124,01010200116077,0.0,,5
125,01010200116077,0.0,,6
126,01010200116077,0.0,,7
127,01010200116077,0.0,,8
128,01010200116077,0.0,,9
129,01010200116077,0.0,,10
130,01010200116077,0.0,,11
131,01010200116077,0.0,,12
132,01010200116077,0.0,,13
133,01010200116077,0.0,,14
134,01010200116077,0.0,,15
135,01010200116086,0.0,,1
136,01010200116086,0.0,,2
137,01010200116086,0.0,,3
138,01010200116086,0.0,,4
139,01010200116086,0.0,,5
140,01010200116086,0.0,,6
141,01010200116086,0.0,,7
142,01010200116086,0.0,,8
143,01010200116086,0.0,,9
144,01010200116086,0.0,,10
145,01010200116086,0.0,,11
146,01010200116086,0.0,,12
147,01010200116086,0.0,,13
148,01010200116086,0.0,,14
149,01010200116086,0.0,,15
150,01010200116095,0.0,,1
151,01010200116095,0.0,,2
152,01010200116095,0.0,,3
153,01010200116095,0.0,,4
154,01010200116095,0.0,,5
155,01010200116095,0.0,,6
156,01010200116095,0.0,,7
157,01010200116095,0.0,,8
158,01010200116095,0.0,,9
159,01010200116095,0.0,,10
160,01010200116095,0.0,,11
161,01010200116095,0.0,,12
162,01010200116095,0.0,,13
163,01010200116095,0.0,,14
164,01010200116095,0.0,,15
165,01010200116104,0.0,,1
166,01010200116104,0.0,,2
167,01010200116104,0.0,,3
168,01010200116104,0.0,,4
169,01010200116104,0.0,,5
170,01010200116104,0.0,,6
171,01010200116104,0.0,,7
172,01010200116104,0.0,,8
173,01010200116104,0.0,,9
174,01010200116104,0.0,,10
175,01010200116104,0.0,,11
176,01010200116104,0.0,,12
177,01010200116104,0.0,,13
178,01010200116104,0.0,,14
179,01010200116104,0.0,,15
180,01010301101004,0.0,,1
181,01010301101004,0.0,,2
182,01010301101004,0.0,,3
183,01010301101004,0.0,,4
184,01010301101004,0.0,,5
185,01010301101004,0.0,,6
186,01010301101004,0.0,,7
187,01010301101004,3.0,,8
188,01010301101004,0.0,,9
189,01010301101004,0.0,,10
190,01010301101004,0.0,,11
191,01010301101004,0.0,,12
192,01010301101004,0.0,,13
193,01010301101004,0.0,,14
194,01010301101004,0.0,,15
195,01010301101005,0.0,,1
196,01010301101005,0.0,,2
197,01010301101005,0.0,,3
198,01010301101005,0.0,,4
199,01010301101005,0.0,,5
200,01010301101005,0.0,,6
201,01010301101005,0.0,,7
202,01010301101005,3.0,,8
203,01010301101005,0.0,,9
204,01010301101005,0.0,,10
205,01010301101005,10.0,,11
206,01010301101005,4.0,,12
207,01010301101005,0.0,,13
208,01010301101005,0.0,,14
209,01010301101005,0.0,,15
210,01010301101010,0.0,,1
211,01010301101010,0.0,,2
212,01010301101010,0.0,,3
213,01010301101010,0.0,,4
214,01010301101010,0.0,,5
215,01010301101010,0.0,,6
216,01010301101010,0.0,,7
217,01010301101010,1.0,,8
218,01010301101010,0.0,,9
219,01010301101010,1.0,,10
220,01010301101010,0.0,,11
221,01010301101010,0.0,,12
222,01010301101010,0.0,,13
223,01010301101010,0.0,,14
224,01010301101010,0.0,,15
225,01010301101012,0.0,,1
226,01010301101012,0.0,,2
227,01010301101012,0.0,,3
228,01010301101012,0.0,,4
229,01010301101012,0.0,,5
230,01010301101012,0.0,,6
231,01010301101012,0.0,,7
232,01010301101012,10.0,,8
233,01010301101012,1.0,,9
234,01010301101012,2.0,,10
235,01010301101012,0.0,,11
236,01010301101012,24.0,,12
237,01010301101012,0.0,,13
238,01010301101012,0.0,,14
239,01010301101012,0.0,,15
240,01010301101016,0.0,,1
241,01010301101016,0.0,,2
242,01010301101016,0.0,,3
243,01010301101016,0.0,,4
244,01010301101016,0.0,,5
245,01010301101016,0.0,,6
246,01010301101016,0.0,,7
247,01010301101016,7.0,,8
248,01010301101016,0.0,,9
249,01010301101016,1.0,,10
250,01010301101016,0.0,,11
251,01010301101016,0.0,,12
252,01010301101016,0.0,,13
253,01010301101016,0.0,,14
254,01010301101016,0.0,,15
255,01010301101020,0.0,,1
256,01010301101020,0.0,,2
257,01010301101020,0.0,,3
258,01010301101020,0.0,,4
259,01010301101020,0.0,,5
260,01010301101020,0.0,,6
261,01010301101020,0.0,,7
262,01010301101020,6.0,,8
263,01010301101020,0.0,,9
264,01010301101020,0.0,,10
265,01010301101020,0.0,,11
266,01010301101020,5.0,,12
267,01010301101020,0.0,,13
268,01010301101020,0.0,,14
269,01010301101020,0.0,,15
270,01010301101022,0.0,,1
271,01010301101022,0.0,,2
272,01010301101022,0.0,,3
273,01010301101022,0.0,,4
274,01010301101022,0.0,,5
275,01010301101022,0.0,,6
276,01010301101022,0.0,,7
277,01010301101022,3.0,,8
278,01010301101022,0.0,,9
279,01010301101022,0.0,,10
280,01010301101022,0.0,,11
281,01010301101022,0.0,,12
282,01010301101022,0.0,,13
283,01010301101022,0.0,,14
284,01010301101022,0.0,,15
285,01010301101028,0.0,,1
286,01010301101028,0.0,,2
287,01010301101028,0.0,,3
288,01010301101028,0.0,,4
289,01010301101028,0.0,,5
290,01010301101028,0.0,,6
291,01010301101028,0.0,,7
292,01010301101028,0.0,,8
293,01010301101028,0.0,,9
294,01010301101028,0.0,,10
295,01010301101028,0.0,,11
296,01010301101028,0.0,,12
297,01010301101028,0.0,,13
298,01010301101028,0.0,,14
299,01010301101028,0.0,,15
300,01010301101034,0.0,,1
301,01010301101034,0.0,,2
302,01010301101034,0.0,,3
303,01010301101034,0.0,,4
304,01010301101034,0.0,,5
305,01010301101034,0.0,,6
306,01010301101034,0.0,,7
307,01010301101034,2.0,,8
308,01010301101034,1.0,,9
309,01010301101034,0.0,,10
310,01010301101034,0.0,,11
311,01010301101034,0.0,,12
312,01010301101034,0.0,,13
313,01010301101034,0.0,,14
314,01010301101034,0.0,,15
315,01010301101040,0.0,,1
316,01010301101040,0.0,,2
317,01010301101040,0.0,,3
318,01010301101040,0.0,,4
319,01010301101040,0.0,,5
320,01010301101040,0.0,,6
321,01010301101040,0.0,,7
322,01010301101040,5.0,,8
323,01010301101040,0.0,,9
324,01010301101040,0.0,,10
325,01010301101040,0.0,,11
326,01010301101040,0.0,,12
327,01010301101040,0.0,,13
328,01010301101040,0.0,,14
329,01010301101040,0.0,,15
330,01010301101046,0.0,,1
331,01010301101046,0.0,,2
332,01010301101046,0.0,,3
333,01010301101046,0.0,,4
334,01010301101046,0.0,,5
335,01010301101046,0.0,,6
336,01010301101046,0.0,,7
337,01010301101046,2.0,,8
338,01010301101046,0.0,,9
339,01010301101046,0.0,,10
