,HHID,O,O1,O2
0,01010200116005,1.0,2.0,
1,01010200116005,2.0,2.0,
2,01010200116014,1.0,2.0,
3,01010200116014,2.0,2.0,
4,01010200116023,1.0,2.0,
5,01010200116023,2.0,2.0,
6,01010200116032,1.0,2.0,
7,01010200116032,2.0,2.0,
8,01010200116041,1.0,2.0,
9,01010200116041,2.0,2.0,
10,01010200116050,1.0,2.0,
11,01010200116050,2.0,2.0,
12,01010200116059,1.0,2.0,
13,01010200116059,2.0,2.0,
14,01010200116068,1.0,2.0,
15,01010200116068,2.0,2.0,
16,01010200116077,1.0,2.0,
17,01010200116077,2.0,2.0,
18,01010200116086,1.0,2.0,
19,01010200116086,2.0,2.0,
20,01010200116095,1.0,2.0,
21,01010200116095,2.0,2.0,
22,01010200116104,1.0,2.0,
23,01010200116104,2.0,2.0,
24,01010301101004,1.0,2.0,
25,01010301101004,1.0,2.0,
26,01010301101005,1.0,2.0,
27,01010301101005,1.0,2.0,
28,01010301101010,1.0,1.0,1.0
29,01010301101010,1.0,2.0,
30,01010301101012,1.0,2.0,
31,01010301101012,1.0,2.0,
32,01010301101016,1.0,2.0,
33,01010301101016,1.0,2.0,
34,01010301101020,1.0,2.0,
35,01010301101020,1.0,2.0,
36,01010301101022,1.0,2.0,
37,01010301101022,1.0,2.0,
38,01010301101028,1.0,2.0,
39,01010301101028,1.0,2.0,
40,01010301101034,1.0,2.0,
41,01010301101034,1.0,2.0,
42,01010301101040,1.0,1.0,1.0
43,01010301101040,1.0,2.0,
44,01010301101046,1.0,2.0,
45,01010301101046,1.0,2.0,
46,01010301101052,1.0,2.0,
47,01010301101052,1.0,2.0,
48,01010400404008,1.0,2.0,
49,01010400404008,1.0,2.0,
50,01010400404027,1.0,2.0,
51,01010400404027,1.0,2.0,
52,01010400404046,1.0,2.0,
53,01010400404046,1.0,2.0,
54,01010400404060,1.0,2.0,
55,01010400404060,1.0,2.0,
56,01010400404084,1.0,2.0,
57,01010400404084,1.0,2.0,
58,01010400404103,1.0,2.0,
59,01010400404103,1.0,2.0,
60,01010400404122,1.0,2.0,
61,01010400404122,1.0,2.0,
62,01010400404141,1.0,2.0,
63,01010400404141,1.0,2.0,
64,01010400404160,1.0,2.0,
65,01010400404160,1.0,2.0,
66,01010400404178,1.0,2.0,
67,01010400404178,1.0,2.0,
68,01010400404197,1.0,2.0,
69,01010400404197,1.0,2.0,
70,01010400404216,1.0,2.0,
71,01010400404216,1.0,2.0,
72,01010400804007,1.0,1.0,1.0
73,01010400804007,1.0,2.0,
74,01010400804027,1.0,2.0,
75,01010400804027,1.0,2.0,
76,01010400804047,2.0,2.0,
77,01010400804047,2.0,2.0,
78,01010400804067,2.0,2.0,
79,01010400804067,2.0,2.0,
80,01010400804087,2.0,2.0,
81,01010400804087,2.0,2.0,
82,01010400804107,2.0,2.0,
83,01010400804107,2.0,2.0,
84,01010400804127,2.0,2.0,
85,01010400804127,2.0,2.0,
86,01010400804147,2.0,2.0,
87,01010400804147,2.0,2.0,
88,01010400804167,2.0,2.0,
89,01010400804167,2.0,2.0,
90,01010400804187,2.0,2.0,
91,01010400804187,2.0,2.0,
92,01010400804207,2.0,2.0,
93,01010400804207,2.0,2.0,
94,01010400804227,2.0,2.0,
95,01010400804227,2.0,2.0,
96,01020600113003,1.0,2.0,
97,01020600113003,2.0,2.0,
98,01020600113011,1.0,2.0,
99,01020600113011,2.0,2.0,
100,01020600113019,1.0,2.0,
101,01020600113019,2.0,2.0,
102,01020600113027,1.0,2.0,
103,01020600113027,2.0,2.0,
104,01020600113035,1.0,2.0,
105,01020600113035,2.0,2.0,
106,01020600113043,1.0,2.0,
107,01020600113043,2.0,2.0,
108,01020600113051,1.0,2.0,
109,01020600113051,2.0,2.0,
110,01020600113059,1.0,2.0,
111,01020600113059,2.0,2.0,
112,01020600113067,1.0,2.0,
113,01020600113067,2.0,2.0,
114,01020600113075,1.0,2.0,
115,01020600113075,2.0,2.0,
116,01020600113083,1.0,2.0,
117,01020600113083,2.0,2.0,
118,01020600113091,1.0,2.0,
119,01020600113091,2.0,2.0,
120,01020801604004,1.0,1.0,1.0
121,01020801604004,2.0,2.0,
122,01020801604014,1.0,2.0,
123,01020801604014,2.0,2.0,
124,01020801604024,1.0,1.0,1.0
125,01020801604024,2.0,2.0,
126,01020801604034,1.0,2.0,
127,01020801604034,2.0,2.0,
128,01020801604044,1.0,2.0,
129,01020801604044,2.0,2.0,
130,01020801604054,1.0,2.0,
131,01020801604054,2.0,2.0,
132,01020801604064,1.0,2.0,
133,01020801604064,1.0,2.0,
134,01020801604074,1.0,2.0,
135,01020801604074,1.0,2.0,
136,01020801604084,1.0,2.0,
137,01020801604084,1.0,2.0,
138,01020801604100,1.0,2.0,
139,01020801604100,1.0,2.0,
140,01020801604135,1.0,2.0,
141,01020801604135,1.0,2.0,
142,01020801604170,1.0,2.0,
143,01020801604170,1.0,2.0,
144,01020901705002,1.0,2.0,
145,01020901705002,1.0,2.0,
146,01020901705018,1.0,2.0,
147,01020901705018,1.0,2.0,
148,01020901705034,1.0,2.0,
149,01020901705034,1.0,2.0,
150,01020901705050,1.0,1.0,1.0
151,01020901705050,2.0,2.0,
152,01020901705066,1.0,1.0,1.0
153,01020901705066,2.0,2.0,
154,01020901705082,1.0,1.0,1.0
155,01020901705082,2.0,2.0,
156,01020901705098,1.0,2.0,
157,01020901705098,2.0,2.0,
158,01020901705114,1.0,2.0,
159,01020901705114,2.0,2.0,
160,01020901705130,1.0,2.0,
161,01020901705130,2.0,2.0,
162,01020901705146,1.0,1.0,1.0
163,01020901705146,2.0,2.0,
164,01020901705162,1.0,2.0,
165,01020901705162,1.0,2.0,
166,01020901705178,1.0,1.0,1.0
167,01020901705178,2.0,2.0,
168,01021200418002,1.0,2.0,
169,01021200418002,2.0,2.0,
170,01021200418013,1.0,2.0,
171,01021200418013,2.0,2.0,
172,01021200418024,1.0,2.0,
173,01021200418024,2.0,2.0,
174,01021200418035,1.0,2.0,
175,01021200418035,2.0,2.0,
176,01021200418046,1.0,2.0,
177,01021200418046,2.0,2.0,
178,01021200418057,1.0,2.0,
179,01021200418057,2.0,1.0,1.0
180,01021200418068,1.0,2.0,
181,01021200418068,2.0,2.0,
182,01021200418079,1.0,2.0,
183,01021200418079,2.0,2.0,
184,01021200418090,1.0,2.0,
185,01021200418090,2.0,2.0,
186,01021200418101,1.0,2.0,
187,01021200418101,2.0,1.0,1.0
188,01021200418112,1.0,2.0,
189,01021200418112,2.0,2.0,
190,01021200418123,1.0,2.0,
191,01021200418123,2.0,2.0,
192,01030300103004,1.0,2.0,
193,01030300103004,2.0,2.0,
194,01030300103017,1.0,2.0,
195,01030300103017,2.0,2.0,
196,01030300103030,1.0,2.0,
197,01030300103030,2.0,2.0,
198,01030300103043,2.0,2.0,
199,01030300103043,2.0,2.0,
200,01030300103056,1.0,2.0,
201,01030300103056,2.0,2.0,
202,01030300103069,1.0,2.0,
203,01030300103069,2.0,2.0,
204,01030300103082,1.0,2.0,
205,01030300103082,2.0,2.0,
206,01030300103095,1.0,2.0,
207,01030300103095,2.0,2.0,
208,01030300103108,1.0,2.0,
209,01030300103108,2.0,2.0,
210,01030300103121,1.0,2.0,
211,01030300103121,2.0,2.0,
212,01030300103134,1.0,2.0,
213,01030300103134,2.0,2.0,
214,01030300103147,1.0,2.0,
215,01030300103147,2.0,2.0,
216,01030600403012,1.0,2.0,
217,01030600403012,1.0,2.0,
218,01030600403017,1.0,1.0,1.0
219,01030600403017,2.0,2.0,
220,01030600403036,1.0,2.0,
221,01030600403036,1.0,2.0,
222,01030600403049,1.0,2.0,
223,01030600403049,1.0,2.0,
224,01030600403072,1.0,1.0,1.0
225,01030600403072,2.0,2.0,
226,01030600403092,1.0,1.0,1.0
227,01030600403092,2.0,2.0,
228,01030600403116,1.0,2.0,
229,01030600403116,1.0,2.0,
230,01030600403138,1.0,2.0,
231,01030600403138,2.0,2.0,
232,01030600403164,1.0,1.0,1.0
233,01030600403164,2.0,2.0,
234,01030600403173,1.0,1.0,1.0
235,01030600403173,2.0,2.0,
236,01030600403183,1.0,1.0,1.0
237,01030600403183,2.0,2.0,
238,01030600403185,1.0,1.0,1.0
239,01030600403185,2.0,2.0,
240,01030800402002,1.0,2.0,
241,01030800402002,2.0,2.0,
242,01030800402015,1.0,2.0,
243,01030800402015,2.0,2.0,
244,01030800402028,1.0,2.0,
245,01030800402028,2.0,2.0,
246,01030800402041,1.0,2.0,
247,01030800402041,2.0,2.0,
248,01030800402054,1.0,2.0,
249,01030800402054,2.0,2.0,
250,01030800402067,1.0,2.0,
251,01030800402067,2.0,2.0,
252,01030800402080,1.0,2.0,
253,01030800402080,2.0,2.0,
254,01030800402093,2.0,2.0,
255,01030800402093,2.0,2.0,
256,01030800402106,1.0,2.0,
257,01030800402106,2.0,2.0,
258,01030800402119,1.0,2.0,
259,01030800402119,2.0,2.0,
260,01030800402132,1.0,2.0,
261,01030800402132,2.0,2.0,
262,01030800402145,1.0,2.0,
263,01030800402145,2.0,2.0,
264,01041100201005,2.0,2.0,
265,01041100201005,2.0,2.0,
266,01041100201020,2.0,2.0,
267,01041100201020,2.0,2.0,
268,01041100201035,2.0,2.0,
269,01041100201035,2.0,2.0,
270,01041100201050,2.0,2.0,
271,01041100201050,2.0,2.0,
272,01041100201065,2.0,2.0,
273,01041100201065,2.0,2.0,
274,01041100201080,2.0,2.0,
275,01041100201080,2.0,2.0,
276,01041100201095,2.0,2.0,
277,01041100201095,2.0,2.0,
278,01041100201110,2.0,2.0,
279,01041100201110,2.0,2.0,
280,01041100201125,1.0,2.0,
281,01041100201125,1.0,2.0,
282,01041100201140,2.0,2.0,
283,01041100201140,2.0,2.0,
284,01041100201155,2.0,2.0,
285,01041100201155,2.0,2.0,
286,01041100201170,2.0,2.0,
287,01041100201170,2.0,2.0,
288,01050100110004,1.0,1.0,1.0
289,01050100110004,1.0,1.0,1.0
290,01050100110006,1.0,2.0,
291,01050100110006,1.0,2.0,
292,01050100110009,2.0,2.0,
293,01050100110009,2.0,2.0,
294,01050100110013,1.0,2.0,
295,01050100110013,1.0,2.0,
296,01050100110022,2.0,2.0,
297,01050100110022,2.0,2.0,
298,01050100110031,2.0,2.0,
299,01050100110031,2.0,2.0,
300,01050100110040,1.0,2.0,
301,01050100110040,1.0,2.0,
302,01050100110058,1.0,2.0,
303,01050100110058,1.0,2.0,
304,01050100110067,1.0,2.0,
305,01050100110067,1.0,2.0,
306,01050100110085,1.0,1.0,1.0
307,01050100110085,1.0,1.0,1.0
308,01050100110094,1.0,2.0,
309,01050100110094,1.0,2.0,
310,01050100110103,1.0,2.0,
311,01050100110103,1.0,2.0,
312,01050101108006,2.0,2.0,
313,01050101108006,2.0,2.0,
314,01050101108019,1.0,2.0,
315,01050101108019,1.0,2.0,
316,01050101108032,2.0,2.0,
317,01050101108032,2.0,2.0,
318,01050101108045,2.0,2.0,
319,01050101108045,2.0,2.0,
320,01050101108058,2.0,2.0,
321,01050101108058,2.0,2.0,
322,01050101108071,2.0,2.0,
323,01050101108071,2.0,2.0,
324,01050101108084,2.0,2.0,
325,01050101108084,2.0,2.0,
326,01050101108097,1.0,2.0,
327,01050101108097,1.0,2.0,
328,01050101108110,2.0,2.0,
329,01050101108110,2.0,2.0,
330,01050101108123,2.0,2.0,
331,01050101108123,2.0,2.0,
332,01050101108136,2.0,2.0,
333,01050101108136,2.0,2.0,
334,01050101108149,2.0,2.0,
335,01050101108149,2.0,2.0,
336,01060100317002,2.0,2.0,
337,01060100317002,2.0,2.0,
338,01060100317012,2.0,2.0,
339,01060100317012,2.0,2.0,
340,01060100317022,2.0,2.0,
341,01060100317022,2.0,2.0,
342,01060100317032,2.0,2.0,
343,01060100317032,2.0,2.0,
344,01060100317042,2.0,2.0,
345,01060100317042,2.0,2.0,
346,01060100317052,2.0,2.0,
347,01060100317052,2.0,2.0,
348,01060100317062,2.0,2.0,
349,01060100317062,2.0,2.0,
350,01060100317072,2.0,2.0,
351,01060100317072,2.0,2.0,
352,01060100317082,2.0,2.0,
353,01060100317082,2.0,2.0,
354,01060100317092,2.0,2.0,
355,01060100317092,2.0,2.0,
356,01060100317102,2.0,2.0,
357,01060100317102,2.0,2.0,
358,01060100317112,2.0,2.0,
359,01060100317112,2.0,2.0,
360,01060200127002,2.0,2.0,
361,01060200127002,2.0,2.0,
362,01060200127003,2.0,2.0,
363,01060200127003,2.0,2.0,
364,01060200127031,2.0,2.0,
365,01060200127031,2.0,2.0,
366,01060200127045,2.0,2.0,
367,01060200127045,2.0,2.0,
368,01060200127058,2.0,2.0,
369,01060200127058,2.0,2.0,
370,01060200127072,2.0,2.0,
371,01060200127072,2.0,2.0,
372,01060200127086,2.0,2.0,
373,01060200127086,2.0,2.0,
374,01060200127100,2.0,2.0,
375,01060200127100,2.0,2.0,
376,01060200127113,2.0,2.0,
377,01060200127113,2.0,2.0,
378,01060200127128,2.0,2.0,
379,01060200127128,2.0,2.0,
380,01060200127142,2.0,2.0,
381,01060200127142,2.0,2.0,
382,01060200127156,2.0,2.0,
383,01060200127156,2.0,2.0,
384,01060200506004,2.0,2.0,
385,01060200506004,2.0,2.0,
386,01060200506015,2.0,2.0,
387,01060200506015,2.0,2.0,
388,01060200506026,2.0,2.0,
389,01060200506026,2.0,2.0,
390,01060200506037,2.0,2.0,
391,01060200506037,2.0,2.0,
392,01060200506048,2.0,2.0,
393,01060200506048,2.0,2.0,
394,01060200506059,2.0,2.0,
395,01060200506059,2.0,2.0,
396,01060200506070,2.0,2.0,
397,01060200506070,2.0,2.0,
398,01060200506081,2.0,2.0,
399,01060200506081,2.0,2.0,
400,01060200506092,2.0,2.0,
401,01060200506092,2.0,2.0,
402,01060200506103,2.0,2.0,
403,01060200506103,2.0,2.0,
404,01060200506114,2.0,2.0,
405,01060200506114,2.0,2.0,
406,01060200506125,2.0,2.0,
407,01060200506125,2.0,2.0,
408,02070101804001,1.0,2.0,
409,02070101804001,2.0,2.0,
410,02070101804011,1.0,2.0,
411,02070101804011,2.0,2.0,
412,02070101804021,1.0,2.0,
413,02070101804021,2.0,2.0,
414,02070101804031,1.0,2.0,
415,02070101804031,2.0,2.0,
416,02070101804041,1.0,2.0,
417,02070101804041,2.0,2.0,
418,02070101804051,1.0,1.0,1.0
419,02070101804051,2.0,2.0,
420,02070101804061,1.0,2.0,
421,02070101804061,1.0,2.0,
422,02070101804071,1.0,2.0,
423,02070101804071,1.0,2.0,
424,02070101804081,1.0,2.0,
425,02070101804081,1.0,2.0,
426,02070101804091,1.0,2.0,
427,02070101804091,2.0,2.0,
428,02070101804101,1.0,2.0,
429,02070101804101,2.0,2.0,
430,02070101804111,1.0,2.0,
431,02070101804111,2.0,2.0,
432,02070101901002,1.0,2.0,
433,02070101901002,2.0,2.0,
434,02070101901014,1.0,2.0,
435,02070101901014,2.0,2.0,
436,02070101901026,1.0,2.0,
437,02070101901026,2.0,2.0,
438,02070101901038,1.0,2.0,
439,02070101901038,2.0,2.0,
440,02070101901050,1.0,1.0,1.0
441,02070101901050,2.0,2.0,
442,02070101901062,1.0,2.0,
443,02070101901062,2.0,2.0,
444,02070101901074,1.0,2.0,
445,02070101901074,2.0,2.0,
446,02070101901086,1.0,2.0,
447,02070101901086,2.0,2.0,
448,02070101901098,1.0,2.0,
449,02070101901098,1.0,2.0,
450,02070101901110,1.0,2.0,
451,02070101901110,2.0,2.0,
452,02070101901122,2.0,2.0,
453,02070101901122,2.0,2.0,
454,02070101901134,1.0,2.0,
455,02070101901134,2.0,2.0,
456,02070200101003,1.0,2.0,
457,02070200101003,2.0,2.0,
458,02070200101011,1.0,2.0,
459,02070200101011,2.0,2.0,
460,02070200101019,1.0,2.0,
461,02070200101019,2.0,2.0,
462,02070200101027,1.0,2.0,
463,02070200101027,2.0,2.0,
464,02070200101035,1.0,2.0,
465,02070200101035,2.0,2.0,
466,02070200101043,1.0,2.0,
467,02070200101043,2.0,2.0,
468,02070200101051,1.0,2.0,
469,02070200101051,2.0,2.0,
470,02070200101059,1.0,2.0,
471,02070200101059,2.0,2.0,
472,02070200101067,1.0,2.0,
473,02070200101067,2.0,2.0,
474,02070200101075,1.0,2.0,
475,02070200101075,2.0,2.0,
476,02070200101083,1.0,2.0,
477,02070200101083,2.0,2.0,
478,02070200101091,1.0,2.0,
479,02070200101091,2.0,2.0,
480,02070300104005,2.0,2.0,
481,02070300104005,2.0,2.0,
482,02070300104016,2.0,2.0,
483,02070300104016,2.0,2.0,
484,02070300104027,2.0,2.0,
485,02070300104027,2.0,2.0,
486,02070300104038,2.0,2.0,
487,02070300104038,2.0,2.0,
488,02070300104049,1.0,2.0,
489,02070300104049,2.0,2.0,
490,02070300104060,2.0,2.0,
491,02070300104060,2.0,2.0,
492,02070300104071,2.0,2.0,
493,02070300104071,2.0,2.0,
494,02070300104082,1.0,2.0,
495,02070300104082,2.0,2.0,
496,02070300104093,1.0,2.0,
497,02070300104093,2.0,2.0,
