,HHID,P4
0,01010200116005,2
1,01010200116005,3
2,01010200116014,4
3,01010400804007,4
4,01030300103004,4
5,01030300103043,4
6,01030300103056,4
7,01030300103069,4
8,01030800402015,4
9,01030800402028,4
10,01030800402041,4
11,01030800402054,4
12,01030800402067,4
13,01030800402080,4
14,01030800402106,4
15,01030800402119,4
16,01030800402145,4
17,01041100201005,4
18,01041100201170,4
19,01060100317012,4
20,01060100317012,5
21,01060100317022,4
22,01060100317032,4
23,01060100317062,4
24,01060100317072,4
25,01060100317102,4
26,01060100317112,4
27,01060200506004,4
28,01060200506015,4
29,01060200506026,4
30,01060200506037,4
31,01060200506059,4
32,01060200506070,4
33,01060200506092,4
34,01060200506103,4
35,01060200506125,4
36,02070300205006,5
37,03110800110001,4
38,03110800110001,5
39,03110800110002,4
40,03110800110002,5
41,03110800110003,4
42,03110800110003,5
43,03110800110008,4
44,03110800110008,5
45,03110800110030,4
46,03110800110030,5
47,03110800110052,4
48,03110800110052,5
49,03110800110074,4
50,03110800110074,5
51,03110800110096,4
52,03110800110096,5
53,03110800110118,4
54,03110800110118,5
55,03110800110140,4
56,03110800110140,5
57,03110800110162,4
58,03110800110162,5
59,03110800110184,4
60,03110800110184,5
61,03111700101013,4
62,03111700101013,5
63,03111700101037,4
64,03111700101037,5
65,03111700101061,4
66,03111700101061,5
67,03111700101085,4
68,03111700101085,5
69,03111700101109,4
70,03111700101109,5
71,03111700101133,4
72,03111700101133,5
73,03111700101157,4
74,03111700101157,5
75,03111700101181,2
76,03111700101181,3
77,03111700101181,4
78,03111700101181,5
79,03111700101205,4
80,03111700101205,5
81,03111800604007,4
82,03111800604007,5
83,03111800604045,4
84,03111800604045,5
85,03111800604064,4
86,03111800604064,5
87,03111800604083,4
88,03111800604083,5
89,03111800604102,4
90,03111800604102,5
91,03111800604121,4
92,03111800604121,5
93,03111800604140,4
94,03111800604140,5
95,03111800604159,4
96,03111800604159,5
97,03111800604178,4
98,03111800604178,5
99,03111800604197,4
100,03111800604197,5
101,03111800604216,4
102,03111800604216,5
103,03111801205008,4
104,03111801205008,5
105,03111801205017,4
106,03111801205017,5
107,03111801205026,4
108,03111801205026,5
109,03111801205035,4
110,03111801205035,5
111,03111801205044,4
112,03111801205044,5
113,03111801205053,4
114,03111801205053,5
115,03111801205062,4
116,03111801205062,5
117,03111801205071,4
118,03111801205071,5
119,03111801205080,4
120,03111801205080,5
121,03111801205089,4
122,03111801205089,5
123,03111801205098,4
124,03111801205098,5
125,03111801205107,4
126,03111801205107,5
127,03111802013001,4
128,03111802013001,5
129,03111802013004,4
130,03111802013004,5
131,03111802013018,4
132,03111802013018,5
133,03111802013032,4
134,03111802013032,5
135,03111802013046,4
136,03111802013046,5
137,03111802013060,4
138,03111802013060,5
139,03111802013074,4
140,03111802013074,5
141,03111802013088,4
142,03111802013088,5
143,03111802013102,4
144,03111802013102,5
145,03111802013116,4
146,03111802013116,5
147,03111802013130,4
148,03111802013130,5
149,03111802013144,4
150,03111802013144,5
151,03120200303028,4
152,03120200303049,4
153,03120200303091,4
154,03120200303112,4
155,03120200303112,5
