,HHID,Q,Q_a,Q_b,Q_c,Q_d
0,01010200116005,1,0,0,0,0
1,01010200116005,2,0,0,0,0
2,01010200116005,3,90,0,0,0
3,01010200116005,4,20,0,0,0
4,01010200116005,5,0,0,0,0
5,01010200116005,6,0,0,0,0
6,01010200116005,7,0,0,0,0
7,01010200116005,8,600,0,0,0
8,01010200116005,9,0,0,0,0
9,01010200116005,10,0,0,540,0
10,01010200116014,1,0,0,0,0
11,01010200116014,2,0,0,0,0
12,01010200116014,3,85,0,0,0
13,01010200116014,4,20,0,0,0
14,01010200116014,5,0,0,0,0
15,01010200116014,6,0,0,0,0
16,01010200116014,7,0,0,0,0
17,01010200116014,8,540,0,0,0
18,01010200116014,9,0,0,0,0
19,01010200116014,10,0,0,540,0
20,01010200116023,1,0,0,0,0
21,01010200116023,2,0,0,0,0
22,01010200116023,3,90,0,0,0
23,01010200116023,4,20,0,0,0
24,01010200116023,5,0,0,0,0
25,01010200116023,6,0,0,0,0
26,01010200116023,7,0,0,0,0
27,01010200116023,8,540,0,0,0
28,01010200116023,9,0,0,0,0
29,01010200116023,10,0,0,480,0
30,01010200116032,1,0,0,0,0
31,01010200116032,2,0,0,0,0
32,01010200116032,3,70,0,0,0
33,01010200116032,4,20,0,0,0
34,01010200116032,5,0,0,0,0
35,01010200116032,6,0,0,0,0
36,01010200116032,7,0,0,0,0
37,01010200116032,8,0,0,0,0
38,01010200116032,9,0,0,0,0
39,01010200116032,10,0,0,540,0
40,01010200116041,1,0,0,0,0
41,01010200116041,2,0,0,0,0
42,01010200116041,3,90,0,0,0
43,01010200116041,4,20,0,0,0
44,01010200116041,5,0,0,0,0
45,01010200116041,6,0,0,0,0
46,01010200116041,7,0,0,0,0
47,01010200116041,8,0,0,0,0
48,01010200116041,9,0,0,0,0
49,01010200116041,10,0,0,0,0
50,01010200116050,1,0,0,0,0
51,01010200116050,2,0,0,0,0
52,01010200116050,3,0,0,0,0
53,01010200116050,4,0,0,0,0
54,01010200116050,5,0,0,0,0
55,01010200116050,6,0,0,0,0
56,01010200116050,7,0,0,0,0
57,01010200116050,8,0,0,0,0
58,01010200116050,9,0,0,0,0
59,01010200116050,10,480,0,0,0
60,01010200116059,1,0,0,0,0
61,01010200116059,2,0,0,0,0
62,01010200116059,3,55,0,0,0
63,01010200116059,4,10,0,0,0
64,01010200116059,5,0,0,0,0
65,01010200116059,6,0,0,0,0
66,01010200116059,7,0,0,0,0
67,01010200116059,8,0,0,0,0
68,01010200116059,9,0,0,0,0
69,01010200116059,10,0,0,0,0
70,01010200116068,1,0,0,0,0
71,01010200116068,2,0,0,0,0
72,01010200116068,3,60,0,0,0
73,01010200116068,4,20,0,0,0
74,01010200116068,5,0,0,0,0
75,01010200116068,6,0,0,0,0
76,01010200116068,7,0,0,0,0
77,01010200116068,8,360,0,0,0
78,01010200116068,9,0,0,0,0
79,01010200116068,10,480,0,0,0
80,01010200116077,1,0,0,0,0
81,01010200116077,2,0,0,0,0
82,01010200116077,3,70,0,0,0
83,01010200116077,4,15,0,0,0
84,01010200116077,5,0,0,0,0
85,01010200116077,6,0,0,0,0
86,01010200116077,7,0,0,0,0
87,01010200116077,8,0,0,0,0
88,01010200116077,9,0,0,0,0
89,01010200116077,10,0,0,0,0
90,01010200116086,1,0,0,0,0
91,01010200116086,2,0,0,0,0
92,01010200116086,3,70,0,0,0
93,01010200116086,4,15,0,0,0
94,01010200116086,5,0,0,0,0
95,01010200116086,6,0,0,0,0
96,01010200116086,7,0,0,0,0
97,01010200116086,8,0,0,0,0
98,01010200116086,9,0,0,0,0
99,01010200116086,10,0,0,0,0
100,01010200116095,1,0,0,0,0
101,01010200116095,2,0,0,0,0
102,01010200116095,3,40,40,0,0
103,01010200116095,4,10,10,0,0
104,01010200116095,5,0,0,0,0
105,01010200116095,6,0,8,0,0
106,01010200116095,7,0,0,0,0
107,01010200116095,8,0,0,0,0
108,01010200116095,9,0,8,0,0
109,01010200116095,10,0,0,0,0
110,01010200116104,1,0,0,0,0
111,01010200116104,2,0,0,0,0
112,01010200116104,3,90,0,0,0
113,01010200116104,4,15,0,0,0
114,01010200116104,5,0,0,0,0
115,01010200116104,6,0,0,0,0
116,01010200116104,7,0,0,0,0
117,01010200116104,8,600,0,0,0
118,01010200116104,9,0,0,0,0
119,01010200116104,10,0,0,540,0
120,01010301101004,1,480,480,448,-888
121,01010301101004,2,-888,-888,60,-888
122,01010301101004,3,60,60,-888,-888
123,01010301101004,4,20,20,-888,-888
124,01010301101004,5,30,-888,-888,-888
125,01010301101004,6,30,-888,-888,-888
126,01010301101004,7,-888,-888,-888,-888
127,01010301101004,8,-888,-888,-888,-888
128,01010301101004,9,-888,-888,-888,-888
129,01010301101004,10,-888,-888,-888,-888
130,01010301101005,1,180,180,-888,-888
131,01010301101005,2,-888,-888,-888,-888
132,01010301101005,3,120,120,-888,-888
133,01010301101005,4,20,20,-888,-888
134,01010301101005,5,-888,-888,-888,-888
135,01010301101005,6,120,120,-888,-888
136,01010301101005,7,-888,-888,-888,-888
137,01010301101005,8,60,120,-888,-888
138,01010301101005,9,-888,60,60,-888
139,01010301101005,10,-888,-888,-888,-888
140,01010301101010,1,240,-888,-888,240
141,01010301101010,2,-888,-888,-888,-888
142,01010301101010,3,30,-888,-888,-888
143,01010301101010,4,10,-888,-888,-888
144,01010301101010,5,-888,-888,-888,-888
145,01010301101010,6,30,-888,-888,-888
146,01010301101010,7,-888,-888,-888,-888
147,01010301101010,8,-888,-888,-888,-888
148,01010301101010,9,-888,-888,-888,60
149,01010301101010,10,-888,-888,-888,-888
150,01010301101012,1,300,-888,300,-888
151,01010301101012,2,30,-888,30,-888
152,01010301101012,3,30,-888,-888,-888
153,01010301101012,4,10,-888,-888,-888
154,01010301101012,5,-888,-888,-888,-888
155,01010301101012,6,30,-888,-888,-888
156,01010301101012,7,-888,-888,-888,-888
157,01010301101012,8,90,-888,-888,-888
158,01010301101012,9,-888,-888,30,-888
159,01010301101012,10,-888,-888,-888,-888
160,01010301101016,1,480,-888,-888,-888
161,01010301101016,2,-888,-888,30,-888
162,01010301101016,3,30,-888,-888,-888
163,01010301101016,4,20,-888,-888,-888
164,01010301101016,5,30,-888,-888,-888
165,01010301101016,6,30,-888,-888,-888
166,01010301101016,7,-888,-888,-888,-888
167,01010301101016,8,-888,-888,-888,-888
168,01010301101016,9,-888,-888,60,-888
169,01010301101016,10,-888,-888,-888,-888
170,01010301101020,1,480,-888,480,-888
171,01010301101020,2,30,-888,30,-888
172,01010301101020,3,60,-888,-888,-888
173,01010301101020,4,20,-888,-888,-888
174,01010301101020,5,-888,-888,-888,-888
175,01010301101020,6,60,-888,-888,-888
176,01010301101020,7,-888,-888,-888,-888
177,01010301101020,8,180,-888,-888,-888
178,01010301101020,9,60,-888,-888,30
179,01010301101020,10,-888,-888,-888,-888
180,01010301101022,1,480,-888,-888,-888
181,01010301101022,2,-888,-888,-888,-888
182,01010301101022,3,60,-888,-888,-888
183,01010301101022,4,20,-888,-888,-888
184,01010301101022,5,-888,-888,-888,-888
185,01010301101022,6,180,-888,-888,-888
186,01010301101022,7,-888,-888,-888,-888
187,01010301101022,8,60,-888,-888,-888
188,01010301101022,9,-888,-888,60,-888
189,01010301101022,10,-888,-888,-888,-888
190,01010301101028,1,480,-888,-888,-888
191,01010301101028,2,120,-888,-888,-888
192,01010301101028,3,120,-888,-888,-888
193,01010301101028,4,30,-888,-888,-888
194,01010301101028,5,-888,-888,-888,-888
195,01010301101028,6,120,-888,-888,-888
196,01010301101028,7,-888,-888,-888,-888
197,01010301101028,8,-888,-888,-888,-888
198,01010301101028,9,-888,-888,180,-888
199,01010301101028,10,-888,-888,-888,-888
200,01010301101034,1,480,-888,480,-888
201,01010301101034,2,-888,-888,-888,-888
202,01010301101034,3,60,-888,-888,-888
203,01010301101034,4,20,-888,-888,-888
204,01010301101034,5,60,-888,-888,-888
205,01010301101034,6,30,-888,-888,-888
206,01010301101034,7,-888,-888,-888,-888
207,01010301101034,8,120,-888,-888,-888
208,01010301101034,9,-888,-888,-888,-888
209,01010301101034,10,-888,-888,-888,-888
210,01010301101040,1,180,-888,180,-888
211,01010301101040,2,30,-888,30,-888
212,01010301101040,3,60,-888,-888,-888
213,01010301101040,4,30,-888,-888,-888
214,01010301101040,5,-888,-888,-888,-888
215,01010301101040,6,120,-888,-888,-888
216,01010301101040,7,-888,-888,-888,-888
217,01010301101040,8,130,-888,-888,-888
218,01010301101040,9,-888,-888,-888,-888
219,01010301101040,10,-888,-888,-888,-888
220,01010301101046,1,180,-888,180,-888
221,01010301101046,2,30,-888,30,-888
222,01010301101046,3,60,-888,-888,-888
223,01010301101046,4,20,-888,-888,-888
224,01010301101046,5,-888,-888,-888,-888
225,01010301101046,6,30,-888,-888,-888
226,01010301101046,7,-888,-888,-888,-888
227,01010301101046,8,180,-888,-888,-888
228,01010301101046,9,-888,-888,-888,-888
229,01010301101046,10,-888,-888,-888,-888
230,01010301101052,1,480,-888,480,-888
231,01010301101052,2,-888,-888,60,-888
232,01010301101052,3,60,-888,-888,-888
233,01010301101052,4,20,-888,-888,-888
234,01010301101052,5,-888,-888,-888,-888
235,01010301101052,6,120,-888,-888,-888
236,01010301101052,7,-888,-888,-888,-888
237,01010301101052,8,180,-888,-888,-888
238,01010301101052,9,-888,-888,-888,-888
239,01010301101052,10,-888,-888,-888,-888
240,01010400404008,1,180,-888,180,-888
241,01010400404008,2,120,-888,30,-888
242,01010400404008,3,60,-888,-888,-888
243,01010400404008,4,20,-888,-888,-888
244,01010400404008,5,120,-888,-888,-888
245,01010400404008,6,30,-888,-888,-888
246,01010400404008,7,-888,-888,-888,-888
247,01010400404008,8,-888,-888,-888,-888
248,01010400404008,9,-888,-888,60,-888
249,01010400404008,10,-888,-888,-888,-888
250,01010400404027,1,180,-888,180,-888
251,01010400404027,2,-888,-888,120,-888
252,01010400404027,3,60,-888,-888,-888
253,01010400404027,4,20,-888,-888,-888
254,01010400404027,5,60,-888,-888,-888
255,01010400404027,6,30,-888,-888,-888
256,01010400404027,7,-888,-888,-888,-888
257,01010400404027,8,120,-888,-888,-888
258,01010400404027,9,-888,-888,-888,-888
259,01010400404027,10,-888,-888,-888,-888
260,01010400404046,1,180,-888,180,-888
261,01010400404046,2,90,-888,90,-888
262,01010400404046,3,60,-888,-888,-888
263,01010400404046,4,10,-888,-888,-888
264,01010400404046,5,60,-888,-888,-888
265,01010400404046,6,30,-888,-888,-888
266,01010400404046,7,-888,-888,-888,-888
267,01010400404046,8,720,-888,-888,-888
268,01010400404046,9,-888,-888,-888,-888
269,01010400404046,10,-888,-888,-888,-888
270,01010400404060,1,180,-888,180,-888
271,01010400404060,2,120,-888,120,-888
272,01010400404060,3,60,-888,-888,-888
273,01010400404060,4,10,-888,-888,-888
274,01010400404060,5,60,-888,-888,-888
275,01010400404060,6,20,-888,-888,-888
276,01010400404060,7,-888,-888,-888,-888
277,01010400404060,8,480,-888,-888,-888
278,01010400404060,9,-888,-888,60,-888
279,01010400404060,10,-888,-888,-888,-888
280,01010400404084,1,-888,-888,30,-888
281,01010400404084,2,-888,-888,-888,-888
282,01010400404084,3,-888,-888,120,-888
283,01010400404084,4,-888,-888,-888,-888
284,01010400404084,5,-888,-888,-888,-888
285,01010400404084,6,-888,-888,-888,-888
286,01010400404084,7,-888,-888,-888,-888
287,01010400404084,8,-888,-888,-888,-888
288,01010400404084,9,-888,-888,-888,-888
289,01010400404084,10,-888,-888,-888,-888
290,01010400404103,1,60,-888,60,-888
291,01010400404103,2,30,-888,30,-888
292,01010400404103,3,30,-888,-888,-888
293,01010400404103,4,10,-888,-888,-888
294,01010400404103,5,120,-888,-888,-888
295,01010400404103,6,20,-888,-888,-888
296,01010400404103,7,-888,-888,-888,-888
297,01010400404103,8,120,-888,-888,-888
298,01010400404103,9,-888,-888,-888,-888
299,01010400404103,10,-888,-888,480,-888
300,01010400404122,1,240,-888,240,-888
301,01010400404122,2,60,-888,60,-888
302,01010400404122,3,60,-888,-888,-888
303,01010400404122,4,10,-888,-888,-888
304,01010400404122,5,120,-888,-888,-888
305,01010400404122,6,5,-888,-888,-888
306,01010400404122,7,-888,-888,-888,-888
307,01010400404122,8,240,-888,-888,-888
308,01010400404122,9,-888,-888,-888,-888
309,01010400404122,10,-888,-888,-888,-888
310,01010400404141,1,120,-888,-888,-888
311,01010400404141,2,-888,-888,-888,-888
312,01010400404141,3,60,-888,-888,-888
313,01010400404141,4,20,-888,-888,-888
314,01010400404141,5,60,-888,-888,-888
315,01010400404141,6,20,-888,-888,-888
316,01010400404141,7,-888,-888,-888,-888
317,01010400404141,8,-888,-888,-888,-888
318,01010400404141,9,-888,-888,-888,-888
319,01010400404141,10,-888,-888,-888,-888
320,01010400404160,1,120,0,120,-888
321,01010400404160,2,30,-888,30,-888
322,01010400404160,3,60,-888,-888,-888
323,01010400404160,4,20,-888,-888,-888
324,01010400404160,5,60,-888,-888,-888
325,01010400404160,6,10,-888,-888,-888
326,01010400404160,7,-888,-888,-888,-888
327,01010400404160,8,120,-888,-888,-888
328,01010400404160,9,-888,30,-888,30
329,01010400404160,10,-888,-888,-888,-888
330,01010400404178,1,240,-888,240,-888
331,01010400404178,2,120,-888,120,-888
332,01010400404178,3,30,-888,-888,-888
333,01010400404178,4,10,-888,-888,-888
334,01010400404178,5,180,-888,-888,-888
335,01010400404178,6,20,-888,-888,-888
336,01010400404178,7,-888,-888,-888,-888
337,01010400404178,8,240,-888,240,-888
338,01010400404178,9,-888,-888,-888,-888
339,01010400404178,10,-888,-888,-888,-888
340,01010400404197,1,180,-888,-888,-888
341,01010400404197,2,180,-888,180,-888
342,01010400404197,3,-888,60,-888,-888
343,01010400404197,4,20,-888,-888,-888
344,01010400404197,5,120,-888,-888,-888
345,01010400404197,6,20,-888,-888,-888
346,01010400404197,7,-888,-888,-888,-888
347,01010400404197,8,240,60,-888,-888
348,01010400404197,9,-888,-888,-888,-888
349,01010400404197,10,-888,-888,-888,-888
350,01010400404216,1,120,-888,120,-888
351,01010400404216,2,120,-888,120,-888
352,01010400404216,3,60,-888,-888,-888
353,01010400404216,4,5,-888,-888,-888
354,01010400404216,5,120,-888,-888,-888
355,01010400404216,6,30,-888,-888,-888
356,01010400404216,7,-888,-888,-888,-888
357,01010400404216,8,-888,-888,-888,-888
358,01010400404216,9,-888,-888,-888,-888
359,01010400404216,10,-888,-888,-888,-888
360,01010400804007,1,240,-888,240,-888
361,01010400804007,2,-888,-888,20,-888
362,01010400804007,3,60,-888,-888,-888
363,01010400804007,4,20,-888,-888,-888
364,01010400804007,5,-888,-888,-888,-888
365,01010400804007,6,-888,-888,-888,-888
366,01010400804007,7,-888,-888,-888,-888
367,01010400804007,8,-888,-888,-888,-888
368,01010400804007,9,60,-888,120,-888
369,01010400804007,10,-888,-888,480,-888
370,01010400804027,1,2,-888,-888,-888
371,01010400804027,2,30,-888,-888,-888
372,01010400804027,3,60,-888,-888,-888
373,01010400804027,4,20,-888,-888,-888
374,01010400804027,5,-888,-888,-888,-888
375,01010400804027,6,-888,-888,-888,-888
376,01010400804027,7,-888,-888,-888,-888
377,01010400804027,8,-888,-888,-888,-888
378,01010400804027,9,-888,-888,-888,-888
379,01010400804027,10,-888,-888,-888,-888
380,01010400804047,1,30,-888,-888,-888
381,01010400804047,2,-888,-888,-888,-888
382,01010400804047,3,60,-888,-888,-888
383,01010400804047,4,20,-888,-888,-888
384,01010400804047,5,-888,-888,-888,-888
385,01010400804047,6,-888,-888,-888,-888
386,01010400804047,7,-888,-888,-888,-888
387,01010400804047,8,180,-888,-888,-888
388,01010400804047,9,-888,-888,-888,-888
389,01010400804047,10,-888,-888,480,-888
390,01010400804067,1,-888,-888,20,-888
391,01010400804067,2,-888,-888,60,-888
392,01010400804067,3,60,-888,-888,-888
393,01010400804067,4,20,-888,-888,-888
394,01010400804067,5,-888,-888,-888,-888
395,01010400804067,6,-888,-888,-888,-888
396,01010400804067,7,-888,-888,-888,-888
397,01010400804067,8,720,0,0,0
398,01010400804067,9,-888,-888,-888,-888
399,01010400804067,10,-888,-888,720,-888
400,01010400804087,1,120,-888,-888,-888
401,01010400804087,2,-888,-888,30,-888
402,01010400804087,3,60,-888,-888,-888
403,01010400804087,4,30,-888,-888,-888
404,01010400804087,5,-888,-888,-888,-888
405,01010400804087,6,30,-888,-888,-888
406,01010400804087,7,-888,-888,-888,-888
407,01010400804087,8,60,-888,-888,-888
408,01010400804087,9,-888,-888,-888,-888
409,01010400804087,10,-888,-888,480,-888
410,01010400804107,1,60,-888,-888,-888
411,01010400804107,2,60,-888,15,-888
412,01010400804107,3,60,-888,-888,-888
413,01010400804107,4,20,-888,-888,-888
414,01010400804107,5,-888,-888,-888,-888
415,01010400804107,6,-888,-888,-888,-888
416,01010400804107,7,-888,-888,-888,-888
417,01010400804107,8,180,-888,-888,-888
418,01010400804107,9,-888,-888,30,-888
419,01010400804107,10,480,-888,-888,-888
420,01010400804127,1,60,-888,60,-888
421,01010400804127,2,-888,-888,-888,-888
422,01010400804127,3,60,-888,-888,-888
423,01010400804127,4,20,-888,-888,-888
424,01010400804127,5,-888,-888,-888,-888
425,01010400804127,6,30,-888,-888,-888
426,01010400804127,7,-888,-888,-888,-888
427,01010400804127,8,720,-888,-888,-888
428,01010400804127,9,-888,-888,-888,-888
429,01010400804127,10,-888,-888,480,-888
430,01010400804147,1,20,-888,20,-888
431,01010400804147,2,-888,-888,60,-888
432,01010400804147,3,120,-888,-888,-888
433,01010400804147,4,30,-888,-888,-888
434,01010400804147,5,-888,-888,-888,-888
435,01010400804147,6,30,-888,-888,-888
436,01010400804147,7,-888,-888,-888,-888
437,01010400804147,8,720,-888,-888,-888
438,01010400804147,9,-888,-888,-888,-888
439,01010400804147,10,-888,-888,480,-888
440,01010400804167,1,10,-888,-888,-888
441,01010400804167,2,-888,-888,-888,-888
442,01010400804167,3,90,-888,-888,-888
443,01010400804167,4,30,-888,-888,-888
444,01010400804167,5,-888,-888,-888,-888
445,01010400804167,6,-888,-888,-888,-888
446,01010400804167,7,-888,-888,-888,-888
447,01010400804167,8,720,-888,-888,-888
448,01010400804167,9,60,-888,120,-888
449,01010400804167,10,-888,-888,480,-888
450,01010400804187,1,-888,-888,5,-888
451,01010400804187,2,-888,-888,60,-888
452,01010400804187,3,60,-888,-888,-888
453,01010400804187,4,30,-888,-888,-888
454,01010400804187,5,-888,-888,-888,-888
455,01010400804187,6,-888,-888,-888,-888
456,01010400804187,7,-888,-888,-888,-888
457,01010400804187,8,480,-888,-888,-888
458,01010400804187,9,60,-888,60,-888
459,01010400804187,10,-888,-888,720,-888
460,01010400804207,1,10,-888,-888,-888
461,01010400804207,2,30,-888,-888,-888
462,01010400804207,3,60,-888,-888,-888
463,01010400804207,4,30,-888,-888,-888
464,01010400804207,5,60,-888,-888,-888
465,01010400804207,6,20,-888,-888,-888
466,01010400804207,7,-888,-888,-888,-888
467,01010400804207,8,480,-888,-888,-888
468,01010400804207,9,-888,-888,-888,-888
469,01010400804207,10,720,-888,-888,-888
470,01010400804227,1,10,-888,-888,-888
471,01010400804227,2,30,-888,-888,-888
472,01010400804227,3,60,-888,-888,-888
473,01010400804227,4,20,-888,-888,-888
474,01010400804227,5,30,-888,-888,-888
475,01010400804227,6,-888,-888,-888,-888
476,01010400804227,7,-888,-888,-888,-888
477,01010400804227,8,480,-888,-888,-888
478,01010400804227,9,-888,-888,-888,-888
