,HHID,R_a,R_b,R_c,R_d,R_e,R4
0,01010301101004,0.0,,,,,1
1,01010301101004,1.0,,,,,2
2,01010301101004,0.0,,,,,3
3,01010301101004,0.0,,,,,4
4,01010301101012,0.0,0.0,,,0.0,1
5,01010301101012,2.0,1.0,,,1.0,2
6,01010301101012,0.0,0.0,,,0.0,3
7,01010301101012,0.0,0.0,,,0.0,4
8,01010301101022,0.0,,,,,1
9,01010301101022,1.0,,,,,2
10,01010301101022,0.0,,,,,3
11,01010301101022,0.0,,,,,4
12,01010301101028,0.0,,,,,1
13,01010301101028,2.0,,,,,2
14,01010301101028,0.0,,,,,3
15,01010301101028,0.0,,,,,4
16,01010301101034,0.0,,,,,1
17,01010301101034,1.0,,,,,2
18,01010301101034,0.0,,,,,3
19,01010301101034,0.0,,,,,4
20,01010301101046,,,,,1.0,1
21,01010301101046,,,,,1.0,2
22,01010301101046,,,,,1.0,3
23,01010301101046,,,,,0.0,4
24,01010400404008,1.0,,1.0,,,1
25,01010400404008,0.0,,0.0,,,2
26,01010400404008,0.0,,0.0,,,3
27,01010400404008,0.0,,0.0,,,4
28,01010400404027,1.0,,,,,1
29,01010400404027,0.0,,,,,2
30,01010400404027,0.0,,,,,3
31,01010400404027,0.0,,,,,4
32,01010400404103,,,,0.0,,1
33,01010400404103,,,,2.0,,2
34,01010400404103,,,,0.0,,3
35,01010400404103,,,,0.0,,4
36,01010400404122,1.0,,,,,1
37,01010400404122,0.0,,,,,2
38,01010400404122,0.0,,,,,3
39,01010400404122,0.0,,,,,4
40,01010400804007,0.0,,0.0,,,1
41,01010400804007,1.0,,1.0,,,2
42,01010400804007,0.0,,0.0,,,3
43,01010400804007,0.0,,0.0,,,4
44,01010400804047,1.0,,,,,1
45,01010400804047,1.0,,,,,2
46,01010400804047,1.0,,,,,3
47,01010400804047,0.0,,,,,4
48,01010400804087,1.0,,,,,1
49,01010400804087,0.0,,,,,2
50,01010400804087,0.0,,,,,3
51,01010400804087,0.0,,,,,4
52,01010400804147,0.0,,,,0.0,1
53,01010400804147,1.0,,,,2.0,2
54,01010400804147,0.0,,,,0.0,3
55,01010400804147,0.0,,,,0.0,4
56,01010400804187,1.0,,,,,1
57,01010400804187,0.0,,,,,2
58,01010400804187,0.0,,,,,3
59,01010400804187,0.0,,,,,4
60,01020600113067,1.0,,,,,1
61,01020600113067,0.0,,,,,2
62,01020600113067,0.0,,,,,3
63,01020600113067,0.0,,,,,4
64,01020801604170,,,,,1.0,1
65,01020801604170,,,,,1.0,2
66,01020801604170,,,,,1.0,3
67,01020801604170,,,,,0.0,4
68,01020901705114,0.0,,,,,1
69,01020901705114,1.0,,,,,2
70,01020901705114,0.0,,,,,3
71,01020901705114,0.0,,,,,4
72,01030800402015,,,,,0.0,1
73,01030800402015,,,,,1.0,2
74,01030800402015,,,,,0.0,3
75,01030800402015,,,,,0.0,4
76,01050101108084,,,,,0.0,1
77,01050101108084,,,,,1.0,2
78,01050101108084,,,,,0.0,3
79,01050101108084,,,,,0.0,4
80,01060100317092,1.0,,,,,1
81,01060100317092,0.0,,,,,2
82,01060100317092,0.0,,,,,3
83,01060100317092,0.0,,,,,4
84,01060100317112,1.0,,,,,1
85,01060100317112,1.0,,,,,2
86,01060100317112,0.0,,,,,3
87,01060100317112,0.0,,,,,4
88,01060200127003,0.0,,,,,1
89,01060200127003,0.0,,,,,2
90,01060200127003,0.0,,,,,3
91,01060200127003,0.0,,,,,4
92,01060200127086,0.0,,,,,1
93,01060200127086,1.0,,,,,2
94,01060200127086,0.0,,,,,3
95,01060200127086,0.0,,,,,4
96,01060200127142,,,,,0.0,1
97,01060200127142,,,,,1.0,2
98,01060200127142,,,,,0.0,3
99,01060200127142,,,,,0.0,4
100,01060200127156,,0.0,,,,1
101,01060200127156,,0.0,,,,2
102,01060200127156,,0.0,,,,3
103,01060200127156,,0.0,,,,4
104,01060200506004,0.0,,,,,1
105,01060200506004,1.0,,,,,2
106,01060200506004,0.0,,,,,3
107,01060200506004,0.0,,,,,4
108,01060200506026,1.0,,,,0.0,1
109,01060200506026,0.0,,,,1.0,2
110,01060200506026,0.0,,,,0.0,3
111,01060200506026,0.0,,,,0.0,4
112,01060200506125,,,,,0.0,1
113,01060200506125,,,,,1.0,2
114,01060200506125,,,,,0.0,3
115,01060200506125,,,,,0.0,4
116,02070101804061,,,0.0,,,1
117,02070101804061,,,0.0,,,2
118,02070101804061,,,0.0,,,3
119,02070101804061,,,0.0,,,4
120,02070101804081,0.0,0.0,,,0.0,1
121,02070101804081,0.0,0.0,,,1.0,2
122,02070101804081,0.0,0.0,,,0.0,3
123,02070101804081,0.0,0.0,,,0.0,4
124,02070101901098,-99.0,-99.0,-99.0,-99.0,-99.0,1
125,02070101901098,-99.0,-99.0,-99.0,-99.0,-99.0,2
126,02070101901098,-99.0,-99.0,-99.0,-99.0,-99.0,3
127,02070101901098,-99.0,-99.0,-99.0,-99.0,-99.0,4
128,02070200101019,,,,,0.0,1
129,02070200101019,,,,,0.0,2
130,02070200101019,,,,,0.0,3
131,02070200101019,,,,,0.0,4
132,02070300104049,0.0,,,,0.0,1
133,02070300104049,1.0,,,,0.0,2
134,02070300104049,0.0,,,,0.0,3
