,HHID,S6
0,01010200116005,3
1,01010200116005,8
2,01010200116014,4
3,01010200116014,8
4,01010200116023,4
5,01010200116023,8
6,01010200116032,3
7,01010200116032,4
8,01010200116032,8
9,01010200116041,3
10,01010200116041,4
11,01010200116041,8
12,01010200116050,3
13,01010200116050,4
14,01010200116050,8
15,01010200116059,4
16,01010200116059,8
17,01010200116068,4
18,01010200116068,8
19,01010200116077,4
20,01010200116077,8
21,01010200116086,4
22,01010200116086,8
23,01010200116095,3
24,01010200116095,4
25,01010200116095,8
26,01010200116104,3
27,01010200116104,4
28,01010200116104,8
29,01010301101004,3
30,01010301101004,4
31,01010301101004,6
32,01010301101005,13
33,01010301101010,2
34,01010301101010,3
35,01010301101010,4
36,01010301101010,5
37,01010301101010,6
38,01010301101012,2
39,01010301101012,3
40,01010301101012,4
41,01010301101012,5
42,01010301101016,3
43,01010301101016,4
44,01010301101016,5
45,01010301101016,6
46,01010301101020,2
47,01010301101020,3
48,01010301101020,4
49,01010301101020,5
50,01010301101020,6
51,01010301101020,7
52,01010301101022,3
53,01010301101022,4
54,01010301101022,5
55,01010301101022,6
56,01010301101028,3
57,01010301101028,4
58,01010301101028,5
59,01010301101028,6
60,01010301101034,2
61,01010301101034,3
62,01010301101034,4
63,01010301101034,5
64,01010301101034,6
65,01010301101040,3
66,01010301101040,4
67,01010301101040,5
68,01010301101040,6
69,01010301101046,3
70,01010301101046,4
71,01010301101046,5
72,01010301101046,6
73,01010301101046,7
74,01010301101046,8
75,01010301101046,9
76,01010301101052,3
77,01010301101052,4
78,01010301101052,6
79,01010400404008,3
80,01010400404008,4
81,01010400404008,5
82,01010400404027,4
83,01010400404027,5
84,01010400404027,6
85,01010400404046,2
86,01010400404046,3
87,01010400404046,4
88,01010400404046,5
89,01010400404046,7
90,01010400404046,8
91,01010400404046,9
92,01010400404060,1
93,01010400404060,2
94,01010400404060,3
95,01010400404060,4
96,01010400404060,5
97,01010400404060,6
98,01010400404060,7
99,01010400404060,8
100,01010400404084,13
101,01010400404103,2
102,01010400404103,3
103,01010400404103,4
104,01010400404103,5
105,01010400404103,6
106,01010400404122,3
107,01010400404122,4
108,01010400404122,6
109,01010400404141,3
110,01010400404160,3
111,01010400404178,2
112,01010400404178,3
113,01010400404178,4
114,01010400404178,6
115,01010400404197,3
116,01010400404197,4
117,01010400404197,6
118,01010400404216,3
119,01010400804007,3
120,01010400804007,4
121,01010400804007,6
122,01010400804027,3
123,01010400804027,4
124,01010400804027,6
125,01010400804047,2
126,01010400804047,3
127,01010400804047,4
128,01010400804067,2
129,01010400804067,4
130,01010400804067,6
131,01010400804087,3
132,01010400804087,4
133,01010400804087,6
134,01010400804107,2
135,01010400804107,3
136,01010400804107,4
137,01010400804127,3
138,01010400804127,4
139,01010400804127,6
140,01010400804147,1
141,01010400804147,5
142,01010400804147,6
143,01010400804167,4
144,01010400804167,5
145,01010400804167,6
146,01010400804187,2
147,01010400804187,3
148,01010400804187,4
149,01010400804207,2
150,01010400804207,3
151,01010400804207,4
152,01010400804227,2
153,01010400804227,3
154,01010400804227,4
155,01010400804227,5
156,01010400804227,6
157,01010400804227,7
158,01020600113003,8
159,01020600113011,4
160,01020600113011,8
161,01020600113019,4
162,01020600113019,8
163,01020600113027,3
164,01020600113027,4
165,01020600113027,8
166,01020600113035,8
167,01020600113043,8
168,01020600113051,4
169,01020600113051,8
170,01020600113059,8
171,01020600113067,3
172,01020600113067,4
173,01020600113067,8
174,01020600113075,4
175,01020600113075,8
176,01020600113083,4
177,01020600113083,8
178,01020600113091,8
179,01020801604004,1
180,01020801604004,3
181,01020801604004,4
182,01020801604014,3
183,01020801604014,4
184,01020801604014,6
185,01020801604024,3
186,01020801604024,4
187,01020801604024,8
188,01020801604034,9
189,01020801604044,4
190,01020801604044,9
191,01020801604054,4
192,01020801604054,9
193,01020801604064,1
194,01020801604064,4
195,01020801604064,6
196,01020801604064,7
197,01020801604074,3
198,01020801604074,4
199,01020801604074,6
200,01020801604074,9
201,01020801604084,4
202,01020801604084,7
203,01020801604084,8
204,01020801604100,2
205,01020801604100,3
206,01020801604135,2
207,01020801604135,3
208,01020801604135,4
209,01020801604170,2
210,01020801604170,3
211,01020801604170,4
212,01020801604170,7
213,01020901705002,2
214,01020901705002,4
215,01020901705002,5
216,01020901705002,6
217,01020901705002,7
218,01020901705018,2
219,01020901705018,3
220,01020901705018,4
221,01020901705018,8
222,01020901705034,2
223,01020901705034,3
224,01020901705034,4
225,01020901705050,3
226,01020901705050,4
227,01020901705050,8
228,01020901705066,2
229,01020901705066,3
230,01020901705066,4
231,01020901705082,2
232,01020901705082,3
233,01020901705082,4
234,01020901705098,2
235,01020901705098,3
236,01020901705098,4
237,01020901705098,9
238,01020901705114,3
239,01020901705114,4
240,01020901705114,9
241,01020901705130,3
242,01020901705130,4
243,01020901705130,9
244,01020901705146,3
245,01020901705146,4
246,01020901705146,9
247,01020901705162,2
248,01020901705162,3
249,01020901705162,4
250,01020901705162,7
251,01020901705162,8
252,01020901705178,3
253,01020901705178,4
254,01020901705178,8
255,01021200418002,3
256,01021200418002,4
257,01021200418002,8
258,01021200418013,8
259,01021200418035,4
260,01021200418035,8
261,01021200418046,8
262,01021200418057,4
263,01021200418057,8
264,01021200418068,3
265,01021200418068,4
266,01021200418068,8
267,01021200418079,8
268,01021200418090,8
269,01021200418101,8
270,01021200418112,8
271,01021200418123,3
272,01021200418123,4
273,01021200418123,8
274,01030300103004,4
275,01030300103004,8
276,01030300103017,8
277,01030300103030,8
278,01030300103043,4
279,01030300103043,8
280,01030300103056,8
281,01030300103069,8
282,01030300103082,8
283,01030300103095,4
284,01030300103095,8
285,01030300103108,4
286,01030300103108,8
287,01030300103121,8
288,01030300103134,3
289,01030300103134,4
290,01030300103134,8
291,01030300103147,8
292,01030600403012,2
293,01030600403012,3
294,01030600403012,4
295,01030600403012,8
296,01030600403017,2
297,01030600403017,3
298,01030600403017,4
299,01030600403036,2
