,HHID,T5
0,01010200116005,1
1,01010200116059,1
2,01010200116077,1
3,01010200116095,1
4,01010200116104,1
5,01010301101004,1
6,01010301101005,1
7,01010301101012,1
8,01010301101016,3
9,01010301101016,9
10,01010301101020,1
11,01010301101022,3
12,01010301101022,5
13,01010301101022,9
14,01010301101028,6
15,01010301101028,9
16,01010301101034,2
17,01010301101034,3
18,01010301101034,4
19,01010301101034,5
20,01010301101034,6
21,01010301101034,9
22,01010301101040,1
23,01010301101046,1
24,01010301101052,1
25,01010400404008,1
26,01010400404027,1
27,01010400404046,1
28,01010400404060,1
29,01010400404103,1
30,01010400404122,1
31,01010400404160,1
32,01010400404178,1
33,01010400404197,1
34,01010400804007,6
35,01010400804027,1
36,01010400804047,1
37,01010400804067,1
38,01010400804087,1
39,01010400804107,3
40,01010400804127,1
41,01010400804147,1
42,01010400804167,1
43,01010400804187,3
44,01010400804207,1
45,01010400804227,1
46,01020600113003,1
47,01020600113019,1
48,01020600113027,1
49,01020600113035,1
50,01020600113043,1
51,01020600113051,1
52,01020600113059,1
53,01020600113067,1
54,01020600113091,1
55,01020801604004,9
56,01020801604014,1
57,01020801604024,3
58,01020801604034,2
59,01020801604054,9
60,01020801604064,2
61,01020801604064,3
62,01020801604074,1
63,01020801604084,1
64,01020801604100,2
65,01020801604135,1
66,01020801604170,2
67,01020801604170,3
68,01020901705002,2
69,01020901705002,3
70,01020901705002,4
71,01020901705034,2
72,01020901705034,3
73,01020901705034,4
74,01020901705050,1
75,01020901705066,9
76,01020901705082,9
77,01020901705098,1
78,01020901705114,1
79,01020901705162,1
80,01020901705178,1
81,01021200418002,1
82,01021200418057,1
83,01021200418068,1
84,01021200418079,1
85,01021200418101,1
86,01021200418112,1
87,01021200418123,1
88,01030300103004,1
89,01030300103017,1
90,01030300103030,1
91,01030300103043,1
92,01030300103056,1
93,01030300103108,1
94,01030300103121,1
95,01030300103134,1
96,01030600403012,1
97,01030600403017,9
98,01030600403036,6
99,01030600403049,1
100,01030600403072,9
101,01030600403092,9
102,01030600403116,1
103,01030600403164,1
104,01030600403173,1
105,01030600403183,6
106,01030600403185,1
107,01030800402015,1
108,01030800402028,1
109,01030800402041,1
110,01030800402054,1
111,01030800402067,1
112,01030800402119,1
113,01030800402132,1
114,01041100201005,3
115,01041100201020,1
116,01041100201035,1
117,01041100201050,1
118,01041100201065,1
119,01041100201080,1
120,01041100201110,1
121,01041100201125,1
122,01041100201140,1
123,01041100201155,1
124,01041100201170,3
125,01050100110009,1
126,01050100110013,1
127,01050100110022,1
128,01050100110031,1
129,01050100110067,1
130,01050100110094,1
131,01050100110103,1
132,01050101108006,1
133,01050101108019,1
134,01050101108032,1
135,01050101108045,3
136,01050101108058,1
137,01050101108071,5
138,01050101108084,1
139,01050101108097,1
140,01050101108110,1
141,01050101108123,1
142,01050101108136,1
143,01060100317022,1
144,01060100317062,1
145,01060100317072,1
146,01060100317082,1
147,01060100317092,1
148,01060100317112,1
149,01060200127002,1
150,01060200127003,1
151,01060200127031,1
152,01060200127045,1
153,01060200127072,1
154,01060200127156,1
155,01060200506004,1
156,01060200506015,1
157,01060200506037,1
158,01060200506048,1
159,01060200506059,1
160,01060200506103,1
161,01060200506114,1
162,01060200506125,8
163,02070101804001,1
164,02070101804021,1
165,02070101804031,1
166,02070101804071,1
167,02070101804091,1
168,02070101901014,1
169,02070101901038,1
170,02070101901074,1
171,02070101901098,1
172,02070101901134,1
173,02070200101003,1
174,02070200101027,1
175,02070200101035,1
176,02070200101051,1
177,02070200101067,1
178,02070200101075,1
179,02070200101083,1
180,02070300104027,2
181,02070300104038,1
182,02070300104049,1
183,02070300104060,1
184,02070300104071,1
185,02070300104104,1
186,02070300111025,2
187,02070300111045,1
188,02070300111055,1
189,02070300111085,1
190,02070300111095,1
191,02070300205006,1
192,02070300205011,1
193,02070300205016,1
194,02070300205021,1
195,02070300205036,2
196,02070300205041,1
197,02070300205046,1
198,02070300212007,1
199,02070300212015,1
200,02070300212031,1
201,02070300212039,1
202,02070300212063,1
203,02070300212071,1
204,02070300212095,1
205,02070501103033,1
206,02070501103041,1
207,02070501103049,1
208,02070501103103,1
209,02070501103133,1
210,02070501302028,1
211,02070501302040,1
212,02070501302052,1
213,02070501302064,1
214,02070501302076,1
215,02070501302112,1
216,02070501302136,1
217,02080300102022,1
218,02080300102036,1
219,02080300102064,1
220,02080300102092,1
221,02080300102148,1
222,02080300404004,1
223,02080300404015,1
224,02080300404026,1
225,02080300404037,1
226,02080300404048,1
227,02080300404092,1
228,02080300404104,1
229,02080300404130,1
230,02080300404156,1
231,02090100104056,1
232,02090100104068,1
233,02090100104092,2
234,02090100104116,1
235,02090100104128,1
236,02090100104140,2
237,02090100104140,3
238,02090200123004,1
239,02090200123018,1
240,02090200123032,1
241,02090200123046,1
242,02090200123060,1
243,02090200123074,1
244,02090200123088,2
245,02090200123088,9
246,02090200123102,1
247,02090200123116,1
248,02090200123130,1
249,02090200123144,1
250,02090200123158,1
251,02100100401146,1
252,02100100401186,1
253,02100100401206,1
254,02100100501005,1
255,02100100501062,1
256,02100100501119,1
257,02100100501195,1
258,02100100501214,1
259,02100200904016,1
260,02100200904049,1
261,02100200904060,1
262,02100200904071,1
263,02100200904093,1
264,02100200904104,1
265,02100200904126,1
266,03110300605013,1
267,03110300605030,1
268,03110300605047,1
269,03110300605064,1
270,03110300605081,1
271,03110300605098,1
272,03110300605115,1
273,03110300605132,1
274,03110300605149,1
275,03110300605166,1
276,03110300605183,1
277,03110300605200,1
278,03110301501010,1
279,03110301501025,1
280,03110301501040,3
281,03110301501040,7
282,03110301501055,1
283,03110301501070,1
284,03110301501085,1
285,03110301501100,3
286,03110301501115,1
287,03110301501130,1
288,03110301501145,1
289,03110301501160,1
290,03110301501175,1
291,03110800110001,1
292,03110800110003,1
293,03110800110008,1
294,03110800110030,1
295,03110800110052,1
296,03110800110074,1
297,03110800110140,10
298,03110800110162,1
299,03110800110184,1
300,03110800701014,1
301,03110800701029,1
302,03110800701044,1
303,03110800701059,3
304,03110800701074,3
305,03110800701089,2
306,03110800701089,3
307,03110800701104,1
308,03110800701119,3
309,03110800701134,1
310,03110800701149,1
311,03110800701164,1
312,03110800701179,1
313,03111700101002,1
314,03111700101037,1
315,03111700101061,8
316,03111700101109,1
317,03111700101157,1
318,03111700101181,4
319,03111700101181,8
320,03111700101181,9
321,03111800604007,1
322,03111800604026,1
323,03111800604045,1
324,03111800604064,1
325,03111800604083,1
326,03111800604102,1
327,03111800604121,1
328,03111800604140,1
329,03111800604197,1
330,03111800604216,1
331,03111801205008,1
332,03111801205017,1
333,03111801205026,1
334,03111801205035,1
335,03111801205044,1
336,03111801205053,1
337,03111801205062,1
338,03111801205080,1
339,03111801205089,1
340,03111801205098,1
341,03111802013001,1
342,03111802013004,8
343,03111802013018,8
344,03111802013032,1
345,03111802013046,1
346,03111802013060,8
347,03111802013074,1
348,03111802013102,8
349,03111802013116,1
350,03111802013130,1
351,03111802013144,1
352,03112101007015,2
353,03112101007015,3
354,03112101007031,6
355,03112101007047,7
356,03112101007063,3
357,03112101007063,6
358,03112101007079,1
359,03112101007095,1
360,03112101007111,2
361,03112101007127,2
362,03112101007127,6
363,03112101007143,1
364,03112101007159,1
365,03112101007191,1
366,03120102608012,2
367,03120102608012,6
368,03120102608028,2
369,03120102608044,2
370,03120102608044,6
371,03120102608060,2
372,03120102608076,1
373,03120102608092,1
374,03120102608108,3
375,03120102608124,1
376,03120102608140,2
377,03120102608140,6
378,03120102608156,2
379,03120102608172,2
380,03120102608172,6
381,03120102608188,2
382,03120200303028,1
383,03120200303049,1
384,03120200303070,1
385,03120200303091,1
386,03120200303133,1
387,03120200303154,1
388,03120200303175,1
389,03120200303196,1
390,03120200303217,1
391,03120300709007,1
392,03120300709022,1
393,03120300709037,1
394,03120300709052,1
395,03120300709067,2
396,03120300709067,6
397,03120300709082,2
398,03120300709097,1
399,03120300709112,1
400,03120300709127,2
401,03120300709142,1
402,03120300709157,2
403,03120300709172,1
404,03120302401010,2
405,03120302401027,2
406,03120302401044,2
407,03120302401044,6
408,03120302401061,2
409,03120302401078,2
410,03120302401095,2
411,03120302401112,1
412,03120302401129,2
413,03120302401146,1
414,03120302401163,1
415,03120302401180,1
416,03120302401197,1
417,03121000302003,1
418,03121000302023,1
419,03121000302053,1
420,03121000302083,1
421,03121000302113,1
422,03130200801006,2
423,03130200801006,3
424,03130200801017,1
425,03130200801026,1
426,03130200801042,1
427,03130200801063,1
428,03130200801080,1
429,03130200801100,1
430,03130200801109,5
431,03130200801119,1
432,03130200801142,1
433,03130200801169,1
434,03130200801174,1
435,03130202504009,1
436,03130202504029,9
437,03130202504049,1
438,03130202504069,1
439,03130202504089,1
440,03130202504109,1
441,03130202504129,1
442,03130202504149,1
443,03130202504169,2
444,03130202504189,2
445,03130202504209,1
446,03130202504229,2
447,03130202504229,3
448,03130401201028,1
449,03130401201046,1
450,03130401201064,1
451,03130401201082,1
452,03130401201100,6
453,03130401201118,2
454,03130401201118,3
455,03130401201136,2
456,03130401201136,3
457,03130401201136,4
458,03130401201154,2
459,03130401201190,1
