,HHID,U3
0,01010200116023,12
1,01010301101028,12
2,01010301101046,12
3,01010400404103,12
4,01010400804007,12
5,01010400804027,12
6,01010400804127,1
7,01010400804127,2
8,01010400804127,7
9,01010400804127,11
10,01010400804147,1
11,01010400804147,2
12,01010400804147,6
13,01010400804147,7
14,01010400804147,8
15,01010400804147,9
16,01010400804147,11
17,01020600113003,12
18,01020600113035,12
19,01020801604034,12
20,01030300103134,12
21,01030800402002,12
22,01041100201050,3
23,01041100201050,4
24,01041100201050,5
25,01041100201050,6
26,01041100201050,7
27,01041100201050,8
28,01041100201050,9
29,01041100201110,12
30,01050100110031,12
31,01050100110058,12
32,01050101108006,12
33,01050101108084,12
34,01050101108123,12
35,01050101108149,12
36,01060100317102,13
37,01060200127100,12
38,01060200506004,12
39,01060200506037,12
40,01060200506070,12
41,01060200506103,12
42,02070101901002,12
43,02070101901014,12
44,02070200101011,1
45,02070200101011,7
46,02070200101011,8
47,02070200101011,9
48,02070200101011,11
49,02070300205006,12
50,02070300205011,1
51,02070300205011,4
52,02070300205011,5
53,02070300205011,6
54,02070300205011,7
55,02070300205011,8
56,02070300205011,9
57,02070300205011,11
58,02070300205021,12
59,02070300205026,12
60,02070300212023,12
61,02070300212047,12
62,02070300212055,12
63,02070300212063,12
64,02070300212071,1
65,02070300212071,7
66,02070300212071,11
67,02070501103013,12
68,02080300102008,12
69,03110800110096,12
70,03110800110118,1
71,03110800110118,2
72,03110800110118,7
73,03110800110118,9
74,03110800110118,11
75,03110800110162,1
76,03110800110162,2
77,03110800110162,5
78,03110800110162,6
79,03110800110162,7
80,03110800110162,8
81,03110800110162,9
82,03110800110162,11
83,03110800110184,12
84,03111700101013,12
85,03111700101037,12
86,03111700101061,12
87,03111700101109,12
88,03111700101157,12
89,03111700101181,12
90,03111700101205,12
91,03111801205035,12
92,03111801205044,1
93,03111801205044,7
94,03111801205044,8
95,03111801205044,9
96,03111801205044,11
97,03111801205062,12
98,03111802013060,12
99,03111802013074,12
100,03111802013088,12
101,03111802013116,12
102,03111802013130,12
103,03121000302003,12
104,03130200801063,12
105,03130200801080,1
106,03130200801080,2
107,03130200801080,7
108,03130200801080,11
109,03131000101032,12
110,03131000101068,12
111,03141000205109,12
112,03141202605085,12
113,03150800103073,3
114,03150800103073,4
115,03150800103073,5
116,03150800103073,6
117,03150800103073,7
118,03150800103073,8
119,03150800103073,9
120,03150800103073,11
121,03150800103103,12
122,03150800103118,12
123,03152000407012,12
124,03152000705039,12
