Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,45.1,49.6,54.3,57.5,63.1,..
Afghanistan,AFG,Prevalence of severe food insecurity in the population (%),SN.ITK.SVFI.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,14.8,15.1,17.3,17.3,19.8,..
Afghanistan,AFG,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,..,..,31.9470263425352,26.5191195162239,32.6032644912823,41.0674612740749,35.6494932322441,40.8758669399891,41.8283306892529,38.1484310185785,36.0646488583384,27.0212778139966,37.2380701578545,48.6209869747101,43.9132390487261,36.4285790011076,35.8671796746646,36.0656113061744,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,52.5240811767024,54.6793195830966,40.0470709660653,39.1451752009078,17.4372227678394,13.6385047989984,14.4956237464036,48.4561085378175,56.9188752183133,71.159013740695,65.8965628978435,63.8521068571521,..
Afghanistan,AFG,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,..,..,7.83526679894446,13.1198638928934,17.3358407967507,17.099850581365,20.8006767904764,20.8816634027342,16.00906677632,20.5806444720536,20.5416003093413,25.4323707121459,28.4641730095204,23.8652945048808,22.8817141890948,24.423571594431,16.3241264867917,15.3513858405288,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17.3695294018036,18.2936161520611,13.6918476055713,14.0292713208405,4.27602338186878,7.54684014524629,9.51326057195841,19.2271235944006,23.5599980058157,36.7934467416695,34.0330570936499,26.9158391793767,..
Afghanistan,AFG,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,..,41.39,41.71,41.53,45.03,47.14,48.88,53.55,55.92,56.63,51.84,48.61,51.87,55.75,57.43,59.06,63.74,57.22,61.53,60.79,61.14,60.99,60.43,58.86,56.45,52.66,48.21,49.94,49.36,49.13,52.9,60.72,58.85,62.12,65.68,68.6,72.2,77.29,81.52,80.59,68.54,62.28,75.57,77.65,75.6,84.49,78.25,85.68,80.55,93.36,92.79,88.45,96.99,94.08,98.2,97.49,104.32,98.69,96.52,..,..
Albania,ALB,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,38.8,39,38.6,37.1,33.8,..
Albania,ALB,Prevalence of severe food insecurity in the population (%),SN.ITK.SVFI.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10,10.5,11,10,8.8,..
Albania,ALB,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.0931924918206,11.1106507877978,9.82044431818301,5.52977337734796,6.62795190197749,5.78985653392675,3.56458201253854,5.62901128428925,5.79731260967209,9.76458919983876,7.94445974938703,5.30440256077302,4.33398211749593,5.66901702390689,4.50730701001624,4.1596013315431,4.62273480006288,4.54802602225408,3.00290920278718,5.64320499416085,8.26601556448342,9.68598041588214,9.07472022473736,10.3757390355533,13.3138882642827
Albania,ALB,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,34.2713500402147,27.1806727179409,26.9408204433479,27.3598044929082,21.8344894406933,19.3800309935046,20.1725298479794,19.6256029620736,19.264186578718,16.2430261779039,19.966386211139,16.4344910051271,16.4325485665371,17.0873902427217,17.946651912862,16.6310044125481,17.3068860989059,17.7209865684087,10.3265556378275,14.4973567496162,14.149751060874,14.8580982799484,14.0435870571852,14.9471163640397,16.7736948477886
Albania,ALB,Food production index (2014-2016 = 100),AG.PRD.FOOD.XD,..,21.35,21.94,20.72,23.37,22.24,25.48,27.3,28.02,28.35,29.1,30.18,30.69,32.87,33.83,34.43,38.1,39.81,41.54,42.28,41.45,43.09,44.48,48.45,44.96,44.34,44.06,45.59,44.32,49.41,48.68,41.35,45.6,51.52,57.28,61.6,62.09,58.81,61.38,60.76,64.01,65.89,66.38,69.58,72.89,71.65,74.42,75.45,77.74,80.52,85.65,89.91,95.07,95.65,96.85,100.03,103.11,104.13,106.13,..,..
