HHID,Id,C141,C41_Recode,C142,C142_B,C143,C144,C145,C146,C148,C149,C150,C151,C152,C153,C153_SO,C154_FULL,C154_PARTIAL,C155,C156,C157,C158,C159,C160,C160_SO,C160_SO_RECODE
110148801,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
110148802,Solar lighting system,Solarland,SOLARLAND,Yes,No,Yes,Solar lighting system,5.0,25.0,25.0,No,7.0,0.0,"Bought, fully paid",, ,10000.0,,,,No,No,1.0,No problems, , 
110148803,Solar lighting system,Sona,SONA,Yes,Yes,No,Solar lighting system,5.0,40.0,65.0,No,8.0,0.0,"Bought, fully paid",, ,35000.0,,,,No,No,3.0,No problems, , 
110148804,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
110148805,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
110148806,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
110148807,Solar lighting system,888,888,Yes,No,Yes,Solar lighting system,3.0,20.0,20.0,No,5.0,0.0,"Bought, fully paid",, ,26000.0,,,,Yes,No,5.0,Battery problems, , 
110148808,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
110148809,Solar lighting system,SURYODAYA,SURYODAYA,Yes,Yes,Yes,Solar lighting system,3.0,60.0,888.0,No,6.0,0.0,"Bought, fully paid",, ,50000.0,,,,No,Yes,10.0,Too expensive, , 
110148810,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
110148811,Solar lighting system,SURYADAYA,SURYADAYA,Yes,Yes,Yes,Solar lighting system,6.0,40.0,888.0,No,8.0,0.0,"Bought, fully paid",, ,888.0,,,,No,Yes,10.0,No problems, , 
110148812,Solar lighting system,888,888,Yes,Yes,No,Solar lighting system,4.0,45.0,45.0,No,7.0,0.0,"Bought, fully paid",, ,38000.0,,,,Yes,No,2.0,Battery problems, , 
110148813,Solar lighting system,888,888,Yes,No,No,Solar lighting system,1.0,25.0,12.0,No,8.0,0.0,"Bought, fully paid",, ,5000.0,,,,Yes,No,1.0,Quality of light, , 
110148814,Solar lighting system,888,888,Yes,No,No,Solar lighting system,2.0,888.0,,No,7.0,0.0,"Bought, fully paid",, ,26000.0,,,,Yes,No,2.0,Quality of light, , 
110148815,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
110148901,Solar lighting system,VOLTA,VOLTA,Yes,Yes,Yes,Solar lighting system,4.0,45.0,45.0,No,5.0,0.0,"Bought, fully paid",, ,24000.0,,,,No,No,6.0,No problems, , 
110148902,Solar lighting system,VOLTA,VOLTA,Yes,Yes,Yes,Solar lighting system,6.0,40.0,40.0,No,4.0,2.0,"Bought, fully paid",, ,22000.0,,,,No,No,7.0,No problems, , 
110148903,Solar lighting system,888,888,Yes,Yes,Yes,Solar lighting system,6.0,40.0,40.0,No,3.0,1.0,"Bought, fully paid",, ,18000.0,,,,No,No,6.0,No problems, , 
110148904,Solar lighting system,VOLTA,VOLTA,Yes,Yes,Yes,Solar lighting system,5.0,40.0,40.0,No,1.0,1.0,"Bought, fully paid",, ,18000.0,,,,No,No,8.0,No problems, , 
110148905,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
