"","HHID","Id","J4","J5","J6","J7","J7_SO","J7_SO_RECODE","J8","J9","J10","J11","J12","J13","J14","J15__111","J15__1","J15__2","J15__3","J15__4","J15__5","J15__6","J15__7","J15__8","J15__9","J15__10","J15__11","J15__12","J15__888","J16","J17","J17_SO","J17_SO_RECODE","J17A","J17B","J18","J19","J20_A","J20A_SO","J20_B","J20B_SO","J21_A","J21_B","J22","J23","J24","J25","J26","J27","J28","J29","J30","J31__111","J31__1","J31__2","J31__3","J31__4","J31__5","J31__6","J31__7","J31__8","J31__9","J31__10","J31__11","J31__12","J32","J33__9","J33__1","J33__2","J33__3","J33__4","J33__5","J33__6","J33__7","J33__8","J33__10","J33A","J33A_SO","J33A_SO_RECODE","J34","J35__1","J35__2","J35__3","J35__4","J35__5","J35__6","J35__7","J35__8","J35__9","J35__10","J35__555","J35_SO","J35_SO_RECODE","J37_A","J37_B"
"1","110148801",3,2,NA,NA,4,"","",1,NA,"TWO POTHOLO MUD ICS(RAISED OR PLAIN ) WITH CHIMNEY",888,1,2,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,"","",2,2,1,2,2,"",NA,"",1,NA,20,7,4,60,40,80,20,60,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",0,NA
"2","110148802",1,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,"","",2,2,2,NA,2,"",NA,"",1,NA,10,7,4,60,60,60,0,60,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",0,NA
"3","110148802",3,1,0,12000,NA,"","",NA,2,"3 pot hole MICS with water tank",888,2,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"","",2,2,1,1,2,"",NA,"",1,NA,10,7,3,60,60,60,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",0,NA
"4","110148803",2,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"","",2,2,2,NA,2,"",NA,"",1,NA,25,7,3,60,40,60,20,35,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",300,NA
"5","110148804",1,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,"","",NA,NA,2,NA,2,"",NA,"",1,NA,10,7,3,90,120,60,0,60,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",0,NA
"6","110148805",1,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,"","",NA,NA,2,NA,2,"",NA,"",1,NA,10,7,3,90,60,90,0,60,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",0,NA
"7","110148806",2,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"","",2,2,2,NA,2,"",NA,"",1,NA,15,7,3,50,30,60,20,30,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,1,0,0,3,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",250,NA
"8","110148807",1,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,"","",NA,NA,2,NA,2,"",NA,"",1,NA,10,7,3,120,60,120,0,60,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",0,NA
"9","110148808",2,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,2,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,"","",2,2,2,NA,2,"",NA,"",1,NA,25,7,3,50,30,50,15,40,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",300,NA
"10","110148809",2,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,"","",2,2,2,NA,2,"",NA,"",1,NA,30,7,3,70,30,70,20,40,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",0,NA
"11","110148810",1,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,NA,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,"","",NA,NA,2,NA,2,"",NA,"",1,NA,10,7,3,120,60,120,0,60,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",0,NA
"12","110148811",2,NA,NA,NA,NA,"","",NA,NA,"",NA,NA,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,"","",2,2,2,NA,2,"",NA,"",1,NA,20,7,3,60,30,50,25,40,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,NA,"","",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",0,NA
