HHID,Id,R1_A,R2_A,R3_A,R3_A_SO,R4_A,R9_A,R10_A,R11_A,R12_A,R13_A,R14_A,R15_A,R16_A,R17_A,R18_A,R19_A,R20_A,R21_A,R22_A,R23_A,R24_A,R25_A,R26_A,R27_A,R28_A
110148801,Women (Age 15 yrs and older),Yes,120.0,Monthly, ,1.0,Yes,20.0,Yes,180.0,Yes,30.0,No,,Yes,60.0,No,,No,,No,,No,,Yes,120.0
110148801,Men(Age 15 yrs and older,Yes,120.0,Monthly, ,2.0,Yes,30.0,No,,No,,No,,No,,No,,No,,Yes,600.0,No,,Yes,180.0
110148802,Women (Age 15 yrs and older),Yes,60.0,Daily, ,2.0,No,,Yes,120.0,No,,No,,Yes,120.0,Yes,180.0,Yes,30.0,No,,Yes,240.0,Yes,120.0
110148802,Boys(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
110148802,Men(Age 15 yrs and older,No,,, ,,No,,Yes,60.0,No,,No,,Yes,60.0,Yes,120.0,No,,No,,Yes,360.0,Yes,120.0
110148803,Girls(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,120.0
110148803,Men(Age 15 yrs and older,Yes,200.0,Monthly, ,1.0,Yes,30.0,No,,No,,No,,No,,No,,No,,Yes,300.0,No,,Yes,120.0
110148803,Women (Age 15 yrs and older),Yes,120.0,Monthly, ,1.0,No,,Yes,160.0,No,,No,,Yes,35.0,No,,Yes,120.0,No,,No,,No,
110148803,Boys(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,120.0
110148804,Women (Age 15 yrs and older),Yes,120.0,Bi-Weekly, ,2.0,No,,Yes,180.0,No,,No,,No,,No,,No,,No,,No,,Yes,60.0
110148804,Men(Age 15 yrs and older,No,,, ,,No,,Yes,120.0,No,,No,,Yes,90.0,No,,No,,No,,No,,Yes,120.0
110148805,Girls(Under age 15 yrs),No,,, ,,No,,Yes,60.0,No,,No,,No,,No,,Yes,30.0,No,,No,,No,
110148805,Men(Age 15 yrs and older,No,,, ,,No,,Yes,60.0,No,,No,,No,,No,,No,,No,,No,,No,
110148805,Women (Age 15 yrs and older),Yes,120.0,Bi-Weekly, ,2.0,No,,Yes,120.0,No,,No,,Yes,60.0,No,,No,,No,,No,,No,
110148806,Men(Age 15 yrs and older,Yes,180.0,Monthly, ,1.0,Yes,60.0,No,,No,,No,,No,,Yes,120.0,No,,No,,No,,Yes,120.0
110148806,Women (Age 15 yrs and older),Yes,150.0,Monthly, ,1.0,No,,Yes,140.0,No,,No,,Yes,30.0,Yes,180.0,No,,No,,No,,No,
110148806,Girls(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
110148807,Boys(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
110148807,Women (Age 15 yrs and older),Yes,120.0,Bi-Weekly, ,2.0,No,,Yes,120.0,No,,No,,Yes,60.0,No,,Yes,45.0,No,,No,,No,
110148807,Men(Age 15 yrs and older,No,,, ,,No,,Yes,120.0,No,,No,,No,,No,,Yes,60.0,No,,No,,No,
110148808,Men(Age 15 yrs and older,Yes,240.0,"Other, specify",ONE MONTH,1.0,Yes,60.0,Yes,150.0,No,,No,,Yes,30.0,No,,No,,No,,No,,No,
110148808,Women (Age 15 yrs and older),No,,, ,,No,,Yes,130.0,No,,No,,Yes,30.0,No,,No,,No,,No,,No,
110148809,Boys(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,120.0
110148809,Men(Age 15 yrs and older,Yes,180.0,Monthly, ,2.0,Yes,60.0,No,,No,,No,,No,,Yes,120.0,No,,Yes,300.0,No,,Yes,60.0
110148809,Women (Age 15 yrs and older),No,,, ,,No,,Yes,170.0,No,,No,,Yes,40.0,Yes,240.0,No,,No,,No,,No,
110148809,Girls(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,Yes,120.0,No,,No,,Yes,120.0
110148810,Boys(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,Yes,30.0,No,,No,,No,
110148810,Men(Age 15 yrs and older,No,,, ,,Yes,60.0,Yes,60.0,No,,No,,No,,No,,No,,No,,No,,Yes,120.0
110148810,Women (Age 15 yrs and older),Yes,180.0,Bi-Weekly, ,2.0,No,,Yes,240.0,No,,No,,Yes,60.0,Yes,60.0,Yes,30.0,No,,No,,Yes,60.0
110148811,Women (Age 15 yrs and older),No,,, ,,No,,Yes,140.0,No,,No,,Yes,40.0,No,,No,,No,,No,,Yes,120.0
110148811,Men(Age 15 yrs and older,Yes,180.0,"Other, specify",ONE MONTH,1.0,Yes,60.0,No,,No,,No,,No,,No,,No,,Yes,600.0,No,,Yes,120.0
110148812,Women (Age 15 yrs and older),Yes,180.0,Bi-Weekly, ,2.0,No,,Yes,180.0,No,,No,,Yes,60.0,No,,No,,No,,No,,Yes,60.0
110148812,Men(Age 15 yrs and older,No,,, ,,Yes,60.0,Yes,120.0,No,,No,,No,,No,,No,,No,,No,,Yes,120.0
110148813,Men(Age 15 yrs and older,Yes,60.0,Weekly, ,1.0,Yes,25.0,Yes,60.0,No,,No,,No,,Yes,180.0,No,,No,,No,,Yes,120.0
110148813,Girls(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
110148813,Women (Age 15 yrs and older),Yes,25.0,Daily, ,1.0,Yes,15.0,Yes,180.0,No,,No,,No,,Yes,480.0,No,,No,,No,,No,
110148814,Girls(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
110148814,Men(Age 15 yrs and older,Yes,30.0,Monthly, ,1.0,Yes,40.0,No,,No,,No,,No,,Yes,180.0,No,,No,,No,,Yes,180.0
110148814,Women (Age 15 yrs and older),Yes,20.0,Daily, ,1.0,Yes,25.0,Yes,180.0,No,,No,,Yes,25.0,Yes,480.0,No,,Yes,300.0,No,,Yes,180.0
110148815,Men(Age 15 yrs and older,Yes,60.0,Monthly, ,1.0,Yes,120.0,No,,No,,No,,No,,No,,No,,No,,No,,Yes,120.0
