,HH_ID,C_start,C1,C2,C3,C4,C4_oth,C5,C6,C7,C8,C9,C10,C11,C12,C12_oth,C_13,C_13oth,C_14,C15,C16,C17,C18,C19,C19_oth,C_20,C_21,C_22,C_23,C_24,C_27,C_25,C_26__1,C_26__2,C_26__3,C_26__4,C_26__5,C_26__6,C_26__7,C_26__8,C_26__9,C_26__10,C_26__11,C_26__12,C_26__888,C_28a,C_29a,C_30a,C_31a,C32a_hours,C32a_min,C_28b,C_29b,C_30b,C_31b,C32b_hours,C32b_min,C_33,C33oth,C_34,C34_oth,C_35,C35_oth,C_36,C_37,C_38,C39_a,C39_b,C40,C41,C42,C42_oth,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C57,C58,C59,C61,C62,C63,C64,C67,C65,C66__1,C66__2,C66__3,C66__4,C66__5,C66__6,C66__7,C66__8,C66__9,C66__10,C66__11,C66__12,C66__888,C68a,C69a,C70a,C71a,C72a_hour,C72a_min,C68b,C69b,C70b,C71b,C72b_hour,C72b_min,C73,C74,C75,C76,C77,C78,C79_1,C79_2,C_79oth,C80,C81,C83,C84,C85,C86,C87,C88__111,C88__1,C88__2,C88__3,C88__4,C88__5,C88__6,C88__7,C88__8,C88__9,C88__10,C88__11,C88__12,C89,C90__1,C90__2,C90__3,C90__555,C90__888,C_90oth,C91,C92,C93,C_93oth,C94,C95,C97,C98,C99,C100,C101,C102,C103,C104,C105__1,C105__2,C105__3,C105__4,C105__5,C105__6,C105__7,C105__8,C105__9,C105__10,C105__11,C105__12,C106a,C107a,C108a,C106b,C107b,C108b,C109,C110__888,C_110oth,C111,C112,C110_1,C110_2,C113,C114,C115__111,C115__1,C115__2,C115__3,C115__4,C115__5,C115__6,C115__7,C115__8,C115__9,C115__10,C115__11,C115__12,C115__888,C116__1,C116__2,C116__3,C116__555,C117,C119,C124,C125,C126,C127,C128,C129,C130,C131,C132__1,C132__2,C132__3,C132__4,C132__5,C132__6,C132__555,C132__111,C133,C136__1,C136__2,C136__3,C137,C138,C139,sum_solar,C140__0,C140__1,C140__2,C140__3,C140__4,C140__5,C140__6,C140__7,C140__8,C140__9,MSD,C167,C168__1,C168__2,C168__3,C168__4,C168__5,C168__6,C168__7,C168__8,C168__9,C168__10,C168__11,C168__12,C168__888,C169a,C170a,C171a,C169b,C170b,C171b,C172,C174,C176,C177,C178,C179,C_179oth,C180,C181,C182,C182_oth,C183,C184,C185,C186,C187,C188,C189
0,1000506120305.0,2017-11-20T07:09:19-05:00,1.0,No,2.0,"Other, specify",government fault,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dry-cell battery,,1.0,No,No,No,1.0,Yes,600.0
1,1000506120401.0,2017-11-20T06:58:23-05:00,1.0,No,2.0,Grid is too far from household/not available,,Yes,Don't Know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dry-cell battery,,0.0,,,,,,
2,1000506120601.0,2017-11-20T08:14:17-05:00,1.0,No,2.0,"Other, specify",government fault,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dry-cell battery,,0.0,,,,,,
3,1000506120602.0,2017-11-20T07:13:22-05:00,1.0,No,,Grid is too far from household/not available,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dry-cell battery,,1.0,No,No,No,1.0,Yes,400.0
4,1000506120901.0,2017-11-20T07:04:08-05:00,2.0,No,,Company refused to connect the household,,Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dry-cell battery,,0.0,,,,,,
5,1000506121202.0,2017-11-20T08:13:53-05:00,2.0,No,,Company refused to connect the household,,Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dry-cell battery,,2.0,No,No,No,2.0,Yes,500.0
6,1000506121304.0,2017-11-20T09:13:47-05:00,2.0,No,78.0,"Other, specify",Government  fault,Yes,Don't Know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dry-cell battery,,1.0,No,No,No,1.0,Yes,330.0
7,1000506121604.0,2017-11-20T10:33:29-05:00,1.0,No,,Grid is too far from household/not available,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dry-cell battery,,0.0,,,,,,
8,1000506122001.0,2017-11-20T09:31:30-05:00,2.0,No,3.0,"Other, specify",because we in the  village  so the government refuse to give us light,Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dry-cell battery,,0.0,,,,,,
9,1000506122301.0,2017-11-20T08:24:21-05:00,1.0,No,10.0,Grid is too far from household/not available,,Don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dry-cell battery,,1.0,No,No,No,1.0,Yes,400.0
