,HH_ID,F2,Fuel_roster_name,F3,F3_oth,F_4,F_4oth,F_5,F_6,F_7,F_8,F_9,F_10,F_4_text,F_11,F_12,F_13_1,F_13oth,F_14__1,F_14__2,F_14__3,F_14__4,F_14__5,F_14__6,F_14__7,F_14__8,F_14__111
0,1000506120305.0,Candle,,No,,,,,,,,,,,,,,,,,,,,,,,
1,1000506120305.0,Open wick lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
2,1000506120305.0,Hurricane lamp with glass cover,,No,,,,,,,,,,,,,,,,,,,,,,,
3,1000506120305.0,Pressurized mantle lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
4,1000506120305.0,"Other, specify",,No,,,,,,,,,,,,,,,,,,,,,,,
5,1000506120401.0,Candle,,No,,,,,,,,,,,,,,,,,,,,,,,
6,1000506120401.0,Open wick lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
7,1000506120401.0,Hurricane lamp with glass cover,,No,,,,,,,,,,,,,,,,,,,,,,,
8,1000506120401.0,Pressurized mantle lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
9,1000506120401.0,"Other, specify",,No,,,,,,,,,,,,,,,,,,,,,,,
10,1000506120601.0,Candle,,No,,,,,,,,,,,,,,,,,,,,,,,
11,1000506120601.0,Open wick lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
12,1000506120601.0,Hurricane lamp with glass cover,,No,,,,,,,,,,,,,,,,,,,,,,,
13,1000506120601.0,Pressurized mantle lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
14,1000506120601.0,"Other, specify",,No,,,,,,,,,,,,,,,,,,,,,,,
15,1000506120602.0,Candle,,No,,,,,,,,,,,,,,,,,,,,,,,
16,1000506120602.0,Open wick lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
17,1000506120602.0,Hurricane lamp with glass cover,,No,,,,,,,,,,,,,,,,,,,,,,,
18,1000506120602.0,Pressurized mantle lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
19,1000506120602.0,"Other, specify",,No,,,,,,,,,,,,,,,,,,,,,,,
20,1000506120901.0,Candle,,No,,,,,,,,,,,,,,,,,,,,,,,
21,1000506120901.0,Open wick lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
22,1000506120901.0,Hurricane lamp with glass cover,,No,,,,,,,,,,,,,,,,,,,,,,,
23,1000506120901.0,Pressurized mantle lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
24,1000506120901.0,"Other, specify",,No,,,,,,,,,,,,,,,,,,,,,,,
25,1000506121202.0,Candle,,No,,,,,,,,,,,,,,,,,,,,,,,
26,1000506121202.0,Open wick lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
27,1000506121202.0,Hurricane lamp with glass cover,,No,,,,,,,,,,,,,,,,,,,,,,,
28,1000506121202.0,Pressurized mantle lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
29,1000506121202.0,"Other, specify",,No,,,,,,,,,,,,,,,,,,,,,,,
30,1000506121304.0,Candle,,No,,,,,,,,,,,,,,,,,,,,,,,
31,1000506121304.0,Open wick lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
32,1000506121304.0,Hurricane lamp with glass cover,,No,,,,,,,,,,,,,,,,,,,,,,,
33,1000506121304.0,Pressurized mantle lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
34,1000506121304.0,"Other, specify",,No,,,,,,,,,,,,,,,,,,,,,,,
35,1000506121604.0,Candle,,No,,,,,,,,,,,,,,,,,,,,,,,
36,1000506121604.0,Open wick lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
37,1000506121604.0,Hurricane lamp with glass cover,,No,,,,,,,,,,,,,,,,,,,,,,,
38,1000506121604.0,Pressurized mantle lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
39,1000506121604.0,"Other, specify",,No,,,,,,,,,,,,,,,,,,,,,,,
40,1000506122001.0,Candle,,No,,,,,,,,,,,,,,,,,,,,,,,
41,1000506122001.0,Open wick lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
42,1000506122001.0,Hurricane lamp with glass cover,,No,,,,,,,,,,,,,,,,,,,,,,,
43,1000506122001.0,Pressurized mantle lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
44,1000506122001.0,"Other, specify",,No,,,,,,,,,,,,,,,,,,,,,,,
45,1000506122301.0,Candle,,No,,,,,,,,,,,,,,,,,,,,,,,
46,1000506122301.0,Open wick lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
47,1000506122301.0,Hurricane lamp with glass cover,,No,,,,,,,,,,,,,,,,,,,,,,,
48,1000506122301.0,Pressurized mantle lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
49,1000506122301.0,"Other, specify",,No,,,,,,,,,,,,,,,,,,,,,,,
50,1000506122402.0,Candle,,No,,,,,,,,,,,,,,,,,,,,,,,
51,1000506122402.0,Open wick lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
52,1000506122402.0,Hurricane lamp with glass cover,,No,,,,,,,,,,,,,,,,,,,,,,,
53,1000506122402.0,Pressurized mantle lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
54,1000506122402.0,"Other, specify",,No,,,,,,,,,,,,,,,,,,,,,,,
55,1000506122702.0,Candle,,No,,,,,,,,,,,,,,,,,,,,,,,
56,1000506122702.0,Open wick lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
57,1000506122702.0,Hurricane lamp with glass cover,,No,,,,,,,,,,,,,,,,,,,,,,,
58,1000506122702.0,Pressurized mantle lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
59,1000506122702.0,"Other, specify",,No,,,,,,,,,,,,,,,,,,,,,,,
