,HH_ID,I_Cookstove__id,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13a,I13b,I14__111,I14__1,I14__2,I14__3,I14__4,I14__5,I14__6,I14__7,I14__8,I14__9,I14__10,I14__11,I14__12,I15,I16,I16_oth,I17,I18,I19a,I19b,I20a,I20b,I21,I22,I23,I24,I25,I26,I27,I31__1,I31__2,I31__3,I31__4,I31__5,I31__6,I31__7,I31__8,I31__9,I32,I32_oth,I33,I35,I36a,I36b,interview__key
0,1000506120305.0,1,3-Stone/Open Fire Stove,,,,,,,,,,20,0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Moveable,Outdoors,,,,Wood purchased,Wood collected,Always available,Sometimes available,3,7,3,30,60,90,10,No,No,No,No,No,No,No,No,Yes,,,Yes,Yes,1000,0.0,88-06-47-05
1,1000506120401.0,1,3-Stone/Open Fire Stove,,,,,,,,,,54,2,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Fixed,Outdoors,,,,Wood collected,Not applicable,Always available,,6,7,2,43,0,58,18,No,No,No,No,No,No,No,No,Yes,,,Yes,Yes,0,,28-74-75-20
2,1000506120601.0,1,3-Stone/Open Fire Stove,,,,,,,,,,10,0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Fixed,Outdoors,,,,Wood collected,Not applicable,Always available,,10,7,2,0,60,120,15,No,No,No,No,Yes,No,No,No,No,Yes,,Yes,Yes,0,,73-27-18-12
3,1000506120602.0,1,3-Stone/Open Fire Stove,,,,,,,,,,17,11,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Fixed,"In dwelling, NOT in sleeping area",,,,Wood collected,Garbage/plastic,Always available,Rarely available,8,7,2,160,0,190,170,No,No,No,No,No,No,No,No,Yes,,,Yes,Yes,0,0.0,54-16-56-83
4,1000506120901.0,1,3-Stone/Open Fire Stove,,,,,,,,,,30,11,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Moveable,Outdoors,,,,Wood collected,Not applicable,Always available,,5,7,2,40,0,120,5,No,No,No,No,No,No,No,No,Yes,,,Yes,Yes,0,,73-13-57-71
5,1000506121202.0,1,3-Stone/Open Fire Stove,,,,,,,,,,5,11,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Fixed,Outdoors,,,,Wood collected,Not applicable,Always available,,1,7,4,120,60,120,14,No,No,No,No,No,No,No,No,Yes,,,Yes,Yes,0,,75-01-00-19
6,1000506121304.0,1,3-Stone/Open Fire Stove,,,,,,,,,,7,11,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Moveable,Outdoors,,,,Wood collected,Not applicable,Mostly available,,10,7,3,40,100,120,7,No,No,No,No,No,No,No,No,Yes,,,Yes,Yes,0,,83-06-80-45
7,1000506121604.0,1,3-Stone/Open Fire Stove,,,,,,,,,,40,11,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Fixed,"In dwelling, NOT in sleeping area",,,,Wood collected,Crop Residue/Plant Biomass,Always available,Sometimes available,10,7,2,180,0,160,80,No,No,No,No,No,No,No,No,Yes,,,Yes,Yes,0,0.0,15-06-84-19
8,1000506122001.0,1,3-Stone/Open Fire Stove,,,,,,,,,,15,0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Fixed,Outdoors,,,,Wood collected,Not applicable,Always available,,5,7,2,60,0,180,10,No,No,No,No,No,No,No,No,Yes,,,Yes,Yes,0,,97-44-93-73
9,1000506122301.0,1,3-Stone/Open Fire Stove,,,,,,,,,,15,11,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Fixed,"In dwelling, NOT in sleeping area",,,,Wood purchased,Crop Residue/Plant Biomass,Always available,Mostly available,8,7,3,120,120,180,200,No,Yes,No,No,No,No,No,No,No,Yes,,Yes,Yes,3000,0.0,46-13-78-78
10,1000506122402.0,1,3-Stone/Open Fire Stove,,,,,,,,,,9,11,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Fixed,"In dwelling, NOT in sleeping area",,,,Wood purchased,Wood collected,Mostly available,Mostly available,120,7,3,60,160,180,150,No,No,No,No,No,No,No,No,Yes,,,Yes,Yes,2500,0.0,93-30-49-21
11,1000506122702.0,1,3-Stone/Open Fire Stove,,,,,,,,,,3,0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Moveable,Outdoors,,,,Wood collected,Not applicable,Always available,,5,7,3,60,120,150,10,No,No,No,No,No,No,No,No,Yes,,,Yes,Yes,0,,57-08-67-37
12,1000506122801.0,1,3-Stone/Open Fire Stove,,,,,,,,,,20,4,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Moveable,Outdoors,,,,Wood collected,Not applicable,Always available,,3,7,2,23,0,49,8,No,No,No,No,No,No,No,No,Yes,,,Yes,Yes,0,,85-39-32-85
13,1000506122902.0,1,3-Stone/Open Fire Stove,,,,,,,,,,2,2,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Fixed,In a veranda (roofed platform with at least two open sides),,,,Wood collected,Not applicable,Always available,,4,7,2,21,0,56,15,No,No,No,No,No,No,No,No,Yes,,,Yes,Yes,0,,87-57-54-94
14,1001500180104.0,1,3-Stone/Open Fire Stove,,,,,,,,,,5,11,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Moveable,Outdoors,,,,Wood collected,Not applicable,Mostly available,,5,7,2,100,0,120,7,No,No,No,No,No,No,No,No,Yes,,,Yes,Yes,0,,52-05-42-61
15,1001500180107.0,1,3-Stone/Open Fire Stove,,,,,,,,,,7,6,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Moveable,Outdoors,,,,Wood collected,Not applicable,Mostly available,,5,7,2,37,0,57,5,No,No,No,No,No,No,No,No,Yes,,,Yes,Yes,0,,54-97-85-36
