"","HHID","A1","A3","A4","A5","A6","A7","A8","A9","A10","A11","A12","A13","A14","A15","A16","A17","A18","A19","A20","A21","A22"
"1",1102020811001,2,2,2,45,1,1,2,1,1,1,2,1,2,1,1,5,10,5,15000,12,1
"2",1102020811001,1,1,1,54,1,2,NA,NA,1,1,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"3",1102020811001,3,2,3,22,1,1,2,1,1,5,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"4",1102020811001,4,1,3,14,1,1,1,1,1,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"5",1102020811002,2,2,3,15,1,1,1,1,1,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"6",1102020811002,3,1,3,13,1,1,1,1,1,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"7",1102020811002,5,2,3,8,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1102020811002,1,2,1,43,1,1,2,2,1,8,1,2,1,1,17,8,12,7,50000,12,1
"9",1102020811002,4,1,3,10,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1102020811003,4,2,3,7,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",1102020811003,1,1,1,38,1,1,2,2,1,3,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"12",1102020811003,6,2,14,19,1,1,2,1,1,5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"13",1102020811003,3,1,3,14,1,1,1,1,1,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"14",1102020811003,2,2,2,33,1,1,2,2,1,3,2,1,2,1,1,6,12,3,888,12,1
"15",1102020811003,5,1,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",1102020811004,2,2,3,35,1,1,2,1,1,6,2,2,2,1,1,6,12,5,5000,12,1
"17",1102020811004,1,1,1,86,1,2,NA,NA,1,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"18",1102020811004,4,2,4,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",1102020811004,3,2,4,14,1,1,1,1,1,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"20",1102020811005,4,1,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",1102020811005,2,2,2,30,1,1,2,1,1,1,2,1,2,1,1,2,6,3,6000,6,1
"22",1102020811005,1,1,1,34,1,1,2,1,1,1,2,1,2,1,1,2,6,4,20000,6,3
"23",1102020811005,3,1,3,6,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",1102020811006,3,2,3,39,1,1,2,1,1,5,2,1,1,2,1,5,6,4,40000,6,1
"25",1102020811006,2,2,2,58,1,2,NA,NA,1,1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"26",1102020811006,1,1,1,60,1,2,NA,NA,1,1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"27",1102020811007,5,2,3,8,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",1102020811007,1,1,1,37,1,1,2,2,1,1,7,NA,NA,NA,3,4,12,6,50000,12,1
"29",1102020811007,3,2,3,12,1,1,1,1,1,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"30",1102020811007,2,2,2,33,1,1,2,1,1,1,2,1,2,2,1,5,12,5,5000,12,1
"31",1102020811007,6,1,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",1102020811007,4,1,3,10,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",1102020811008,7,2,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",1102020811008,4,1,3,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",1102020811008,6,1,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",1102020811008,8,1,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",1102020811008,11,2,14,6,1,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",1102020811008,9,2,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",1102020811008,10,2,14,15,1,2,NA,NA,1,5,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"40",1102020811008,5,1,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",1102020811008,2,2,2,39,1,1,2,1,1,1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"42",1102020811008,3,2,3,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",1102020811008,1,1,1,49,1,2,NA,NA,1,1,7,NA,NA,NA,20,2,12,2,5000,12,6
"44",1102020811009,2,1,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",1102020811009,1,2,1,34,1,1,2,2,1,6,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"46",1102020811010,3,2,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",1102020811010,1,1,1,42,1,2,NA,NA,1,1,7,NA,NA,NA,6,8,6,6,6000,6,6
"48",1102020811010,4,1,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",1102020811010,2,2,2,30,1,2,NA,NA,1,1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"50",1102020811011,4,1,3,15,1,1,1,1,1,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"51",1102020811011,1,1,1,43,1,1,2,3,1,1,2,1,2,2,1,5,12,5,30000,12,1
"52",1102020811011,6,2,3,6,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",1102020811011,5,1,3,10,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",1102020811011,2,2,2,38,1,1,2,2,1,1,2,2,1,2,1,5,12,5,30000,12,1
"55",1102020811011,3,1,3,19,1,1,1,3,1,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"56",1102020811012,1,1,1,36,1,1,2,1,1,3,2,2,2,1,1,6,12,3,10000,12,6
"57",1102020811012,4,1,3,7,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",1102020811012,2,2,2,34,1,2,NA,NA,1,3,2,2,2,1,1,6,12,3,7000,12,1
"59",1102020811012,3,2,3,9,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",1103030711013,5,2,3,11,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",1103030711013,4,1,3,13,1,1,1,1,1,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"62",1103030711013,3,2,3,15,1,1,1,1,1,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"63",1103030711013,1,1,1,40,1,1,2,1,1,3,7,NA,NA,NA,7,9,12,5,3e+05,12,5
"64",1103030711013,2,2,2,35,1,1,2,1,1,3,7,NA,NA,NA,7,2,12,7,90000,12,1
"65",1103030711014,1,2,1,47,1,1,2,2,1,8,7,NA,NA,NA,20,8,12,3,5000,12,1
"66",1103030711014,10,1,4,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",1103030711014,6,1,3,24,1,1,2,2,1,5,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"68",1103030711014,8,2,4,14,1,1,1,1,1,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"69",1103030711014,3,2,3,26,1,1,2,2,1,5,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"70",1103030711014,9,1,4,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",1103030711014,4,1,3,22,1,1,1,3,1,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"72",1103030711014,2,2,3,28,1,2,NA,NA,1,5,8,NA,NA,NA,20,8,12,4,5000,12,4
"73",1103030711014,7,1,3,19,1,2,NA,NA,1,5,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"74",1103030711014,5,1,3,22,1,2,NA,NA,1,5,7,NA,NA,NA,20,8,12,6,5000,12,6
"75",1103030711015,2,2,3,59,1,2,NA,NA,1,8,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"76",1103030711015,1,2,1,91,1,2,NA,NA,1,8,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
